	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'6	58	42	163	66	37	46	88	59	10	154	67	73	27	63	68	103	164	139	51	135	21	47	130	16	198	79	163	84	57	85	54	73	46	38	87	61	80	76	35	54	36	94
'7	34	26	126	33	33	19	53	31	6	126	53	72	15	60	29	51	109	72	28	83	11	34	82	12	142	60	91	65	39	41	25	47	25	27	46	34	72	55	23	30	33	52
'8	41	22	88	15	19	23	45	21	6	84	32	45	11	40	20	37	75	62	26	52	4	23	70	8	91	52	86	31	19	31	20	27	15	16	30	22	37	44	27	24	21	42
'9	22	13	60	20	12	13	29	19	3	76	23	38	7	21	13	24	67	40	24	43	4	15	55	6	80	37	55	32	10	30	17	23	10	9	20	13	34	36	20	16	14	32
'10	14	9	49	22	8	8	26	7	4	44	23	30	1	23	15	20	50	39	18	34	3	5	38	7	95	31	35	29	12	25	12	33	10	2	11	10	28	21	14	12	12	18
11-15	69	27	143	40	18	29	71	29	4	164	49	93	11	57	42	78	136	111	32	81	12	27	154	15	221	96	131	61	20	65	37	91	13	16	51	14	88	111	52	26	19	31
16-20	33	4	59	6	6	11	36	13	0	94	10	43	5	26	10	17	70	66	19	25	0	10	67	4	118	42	48	25	7	24	18	50	4	3	18	4	48	46	16	5	5	19
21-50	53	5	66	13	7	16	42	15	0	114	13	81	7	28	23	29	106	74	19	21	0	4	128	4	226	58	74	23	4	41	19	99	4	5	18	9	30	69	9	2	1	11
51-100	14	0	4	3	1	2	6	1	0	7	1	9	1	4	2	0	17	13	2	2	0	0	25	0	60	9	3	3	0	5	2	15	0	0	2	0	4	2	0	0	0	0
101-150	2	0	1	1	0	2	2	0	0	1	1	1	0	0	0	0	5	0	0	0	0	0	2	0	7	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
