	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14066	11256	24165	14367	11455	10480	14372	12430	8993	27316	16552	19229	12208	17047	13182	18398	29395	22967	13074	22079	8010	10657	24772	9671	36895	17877	25542	13314	11900	15285	11328	19003	11555	11892	16739	13705	18092	16864	14122	16929	16181	20505
Number of unassigned genes	3214	1868	2802	3177	1927	2027	2120	1831	2242	1893	1885	2234	2586	2970	1636	3243	4058	3490	1624	3384	2735	3710	3353	1866	5001	1934	3242	4611	2739	3294	1839	2755	3336	1527	2352	989	1474	1663	4376	1877	1193	2169
Percentage of genes in orthogroups	81.4	85.8	89.6	81.9	85.6	83.8	87.1	87.2	80.0	93.5	89.8	89.6	82.5	85.2	89.0	85.0	87.9	86.8	89.0	86.7	74.5	74.2	88.1	83.8	88.1	90.2	88.7	74.3	81.3	82.3	86.0	87.3	77.6	88.6	87.7	93.3	92.5	91.0	76.3	90.0	93.1	90.4
Percentage of unassigned genes	18.6	14.2	10.4	18.1	14.4	16.2	12.9	12.8	20.0	6.5	10.2	10.4	17.5	14.8	11.0	15.0	12.1	13.2	11.0	13.3	25.5	25.8	11.9	16.2	11.9	9.8	11.3	25.7	18.7	17.7	14.0	12.7	22.4	11.4	12.3	6.7	7.5	9.0	23.7	10.0	6.9	9.6
Number of orthogroups containing species	6701	7669	11156	9095	7694	7044	6721	8119	7770	12004	9786	9115	8513	9552	8245	10631	11584	11105	8485	10652	6631	7183	9611	7868	11416	9059	11308	7537	7877	8195	7401	7603	7843	8340	10446	9584	9996	8192	10376	13211	12524	12820
Percentage of orthogroups containing species	8.6	9.8	14.3	11.6	9.8	9.0	8.6	10.4	9.9	15.3	12.5	11.7	10.9	12.2	10.5	13.6	14.8	14.2	10.8	13.6	8.5	9.2	12.3	10.1	14.6	11.6	14.5	9.6	10.1	10.5	9.5	9.7	10.0	10.7	13.4	12.3	12.8	10.5	13.3	16.9	16.0	16.4
Number of species-specific orthogroups	1036	683	2114	560	690	374	1076	398	78	1654	992	1162	441	802	548	1004	2152	1375	535	1833	93	561	1836	147	3629	1025	1928	1114	846	1022	434	997	467	411	609	285	1033	1238	266	169	116	220
Number of genes in species-specific orthogroups	6211	2083	9090	2208	2395	1810	5765	1728	203	7813	3390	6748	1326	3312	2160	3866	12829	7285	1936	6318	269	1765	11591	490	22856	5343	7682	4922	2740	4243	2172	8553	1449	1156	2363	734	3878	7060	955	498	370	699
Percentage of genes in species-specific orthogroups	35.9	15.9	33.7	12.6	17.9	14.5	35.0	12.1	1.8	26.7	18.4	31.4	9.0	16.5	14.6	17.9	38.3	27.5	13.2	24.8	2.5	12.3	41.2	4.2	54.6	27.0	26.7	27.5	18.7	22.8	16.5	39.3	9.7	8.6	12.4	5.0	19.8	38.1	5.2	2.6	2.1	3.1
