	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	71521	70553	67066	69127	70528	71178	71501	70103	70452	66218	68436	69107	69709	68670	69977	67591	66638	67117	69737	67570	71591	71039	68611	70354	66806	69163	66914	70685	70345	70027	70821	70619	70379	69882	67776	68638	68226	70030	67846	65011	65698	65402
'1	4681	5757	6890	6637	5670	5760	4396	6107	6956	7279	6565	5945	6293	6337	6006	7194	5786	7351	6541	4705	5842	5483	5606	6920	5803	6312	5600	5459	5795	5525	5852	5518	5850	6271	7543	7313	6815	5507	8772	11191	10426	8947
'2	1093	1214	2093	1534	1336	721	1219	1274	607	2297	1893	1759	1528	1927	1464	2090	3214	1992	1146	3960	534	1020	1901	627	2366	1403	3299	1041	1287	1472	924	986	1274	1365	1732	1455	1683	1427	997	1365	1462	2409
'3	325	354	819	467	368	251	395	340	126	894	664	529	426	593	343	613	1062	678	368	934	135	327	751	172	1028	499	1002	397	405	517	257	316	396	397	554	442	666	464	264	298	327	700
'4	159	153	388	173	141	108	213	150	33	444	288	263	144	249	143	261	464	309	151	452	55	135	363	51	560	244	515	194	157	229	119	168	136	144	249	163	311	223	115	143	123	334
'5	86	70	274	98	62	52	99	83	20	275	147	140	50	142	83	144	288	188	81	183	19	79	214	37	336	148	258	105	88	133	70	109	75	70	127	91	159	117	44	72	60	146
'6	69	38	153	47	33	36	83	50	11	170	67	90	25	66	70	94	144	123	46	134	16	48	143	14	249	79	172	92	54	70	45	80	41	29	81	42	83	85	29	47	38	91
'7	33	23	120	34	27	27	68	29	6	138	39	69	12	58	20	46	128	79	36	78	10	25	102	9	180	71	97	61	31	36	25	45	22	23	40	27	60	58	31	25	33	53
'8	41	20	90	10	12	21	44	17	4	67	28	40	8	40	24	39	86	62	22	46	3	17	70	8	115	61	75	41	14	45	21	49	13	19	28	12	36	39	27	24	13	48
'9	22	13	51	20	13	9	24	9	1	73	21	42	3	19	15	22	59	39	22	45	4	10	54	7	96	36	45	29	9	28	13	41	11	5	17	12	32	41	17	12	14	25
'10	20	8	47	18	9	6	30	10	4	53	17	32	3	19	11	23	43	40	8	20	3	6	60	5	84	29	37	27	13	22	10	37	7	1	11	6	34	31	16	10	6	14
11-15	72	13	122	32	11	28	66	25	2	150	34	95	11	49	34	66	131	108	30	59	10	21	165	14	231	82	104	57	15	63	34	102	8	12	33	12	63	93	46	19	16	28
16-20	35	3	62	14	8	13	37	13	0	79	12	44	4	31	12	16	71	58	22	22	0	9	58	2	140	45	41	19	6	19	14	46	5	2	16	4	28	47	10	4	5	14
21-50	58	3	42	9	3	9	41	11	0	81	9	60	5	21	19	23	86	71	10	12	0	3	112	2	188	45	62	14	3	35	17	86	4	2	15	5	24	59	8	1	1	11
51-100	5	0	4	2	1	1	4	1	0	3	1	5	1	1	1	0	17	7	2	2	0	0	9	0	36	5	1	1	0	1	0	9	1	0	0	0	2	1	0	0	0	0
101-150	2	0	0	0	0	2	2	0	0	1	1	1	0	0	0	0	4	0	0	0	0	0	2	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
151-200	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	91.4	90.2	85.7	88.4	90.2	91.0	91.4	89.6	90.1	84.7	87.5	88.3	89.1	87.8	89.5	86.4	85.2	85.8	89.2	86.4	91.5	90.8	87.7	89.9	85.4	88.4	85.5	90.4	89.9	89.5	90.5	90.3	90.0	89.3	86.6	87.7	87.2	89.5	86.7	83.1	84.0	83.6
'1	6.0	7.4	8.8	8.5	7.2	7.4	5.6	7.8	8.9	9.3	8.4	7.6	8.0	8.1	7.7	9.2	7.4	9.4	8.4	6.0	7.5	7.0	7.2	8.8	7.4	8.1	7.2	7.0	7.4	7.1	7.5	7.1	7.5	8.0	9.6	9.3	8.7	7.0	11.2	14.3	13.3	11.4
'2	1.4	1.6	2.7	2.0	1.7	0.9	1.6	1.6	0.8	2.9	2.4	2.2	2.0	2.5	1.9	2.7	4.1	2.5	1.5	5.1	0.7	1.3	2.4	0.8	3.0	1.8	4.2	1.3	1.6	1.9	1.2	1.3	1.6	1.7	2.2	1.9	2.2	1.8	1.3	1.7	1.9	3.1
'3	0.4	0.5	1.0	0.6	0.5	0.3	0.5	0.4	0.2	1.1	0.8	0.7	0.5	0.8	0.4	0.8	1.4	0.9	0.5	1.2	0.2	0.4	1.0	0.2	1.3	0.6	1.3	0.5	0.5	0.7	0.3	0.4	0.5	0.5	0.7	0.6	0.9	0.6	0.3	0.4	0.4	0.9
'4	0.2	0.2	0.5	0.2	0.2	0.1	0.3	0.2	0.0	0.6	0.4	0.3	0.2	0.3	0.2	0.3	0.6	0.4	0.2	0.6	0.1	0.2	0.5	0.1	0.7	0.3	0.7	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0.3	0.2	0.4	0.3	0.1	0.2	0.2	0.4
'5	0.1	0.1	0.4	0.1	0.1	0.1	0.1	0.1	0.0	0.4	0.2	0.2	0.1	0.2	0.1	0.2	0.4	0.2	0.1	0.2	0.0	0.1	0.3	0.0	0.4	0.2	0.3	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.2
'6	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1
'7	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1
'8	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
'9	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.3	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0
16-20	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4681	5757	6890	6637	5670	5760	4396	6107	6956	7279	6565	5945	6293	6337	6006	7194	5786	7351	6541	4705	5842	5483	5606	6920	5803	6312	5600	5459	5795	5525	5852	5518	5850	6271	7543	7313	6815	5507	8772	11191	10426	8947
'2	2186	2428	4186	3068	2672	1442	2438	2548	1214	4594	3786	3518	3056	3854	2928	4180	6428	3984	2292	7920	1068	2040	3802	1254	4732	2806	6598	2082	2574	2944	1848	1972	2548	2730	3464	2910	3366	2854	1994	2730	2924	4818
'3	975	1062	2457	1401	1104	753	1185	1020	378	2682	1992	1587	1278	1779	1029	1839	3186	2034	1104	2802	405	981	2253	516	3084	1497	3006	1191	1215	1551	771	948	1188	1191	1662	1326	1998	1392	792	894	981	2100
'4	636	612	1552	692	564	432	852	600	132	1776	1152	1052	576	996	572	1044	1856	1236	604	1808	220	540	1452	204	2240	976	2060	776	628	916	476	672	544	576	996	652	1244	892	460	572	492	1336
'5	430	350	1370	490	310	260	495	415	100	1375	735	700	250	710	415	720	1440	940	405	915	95	395	1070	185	1680	740	1290	525	440	665	350	545	375	350	635	455	795	585	220	360	300	730
'6	414	228	918	282	198	216	498	300	66	1020	402	540	150	396	420	564	864	738	276	804	96	288	858	84	1494	474	1032	552	324	420	270	480	246	174	486	252	498	510	174	282	228	546
'7	231	161	840	238	189	189	476	203	42	966	273	483	84	406	140	322	896	553	252	546	70	175	714	63	1260	497	679	427	217	252	175	315	154	161	280	189	420	406	217	175	231	371
'8	328	160	720	80	96	168	352	136	32	536	224	320	64	320	192	312	688	496	176	368	24	136	560	64	920	488	600	328	112	360	168	392	104	152	224	96	288	312	216	192	104	384
'9	198	117	459	180	117	81	216	81	9	657	189	378	27	171	135	198	531	351	198	405	36	90	486	63	864	324	405	261	81	252	117	369	99	45	153	108	288	369	153	108	126	225
'10	200	80	470	180	90	60	300	100	40	530	170	320	30	190	110	230	430	400	80	200	30	60	600	50	840	290	370	270	130	220	100	370	70	10	110	60	340	310	160	100	60	140
11-15	930	164	1522	408	134	354	828	317	24	1904	423	1195	135	627	434	843	1650	1389	374	742	124	252	2068	178	2957	1052	1297	710	181	798	438	1311	100	148	416	146	787	1165	585	232	197	360
16-20	623	58	1098	261	145	231	631	236	0	1395	209	801	67	558	212	284	1262	1024	386	399	0	147	1021	37	2502	799	729	331	107	336	254	812	89	36	288	69	497	823	174	69	87	247
21-50	1672	79	1224	314	86	248	1187	307	0	2250	241	1754	116	623	533	668	2544	2019	284	337	0	70	3296	53	5738	1278	1820	341	96	991	509	2555	113	48	482	129	632	1672	205	24	25	301
51-100	320	0	293	136	80	70	274	60	0	221	69	354	82	80	56	0	1185	452	102	128	0	0	552	0	2284	344	56	61	0	55	0	577	75	0	0	0	124	67	0	0	0	0
101-150	242	0	0	0	0	216	244	0	0	131	122	127	0	0	0	0	444	0	0	0	0	0	267	0	330	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0
151-200	0	0	166	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	167	0	167	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	27.1	43.9	25.5	37.8	42.4	46.1	26.7	42.8	61.9	24.9	35.6	27.7	42.5	31.7	40.5	33.2	17.3	27.8	44.5	18.5	54.4	38.2	19.9	60.0	13.9	31.9	19.5	30.5	39.6	29.7	44.4	25.4	39.3	46.7	39.5	49.8	34.8	29.7	47.4	59.5	60.0	39.5
'2	12.7	18.5	15.5	17.5	20.0	11.5	14.8	17.9	10.8	15.7	20.5	16.4	20.7	19.3	19.8	19.3	19.2	15.1	15.6	31.1	9.9	14.2	13.5	10.9	11.3	14.2	22.9	11.6	17.6	15.8	14.0	9.1	17.1	20.3	18.1	19.8	17.2	15.4	10.8	14.5	16.8	21.2
'3	5.6	8.1	9.1	8.0	8.2	6.0	7.2	7.2	3.4	9.2	10.8	7.4	8.6	8.9	6.9	8.5	9.5	7.7	7.5	11.0	3.8	6.8	8.0	4.5	7.4	7.6	10.4	6.6	8.3	8.3	5.9	4.4	8.0	8.9	8.7	9.0	10.2	7.5	4.3	4.8	5.6	9.3
'4	3.7	4.7	5.8	3.9	4.2	3.5	5.2	4.2	1.2	6.1	6.2	4.9	3.9	5.0	3.9	4.8	5.5	4.7	4.1	7.1	2.0	3.8	5.2	1.8	5.3	4.9	7.2	4.3	4.3	4.9	3.6	3.1	3.7	4.3	5.2	4.4	6.4	4.8	2.5	3.0	2.8	5.9
'5	2.5	2.7	5.1	2.8	2.3	2.1	3.0	2.9	0.9	4.7	4.0	3.3	1.7	3.5	2.8	3.3	4.3	3.6	2.8	3.6	0.9	2.7	3.8	1.6	4.0	3.7	4.5	2.9	3.0	3.6	2.7	2.5	2.5	2.6	3.3	3.1	4.1	3.2	1.2	1.9	1.7	3.2
'6	2.4	1.7	3.4	1.6	1.5	1.7	3.0	2.1	0.6	3.5	2.2	2.5	1.0	2.0	2.8	2.6	2.6	2.8	1.9	3.2	0.9	2.0	3.1	0.7	3.6	2.4	3.6	3.1	2.2	2.3	2.1	2.2	1.7	1.3	2.5	1.7	2.5	2.8	0.9	1.5	1.3	2.4
'7	1.3	1.2	3.1	1.4	1.4	1.5	2.9	1.4	0.4	3.3	1.5	2.3	0.6	2.0	0.9	1.5	2.7	2.1	1.7	2.1	0.7	1.2	2.5	0.5	3.0	2.5	2.4	2.4	1.5	1.4	1.3	1.4	1.0	1.2	1.5	1.3	2.1	2.2	1.2	0.9	1.3	1.6
'8	1.9	1.2	2.7	0.5	0.7	1.3	2.1	1.0	0.3	1.8	1.2	1.5	0.4	1.6	1.3	1.4	2.1	1.9	1.2	1.4	0.2	0.9	2.0	0.6	2.2	2.5	2.1	1.8	0.8	1.9	1.3	1.8	0.7	1.1	1.2	0.7	1.5	1.7	1.2	1.0	0.6	1.7
'9	1.1	0.9	1.7	1.0	0.9	0.6	1.3	0.6	0.1	2.2	1.0	1.8	0.2	0.9	0.9	0.9	1.6	1.3	1.3	1.6	0.3	0.6	1.7	0.5	2.1	1.6	1.4	1.5	0.6	1.4	0.9	1.7	0.7	0.3	0.8	0.7	1.5	2.0	0.8	0.6	0.7	1.0
'10	1.2	0.6	1.7	1.0	0.7	0.5	1.8	0.7	0.4	1.8	0.9	1.5	0.2	0.9	0.7	1.1	1.3	1.5	0.5	0.8	0.3	0.4	2.1	0.4	2.0	1.5	1.3	1.5	0.9	1.2	0.8	1.7	0.5	0.1	0.6	0.4	1.7	1.7	0.9	0.5	0.3	0.6
11-15	5.4	1.2	5.6	2.3	1.0	2.8	5.0	2.2	0.2	6.5	2.3	5.6	0.9	3.1	2.9	3.9	4.9	5.3	2.5	2.9	1.2	1.8	7.4	1.5	7.1	5.3	4.5	4.0	1.2	4.3	3.3	6.0	0.7	1.1	2.2	1.0	4.0	6.3	3.2	1.2	1.1	1.6
16-20	3.6	0.4	4.1	1.5	1.1	1.8	3.8	1.7	0.0	4.8	1.1	3.7	0.5	2.8	1.4	1.3	3.8	3.9	2.6	1.6	0.0	1.0	3.6	0.3	6.0	4.0	2.5	1.8	0.7	1.8	1.9	3.7	0.6	0.3	1.5	0.5	2.5	4.4	0.9	0.4	0.5	1.1
21-50	9.7	0.6	4.5	1.8	0.6	2.0	7.2	2.2	0.0	7.7	1.3	8.2	0.8	3.1	3.6	3.1	7.6	7.6	1.9	1.3	0.0	0.5	11.7	0.5	13.7	6.5	6.3	1.9	0.7	5.3	3.9	11.7	0.8	0.4	2.5	0.9	3.2	9.0	1.1	0.1	0.1	1.3
