	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14240	11413	24599	14501	11555	10538	14618	12544	9027	27769	16751	19503	12272	17209	13288	18509	29647	23176	13279	22339	8020	10776	25104	9726	37693	18128	25804	13486	11951	15457	11421	19229	11599	11984	16940	13866	18382	17014	14147	16966	16219	20522
Number of unassigned genes	3040	1711	2368	3043	1827	1969	1874	1717	2208	1440	1686	1960	2522	2808	1530	3132	3806	3281	1419	3124	2725	3591	3021	1811	4203	1683	2980	4439	2688	3122	1746	2529	3292	1435	2151	828	1184	1513	4351	1840	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.7	86.3	84.3	88.6	88.0	80.3	95.1	90.9	90.9	83.0	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.3	84.3	90.0	91.5	89.6	75.2	81.6	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.3	13.7	15.7	11.4	12.0	19.7	4.9	9.1	9.1	17.0	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.7	15.7	10.0	8.5	10.4	24.8	18.4	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5310	5947	7436	7033	6200	5669	5316	6442	6702	7653	7234	6492	6989	7375	6432	8118	8311	8187	6397	7953	5606	5891	6664	6694	7082	6536	7931	5910	6516	6349	5976	5596	6434	6523	7687	7166	6901	6389	8234	10585	9903	10277
Percentage of orthogroups containing species	13.8	15.4	19.3	18.3	16.1	14.7	13.8	16.7	17.4	19.9	18.8	16.8	18.1	19.1	16.7	21.1	21.6	21.2	16.6	20.6	14.5	15.3	17.3	17.4	18.4	17.0	20.6	15.3	16.9	16.5	15.5	14.5	16.7	16.9	19.9	18.6	17.9	16.6	21.4	27.5	25.7	26.7
Number of species-specific orthogroups	479	247	697	237	304	119	464	200	36	409	413	387	251	395	252	544	918	618	147	783	54	259	565	39	1029	240	899	422	568	507	160	197	275	172	232	96	333	560	173	55	26	134
Number of genes in species-specific orthogroups	5132	1069	4425	1263	1776	1071	3356	1063	89	2967	2047	2613	870	1793	1276	2277	8156	4462	670	3732	174	1015	6275	110	11903	1724	4541	3454	2090	2759	1264	2517	1016	632	1353	264	1745	5389	607	165	86	365
Percentage of genes in species-specific orthogroups	29.7	8.1	16.4	7.2	13.3	8.6	20.3	7.5	0.8	10.2	11.1	12.2	5.9	9.0	8.6	10.5	24.4	16.9	4.6	14.7	1.6	7.1	22.3	1.0	28.4	8.7	15.8	19.3	14.3	14.9	9.6	11.6	6.8	4.7	7.1	1.8	8.9	29.1	3.3	0.9	0.5	1.6


