	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14123	11315	24318	14415	11485	10505	14433	12467	9005	27500	16625	19339	12238	17119	13220	18435	29490	23026	13141	22180	8015	10695	24890	9689	37190	17980	25636	13356	11926	15341	11357	19091	11571	11929	16803	13765	18194	16920	14135	16942	16199	20510
Number of unassigned genes	3157	1809	2649	3129	1897	2002	2059	1794	2230	1709	1812	2124	2556	2898	1598	3206	3963	3431	1557	3283	2730	3672	3235	1848	4706	1831	3148	4569	2713	3238	1810	2667	3320	1490	2288	929	1372	1607	4363	1864	1175	2164
Percentage of genes in orthogroups	81.7	86.2	90.2	82.2	85.8	84.0	87.5	87.4	80.2	94.1	90.2	90.1	82.7	85.5	89.2	85.2	88.2	87.0	89.4	87.1	74.6	74.4	88.5	84.0	88.8	90.8	89.1	74.5	81.5	82.6	86.3	87.7	77.7	88.9	88.0	93.7	93.0	91.3	76.4	90.1	93.2	90.5
Percentage of unassigned genes	18.3	13.8	9.8	17.8	14.2	16.0	12.5	12.6	19.8	5.9	9.8	9.9	17.3	14.5	10.8	14.8	11.8	13.0	10.6	12.9	25.4	25.6	11.5	16.0	11.2	9.2	10.9	25.5	18.5	17.4	13.7	12.3	22.3	11.1	12.0	6.3	7.0	8.7	23.6	9.9	6.8	9.5
Number of orthogroups containing species	6579	7551	10866	8972	7621	6969	6611	8020	7734	11623	9641	8901	8429	9436	8098	10463	11333	10910	8364	10493	6581	7117	9312	7802	10983	8865	11061	7428	7810	8062	7310	7395	7769	8225	10269	9418	9729	8090	10266	13075	12408	12682
Percentage of orthogroups containing species	8.9	10.2	14.7	12.1	10.3	9.4	8.9	10.8	10.4	15.7	13.0	12.0	11.4	12.7	10.9	14.1	15.3	14.7	11.3	14.2	8.9	9.6	12.6	10.5	14.8	12.0	14.9	10.0	10.5	10.9	9.9	10.0	10.5	11.1	13.9	12.7	13.1	10.9	13.9	17.7	16.8	17.1
Number of species-specific orthogroups	963	647	1982	527	658	340	1002	375	75	1502	954	1075	417	770	499	958	2021	1299	497	1742	90	533	1647	124	3292	908	1822	1048	822	967	403	861	443	380	558	257	941	1175	254	154	110	207
Number of genes in species-specific orthogroups	6193	2044	8889	2138	2387	1772	5678	1684	190	7707	3345	6532	1295	3206	2080	3751	12777	7063	1853	6189	263	1744	11381	444	22639	5117	7467	4854	2668	4210	2107	8360	1402	1080	2270	682	3726	6986	920	464	355	660
Percentage of genes in species-specific orthogroups	35.8	15.6	33.0	12.2	17.8	14.2	34.4	11.8	1.7	26.4	18.1	30.4	8.8	16.0	14.0	17.3	38.2	26.7	12.6	24.3	2.4	12.1	40.5	3.8	54.0	25.8	25.9	27.1	18.2	22.7	16.0	38.4	9.4	8.0	11.9	4.6	19.0	37.7	5.0	2.5	2.0	2.9
