	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14226	11407	24568	14494	11541	10533	14577	12538	9026	27741	16744	19494	12267	17202	13283	18501	29636	23163	13268	22322	8020	10770	25081	9723	37633	18116	25785	13472	11950	15449	11418	19220	11596	11979	16929	13861	18369	17007	14145	16964	16218	20520
Number of unassigned genes	3054	1717	2399	3050	1841	1974	1915	1723	2209	1468	1693	1969	2527	2815	1535	3140	3817	3294	1430	3141	2725	3597	3044	1814	4263	1695	2999	4453	2689	3130	1749	2538	3295	1440	2162	833	1197	1520	4353	1842	1156	2154
Percentage of genes in orthogroups	82.3	86.9	91.1	82.6	86.2	84.2	88.4	87.9	80.3	95.0	90.8	90.8	82.9	85.9	89.6	85.5	88.6	87.5	90.3	87.7	74.6	75.0	89.2	84.3	89.8	91.4	89.6	75.2	81.6	83.2	86.7	88.3	77.9	89.3	88.7	94.3	93.9	91.8	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.1	8.9	17.4	13.8	15.8	11.6	12.1	19.7	5.0	9.2	9.2	17.1	14.1	10.4	14.5	11.4	12.5	9.7	12.3	25.4	25.0	10.8	15.7	10.2	8.6	10.4	24.8	18.4	16.8	13.3	11.7	22.1	10.7	11.3	5.7	6.1	8.2	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6192	7123	9694	8384	7282	6634	6217	7578	7524	10077	8952	8029	8120	8853	7629	9833	10360	10056	7764	9759	6380	6783	8330	7547	9363	8122	9966	7022	7514	7566	6942	6691	7449	7766	9467	8756	8684	7615	9824	12503	11829	12150
Percentage of orthogroups containing species	10.5	12.1	16.4	14.2	12.3	11.2	10.5	12.8	12.7	17.1	15.1	13.6	13.7	15.0	12.9	16.6	17.5	17.0	13.1	16.5	10.8	11.5	14.1	12.8	15.8	13.7	16.9	11.9	12.7	12.8	11.7	11.3	12.6	13.1	16.0	14.8	14.7	12.9	16.6	21.2	20.0	20.6
Number of species-specific orthogroups	750	491	1423	386	540	222	767	296	54	990	736	730	352	628	382	811	1555	1003	317	1338	69	427	1111	76	2209	606	1424	810	734	792	288	489	378	309	410	188	679	926	216	104	68	175
Number of genes in species-specific orthogroups	5960	1773	7372	1836	2141	1492	5366	1484	144	6264	2949	5890	1176	2787	1770	3284	12025	6344	1290	5582	213	1491	10096	311	20837	4350	6469	4603	2475	3861	1798	6556	1208	966	1868	525	3099	6556	792	333	216	565
Percentage of genes in species-specific orthogroups	34.5	13.5	27.3	10.5	16.0	11.9	32.5	10.4	1.3	21.4	16.0	27.4	7.9	13.9	11.9	15.2	35.9	24.0	8.8	21.9	2.0	10.4	35.9	2.7	49.7	22.0	22.5	25.7	16.9	20.8	13.7	30.1	8.1	7.2	9.8	3.6	15.8	35.4	4.3	1.8	1.2	2.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	52901	51970	49399	50709	51811	52459	52876	51515	51569	49016	50141	51064	50973	50240	51464	49260	48733	49037	51329	49334	52713	52310	50763	51546	49730	50971	49127	52071	51579	51527	52151	52402	51644	51327	49626	50337	50409	51478	49269	46590	47264	46943
'1	4396	5248	6034	5965	5264	5415	4118	5577	6594	6196	5860	5213	5824	5750	5473	6431	5043	6566	5875	4212	5512	5083	5004	6553	5209	5758	4814	5141	5413	5067	5457	5098	5400	5689	6622	6472	5864	5116	8106	10305	9526	8253
