	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14221	11395	24539	14483	11532	10530	14559	12536	9024	27712	16735	19476	12264	17191	13278	18493	29623	23150	13257	22301	8018	10763	25064	9715	37583	18110	25773	13461	11948	15435	11412	19203	11594	11976	16918	13851	18350	16992	14145	16957	16215	20522
Number of unassigned genes	3059	1729	2428	3061	1850	1977	1933	1725	2211	1497	1702	1987	2530	2826	1540	3148	3830	3307	1441	3162	2727	3604	3061	1822	4313	1701	3011	4464	2691	3144	1755	2555	3297	1443	2173	843	1216	1535	4353	1849	1159	2152
Percentage of genes in orthogroups	82.3	86.8	91.0	82.6	86.2	84.2	88.3	87.9	80.3	94.9	90.8	90.7	82.9	85.9	89.6	85.5	88.6	87.5	90.2	87.6	74.6	74.9	89.1	84.2	89.7	91.4	89.5	75.1	81.6	83.1	86.7	88.3	77.9	89.2	88.6	94.3	93.8	91.7	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.2	9.0	17.4	13.8	15.8	11.7	12.1	19.7	5.1	9.2	9.3	17.1	14.1	10.4	14.5	11.4	12.5	9.8	12.4	25.4	25.1	10.9	15.8	10.3	8.6	10.5	24.9	18.4	16.9	13.3	11.7	22.1	10.8	11.4	5.7	6.2	8.3	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6302	7272	10039	8556	7391	6720	6337	7701	7599	10497	9155	8247	8223	9013	7748	10009	10603	10295	7932	9978	6434	6870	8549	7626	9767	8300	10262	7124	7601	7718	7049	6881	7556	7887	9701	8949	8961	7756	9958	12681	12008	12312
Percentage of orthogroups containing species	10.0	11.6	16.0	13.6	11.8	10.7	10.1	12.2	12.1	16.7	14.6	13.1	13.1	14.3	12.3	15.9	16.9	16.4	12.6	15.9	10.2	10.9	13.6	12.1	15.5	13.2	16.3	11.3	12.1	12.3	11.2	10.9	12.0	12.5	15.4	14.2	14.3	12.3	15.8	20.2	19.1	19.6
Number of species-specific orthogroups	798	537	1575	428	569	251	843	312	60	1113	798	815	372	670	401	844	1666	1078	359	1455	73	457	1218	87	2464	672	1519	863	754	840	314	586	399	328	453	200	745	996	223	119	79	188
Number of genes in species-specific orthogroups	6048	1855	7891	1945	2184	1550	5546	1516	159	6780	3066	6127	1205	2903	1865	3416	12354	6602	1410	5800	224	1566	10465	341	21631	4541	6776	4683	2531	3913	1845	7433	1334	1005	1992	545	3286	6684	829	358	255	609
Percentage of genes in species-specific orthogroups	35.0	14.1	29.3	11.1	16.3	12.4	33.6	10.6	1.4	23.2	16.6	28.5	8.1	14.5	12.6	15.8	36.9	25.0	9.6	22.8	2.1	10.9	37.2	3.0	51.6	22.9	23.5	26.1	17.3	21.1	14.0	34.2	9.0	7.5	10.4	3.7	16.8	36.1	4.5	1.9	1.5	2.7


