	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14052	11247	24131	14354	11442	10473	14358	12420	8990	27280	16529	19199	12204	17027	13164	18386	29360	22931	13055	22048	8005	10655	24745	9666	36823	17853	25513	13304	11893	15265	11318	18984	11550	11882	16714	13690	18067	16844	14114	16927	16175	20503
Number of unassigned genes	3228	1877	2836	3190	1940	2034	2134	1841	2245	1929	1908	2264	2590	2990	1654	3255	4093	3526	1643	3415	2740	3712	3380	1871	5073	1958	3271	4621	2746	3314	1849	2774	3341	1537	2377	1004	1499	1683	4384	1879	1199	2171
Percentage of genes in orthogroups	81.3	85.7	89.5	81.8	85.5	83.7	87.1	87.1	80.0	93.4	89.7	89.5	82.5	85.1	88.8	85.0	87.8	86.7	88.8	86.6	74.5	74.2	88.0	83.8	87.9	90.1	88.6	74.2	81.2	82.2	86.0	87.3	77.6	88.5	87.5	93.2	92.3	90.9	76.3	90.0	93.1	90.4
Percentage of unassigned genes	18.7	14.3	10.5	18.2	14.5	16.3	12.9	12.9	20.0	6.6	10.3	10.5	17.5	14.9	11.2	15.0	12.2	13.3	11.2	13.4	25.5	25.8	12.0	16.2	12.1	9.9	11.4	25.8	18.8	17.8	14.0	12.7	22.4	11.5	12.5	6.8	7.7	9.1	23.7	10.0	6.9	9.6
Number of orthogroups containing species	6738	7693	11221	9125	7705	7070	6733	8138	7778	12097	9822	9157	8529	9575	8276	10670	11636	11144	8517	10681	6644	7203	9687	7881	11528	9104	11370	7575	7899	8227	7430	7656	7864	8355	10471	9607	10052	8218	10409	13244	12561	12854
Percentage of orthogroups containing species	8.5	9.7	14.2	11.5	9.7	8.9	8.5	10.3	9.8	15.3	12.4	11.6	10.8	12.1	10.4	13.5	14.7	14.1	10.7	13.5	8.4	9.1	12.2	9.9	14.5	11.5	14.3	9.6	10.0	10.4	9.4	9.7	9.9	10.5	13.2	12.1	12.7	10.4	13.1	16.7	15.8	16.2
Number of species-specific orthogroups	1062	691	2141	576	697	381	1092	403	80	1697	1016	1186	440	813	553	1015	2175	1398	548	1843	93	569	1896	149	3713	1051	1962	1142	851	1038	443	1026	471	417	615	287	1052	1248	267	173	120	223
Number of genes in species-specific orthogroups	6219	2102	9149	2266	2401	1821	5777	1734	206	7884	3455	6797	1324	3357	2158	3904	12815	7325	1932	6323	269	1779	11645	492	22865	5407	7742	4947	2737	4256	2178	8573	1456	1167	2362	739	3914	7051	954	511	379	705
Percentage of genes in species-specific orthogroups	36.0	16.0	33.9	12.9	17.9	14.6	35.0	12.2	1.8	27.0	18.7	31.7	8.9	16.8	14.6	18.0	38.3	27.7	13.1	24.8	2.5	12.4	41.4	4.3	54.6	27.3	26.9	27.6	18.7	22.9	16.5	39.4	9.8	8.7	12.4	5.0	20.0	38.1	5.2	2.7	2.2	3.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	72517	71562	68034	70130	71550	72185	72522	71117	71477	67158	69433	70098	70726	69680	70979	68585	67619	68111	70738	68574	72611	72052	69568	71374	67727	70151	67885	71680	71356	71028	71825	71599	71391	70900	68784	69648	69203	71037	68846	66011	66694	66401
