	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14099	11293	24243	14391	11475	10488	14397	12446	8997	27411	16586	19272	12215	17079	13204	18426	29443	22997	13104	22124	8013	10673	24818	9682	37041	17928	25590	13335	11916	15305	11343	19056	11561	11912	16771	13734	18141	16885	14129	16932	16187	20505
Number of unassigned genes	3181	1831	2724	3153	1907	2019	2095	1815	2238	1798	1851	2191	2579	2938	1614	3215	4010	3460	1594	3339	2732	3694	3307	1855	4855	1883	3194	4590	2723	3274	1824	2702	3330	1507	2320	960	1425	1642	4369	1874	1187	2169
Percentage of genes in orthogroups	81.6	86.0	89.9	82.0	85.7	83.9	87.3	87.3	80.1	93.8	90.0	89.8	82.6	85.3	89.1	85.1	88.0	86.9	89.2	86.9	74.6	74.3	88.2	83.9	88.4	90.5	88.9	74.4	81.4	82.4	86.1	87.6	77.6	88.8	87.8	93.5	92.7	91.1	76.4	90.0	93.2	90.4
Percentage of unassigned genes	18.4	14.0	10.1	18.0	14.3	16.1	12.7	12.7	19.9	6.2	10.0	10.2	17.4	14.7	10.9	14.9	12.0	13.1	10.8	13.1	25.4	25.7	11.8	16.1	11.6	9.5	11.1	25.6	18.6	17.6	13.9	12.4	22.4	11.2	12.2	6.5	7.3	8.9	23.6	10.0	6.8	9.6
Number of orthogroups containing species	6648	7618	11021	9029	7659	6996	6666	8077	7753	11827	9732	9007	8468	9486	8170	10570	11459	11007	8421	10564	6603	7159	9474	7841	11216	8970	11196	7477	7845	8120	7353	7509	7811	8289	10349	9511	9876	8151	10331	13149	12474	12752
Percentage of orthogroups containing species	8.7	10.0	14.4	11.8	10.0	9.2	8.7	10.6	10.2	15.5	12.8	11.8	11.1	12.4	10.7	13.9	15.0	14.4	11.0	13.8	8.7	9.4	12.4	10.3	14.7	11.8	14.7	9.8	10.3	10.6	9.6	9.8	10.2	10.9	13.6	12.5	12.9	10.7	13.5	17.2	16.3	16.7
Number of species-specific orthogroups	1006	665	2042	541	679	351	1037	390	79	1588	981	1117	432	786	531	992	2088	1332	512	1779	91	546	1749	136	3472	964	1883	1081	840	989	416	935	459	398	585	273	996	1211	261	163	116	216
Number of genes in species-specific orthogroups	6205	2066	8947	2165	2402	1785	5686	1711	201	7737	3385	6619	1314	3273	2128	3828	12833	7228	1894	6222	265	1741	11475	471	22743	5228	7588	4912	2729	4199	2114	8514	1432	1124	2320	716	3840	7044	943	481	372	690
Percentage of genes in species-specific orthogroups	35.9	15.7	33.2	12.3	17.9	14.3	34.5	12.0	1.8	26.5	18.4	30.8	8.9	16.4	14.4	17.7	38.4	27.3	12.9	24.4	2.5	12.1	40.8	4.1	54.3	26.4	26.4	27.4	18.6	22.6	16.1	39.1	9.6	8.4	12.2	4.9	19.6	38.0	5.1	2.6	2.1	3.0
