	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14176	11354	24422	14448	11501	10516	14491	12510	9014	27611	16675	19406	12250	17154	13251	18473	29561	23094	13202	22247	8017	10741	24983	9700	37382	18053	25703	13408	11942	15391	11387	19155	11585	11956	16863	13809	18283	16966	14141	16955	16207	20517
Number of unassigned genes	3104	1770	2545	3096	1881	1991	2001	1751	2221	1598	1762	2057	2544	2863	1567	3168	3892	3363	1496	3216	2728	3626	3142	1837	4514	1758	3081	4517	2697	3188	1780	2603	3306	1463	2228	885	1283	1561	4357	1851	1167	2157
Percentage of genes in orthogroups	82.0	86.5	90.6	82.4	85.9	84.1	87.9	87.7	80.2	94.5	90.4	90.4	82.8	85.7	89.4	85.4	88.4	87.3	89.8	87.4	74.6	74.8	88.8	84.1	89.2	91.1	89.3	74.8	81.6	82.8	86.5	88.0	77.8	89.1	88.3	94.0	93.4	91.6	76.4	90.2	93.3	90.5
Percentage of unassigned genes	18.0	13.5	9.4	17.6	14.1	15.9	12.1	12.3	19.8	5.5	9.6	9.6	17.2	14.3	10.6	14.6	11.6	12.7	10.2	12.6	25.4	25.2	11.2	15.9	10.8	8.9	10.7	25.2	18.4	17.2	13.5	12.0	22.2	10.9	11.7	6.0	6.6	8.4	23.6	9.8	6.7	9.5
Number of orthogroups containing species	6458	7463	10557	8823	7535	6876	6526	7895	7684	11217	9471	8668	8357	9279	7970	10306	11074	10675	8203	10313	6523	7042	9021	7731	10469	8650	10768	7326	7716	7938	7209	7172	7684	8107	10057	9249	9444	7972	10146	12941	12266	12552
Percentage of orthogroups containing species	9.3	10.7	15.2	12.7	10.8	9.9	9.4	11.4	11.1	16.1	13.6	12.5	12.0	13.4	11.5	14.8	15.9	15.4	11.8	14.8	9.4	10.1	13.0	11.1	15.1	12.4	15.5	10.5	11.1	11.4	10.4	10.3	11.1	11.7	14.5	13.3	13.6	11.5	14.6	18.6	17.6	18.1
Number of species-specific orthogroups	886	601	1818	486	616	299	950	348	68	1343	884	970	392	725	469	912	1885	1198	430	1627	86	507	1460	110	2927	813	1701	973	785	914	363	731	419	360	509	230	864	1105	238	144	94	197
Number of genes in species-specific orthogroups	6180	1962	8480	2074	2345	1707	5640	1620	177	7428	3248	6390	1259	3099	2005	3663	12722	6908	1600	6074	255	1673	11151	441	22239	4926	7262	4814	2604	4047	1937	8112	1358	1051	2125	624	3572	6893	886	440	318	610
Percentage of genes in species-specific orthogroups	35.8	14.9	31.4	11.8	17.5	13.6	34.2	11.4	1.6	25.4	17.6	29.8	8.5	15.5	13.5	16.9	38.0	26.1	10.9	23.9	2.4	11.6	39.6	3.8	53.1	24.9	25.2	26.9	17.8	21.8	14.7	37.3	9.1	7.8	11.1	4.2	18.3	37.2	4.8	2.3	1.8	2.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	63046	62041	58947	60681	61969	62628	62978	61609	61820	58287	60033	60836	61147	60225	61534	59198	58430	58829	61301	59191	62981	62462	60483	61773	59035	60854	58736	62178	61788	61566	62295	62332	61820	61397	59447	60255	60060	61532	59358	56563	57238	56952
