	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14215	11385	24519	14478	11525	10530	14542	12531	9021	27695	16727	19467	12259	17181	13271	18487	29610	23139	13247	22289	8018	10760	25039	9713	37550	18101	25755	13449	11947	15430	11411	19193	11592	11972	16909	13845	18337	16992	14144	16956	16213	20521
Number of unassigned genes	3065	1739	2448	3066	1857	1977	1950	1730	2214	1514	1710	1996	2535	2836	1547	3154	3843	3318	1451	3174	2727	3607	3086	1824	4346	1710	3029	4476	2692	3149	1756	2565	3299	1447	2182	849	1229	1535	4354	1850	1161	2153
Percentage of genes in orthogroups	82.3	86.7	90.9	82.5	86.1	84.2	88.2	87.9	80.3	94.8	90.7	90.7	82.9	85.8	89.6	85.4	88.5	87.5	90.1	87.5	74.6	74.9	89.0	84.2	89.6	91.4	89.5	75.0	81.6	83.1	86.7	88.2	77.8	89.2	88.6	94.2	93.7	91.7	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.3	9.1	17.5	13.9	15.8	11.8	12.1	19.7	5.2	9.3	9.3	17.1	14.2	10.4	14.6	11.5	12.5	9.9	12.5	25.4	25.1	11.0	15.8	10.4	8.6	10.5	25.0	18.4	16.9	13.3	11.8	22.2	10.8	11.4	5.8	6.3	8.3	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6341	7319	10181	8622	7437	6759	6390	7748	7619	10688	9252	8362	8261	9092	7795	10073	10717	10405	8010	10071	6452	6917	8649	7655	9946	8392	10391	7187	7632	7772	7089	6963	7588	7937	9804	9032	9078	7811	10003	12747	12077	12370
Percentage of orthogroups containing species	9.8	11.3	15.8	13.4	11.5	10.5	9.9	12.0	11.8	16.5	14.3	12.9	12.8	14.1	12.1	15.6	16.6	16.1	12.4	15.6	10.0	10.7	13.4	11.9	15.4	13.0	16.1	11.1	11.8	12.0	11.0	10.8	11.7	12.3	15.2	14.0	14.1	12.1	15.5	19.7	18.7	19.2
Number of species-specific orthogroups	814	561	1650	448	582	259	876	322	61	1173	822	859	375	689	414	856	1722	1109	377	1500	78	471	1274	90	2580	700	1566	893	761	854	328	619	405	337	469	212	770	1026	224	128	86	192
Number of genes in species-specific orthogroups	6085	1912	8067	1992	2200	1582	5601	1539	162	6947	3165	6218	1222	3027	1911	3466	12422	6724	1444	5866	236	1594	10656	358	21861	4575	6976	4720	2533	3947	1879	7720	1340	1016	2033	583	3363	6774	830	388	287	617
Percentage of genes in species-specific orthogroups	35.2	14.6	29.9	11.4	16.4	12.6	34.0	10.8	1.4	23.8	17.2	29.0	8.3	15.1	12.9	16.0	37.1	25.4	9.8	23.0	2.2	11.1	37.9	3.1	52.2	23.1	24.2	26.3	17.3	21.2	14.3	35.5	9.0	7.6	10.6	4.0	17.2	36.6	4.5	2.1	1.7	2.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	58243	57265	54403	55962	57147	57825	58194	56836	56965	53896	55332	56222	56323	55492	56789	54511	53867	54179	56574	54513	58132	57667	55935	56929	54638	56192	54193	57397	56952	56812	57495	57621	56996	56647	54780	55552	55506	56773	54581	51837	52507	52214
'1	4497	5436	6317	6185	5428	5534	4218	5734	6738	6544	6106	5424	5989	5951	5617	6671	5260	6855	6114	4394	5609	5227	5151	6680	5406	5903	5061	5253	5541	5221	5588	5236	5568	5873	6940	6745	6163	5254	8344	10617	9846	8486
'2	991	1123	1769	1472	1269	683	1122	1214	636	1950	1742	1578	1535	1821	1356	1973	2995	1831	1071	3644	562	984	1680	641	1873	1233	2955	955	1266	1374	878	845	1270	1270	1637	1346	1428	1347	999	1397	1503	2348
'3	287	347	690	458	379	219	332	359	141	727	635	504	434	557	339	624	989	628	318	892	129	311	616	163	801	445	925	341	412	479	234	227	389	416	520	461	571	416	284	324	358	721
'4	149	165	353	168	160	109	198	156	44	382	292	223	147	259	144	275	426	283	178	442	63	148	307	58	425	202	471	165	143	211	116	132	141	149	265	181	303	209	116	159	132	338
'5	83	86	256	99	53	47	117	83	25	242	172	138	66	156	99	147	239	186	90	206	28	68	167	35	249	135	251	101	90	125	66	84	83	94	138	107	158	119	58	74	79	155
'6	58	37	158	64	47	38	89	58	10	124	77	73	28	76	66	95	154	128	51	140	19	47	127	20	179	77	164	84	59	82	53	63	48	39	92	66	91	77	29	47	46	100
'7	31	34	123	37	30	30	57	31	7	104	54	63	14	63	30	61	116	81	37	77	15	28	74	11	127	57	88	49	41	52	25	43	29	29	43	34	62	53	34	34	38	60
'8	33	26	89	28	16	15	47	21	6	91	38	52	10	36	21	39	79	55	23	47	5	29	60	9	94	56	82	45	19	40	15	26	11	18	32	31	43	47	25	25	18	42
'9	23	12	64	12	11	14	30	18	3	67	26	38	10	25	17	29	59	40	21	47	4	16	52	5	77	33	66	33	11	25	17	23	13	11	26	18	32	31	17	16	15	27
'10	17	12	50	26	8	8	24	8	5	52	27	39	2	28	15	26	45	30	20	36	5	9	34	5	58	25	46	38	16	18	15	22	11	7	13	13	34	23	13	14	12	20
11-15	60	24	162	43	18	27	67	34	3	164	50	83	15	56	50	76	137	115	41	86	13	32	139	15	224	104	132	64	22	66	40	77	17	19	53	13	88	110	57	31	23	40
16-20	34	9	56	8	10	12	34	10	1	89	15	47	3	31	14	26	72	69	17	27	0	11	63	6	117	42	60	26	7	29	14	49	4	7	20	7	53	42	17	6	6	20
21-50	61	8	87	18	6	18	45	20	0	135	16	84	7	29	24	31	120	88	27	31	0	7	142	7	227	67	86	30	5	44	26	102	2	5	21	9	48	80	10	3	1	13
51-100	14	0	5	3	2	3	6	2	0	15	1	11	1	4	3	0	20	16	2	2	0	0	33	0	75	10	4	3	0	6	2	21	1	0	4	1	4	3	0	0	0	0
101-150	2	0	1	1	0	2	2	0	0	2	1	4	0	0	0	0	4	0	0	0	0	0	2	0	9	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
201-500	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

