	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'6	61	39	159	63	45	45	91	57	11	130	80	74	26	77	62	104	158	132	55	141	19	48	128	18	182	75	160	83	59	89	47	65	46	40	87	59	85	74	30	49	48	97
'7	30	33	133	41	31	24	57	31	5	116	56	73	12	59	30	56	118	81	32	79	13	30	76	11	123	57	92	53	39	44	29	44	26	30	44	35	69	57	32	32	37	59
'8	32	23	89	21	17	18	46	18	6	81	36	45	12	39	22	41	83	56	21	47	6	28	61	8	99	53	79	43	20	38	15	28	11	20	35	28	43	47	25	26	18	44
'9	25	12	60	17	11	15	34	19	3	74	22	37	9	23	15	27	57	41	26	46	4	16	52	5	80	38	60	29	13	25	17	25	12	8	26	21	37	32	17	15	15	26
'10	17	11	50	27	7	8	24	8	5	49	25	36	2	27	17	24	43	29	18	36	3	7	38	9	66	24	43	35	15	17	12	27	12	6	13	12	29	23	14	16	14	22
11-15	64	26	155	39	18	24	70	34	3	161	51	84	14	55	48	69	143	119	36	86	13	31	141	12	217	102	135	63	19	68	42	80	17	20	52	13	91	110	57	28	21	38
16-20	35	8	57	10	9	13	31	13	1	95	11	43	3	31	12	27	74	68	16	27	0	9	67	5	124	43	55	30	7	29	16	54	4	4	20	5	50	40	15	6	5	19
21-50	56	7	84	15	6	16	46	16	0	130	17	88	7	28	25	30	113	80	27	28	0	7	136	7	230	65	82	26	5	44	23	96	3	5	22	10	42	78	10	2	1	13
51-100	13	0	4	3	2	3	7	2	0	12	1	11	1	4	2	0	20	16	2	2	0	0	30	0	68	8	4	3	0	5	2	20	1	0	2	0	4	3	0	0	0	0
101-150	2	0	1	1	0	2	2	0	0	1	1	2	0	0	0	0	5	0	0	0	0	0	2	0	9	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
201-500	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	90.3	88.9	84.4	86.9	88.7	89.7	90.3	88.2	88.4	83.6	85.9	87.2	87.5	86.1	88.1	84.6	83.7	84.1	87.8	84.7	90.2	89.5	86.8	88.4	84.7	87.2	84.1	89.1	88.4	88.2	89.2	89.4	88.5	87.9	85.0	86.2	86.1	88.1	84.8	80.6	81.7	81.2
