	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14238	11413	24593	14501	11552	10537	14618	12544	9027	27768	16751	19502	12271	17209	13288	18509	29645	23171	13279	22337	8020	10775	25100	9726	37684	18128	25801	13483	11950	15454	11421	19227	11598	11982	16940	13866	18380	17012	14147	16966	16219	20522
Number of unassigned genes	3042	1711	2374	3043	1830	1970	1874	1717	2208	1441	1686	1961	2523	2808	1530	3132	3808	3286	1419	3126	2725	3592	3025	1811	4212	1683	2983	4442	2689	3125	1746	2531	3293	1437	2151	828	1186	1515	4351	1840	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.7	86.3	84.2	88.6	88.0	80.3	95.1	90.9	90.9	82.9	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.2	84.3	89.9	91.5	89.6	75.2	81.6	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.3	13.7	15.8	11.4	12.0	19.7	4.9	9.1	9.1	17.1	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.8	15.7	10.1	8.5	10.4	24.8	18.4	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5638	6401	8194	7592	6634	6085	5639	6890	7071	8486	7870	7026	7489	7966	6918	8781	9108	8925	6897	8658	5937	6274	7284	7042	7824	7108	8675	6351	6939	6834	6393	5998	6848	7034	8382	7765	7569	6875	8909	11388	10702	11058
Percentage of orthogroups containing species	12.6	14.3	18.3	17.0	14.8	13.6	12.6	15.4	15.8	19.0	17.6	15.7	16.7	17.8	15.5	19.6	20.3	19.9	15.4	19.3	13.3	14.0	16.3	15.7	17.5	15.9	19.4	14.2	15.5	15.3	14.3	13.4	15.3	15.7	18.7	17.3	16.9	15.4	19.9	25.4	23.9	24.7
Number of species-specific orthogroups	555	324	894	277	372	147	552	233	39	555	523	478	288	476	290	628	1126	749	191	940	57	319	732	51	1333	331	1059	540	618	584	200	249	306	210	281	124	451	649	187	67	34	143
Number of genes in species-specific orthogroups	5412	1320	5350	1402	1912	1267	4486	1286	95	3963	2374	3776	991	2185	1440	2698	10141	5140	858	4443	177	1225	7501	154	14359	2538	5145	3979	2251	3192	1448	3809	1079	724	1518	347	2296	5753	698	213	114	388
Percentage of genes in species-specific orthogroups	31.3	10.1	19.8	8.0	14.3	10.1	27.2	9.0	0.8	13.6	12.9	17.6	6.7	10.9	9.7	12.5	30.3	19.4	5.8	17.4	1.6	8.5	26.7	1.3	34.3	12.8	17.9	22.2	15.4	17.2	11.0	17.5	7.2	5.4	8.0	2.4	11.7	31.1	3.8	1.1	0.7	1.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	39125	38362	36569	37171	38129	38678	39124	37873	37692	36277	36893	37737	37274	36797	37845	35982	35655	35838	37866	36105	38826	38489	37479	37721	36939	37655	36088	38412	37824	37929	38370	38765	37915	37729	36381	36998	37194	37888	35854	33375	34061	33705
'1	3907	4568	5047	5193	4597	4800	3654	4819	5988	5158	4880	4465	5065	4957	4775	5459	4223	5599	5062	3565	4881	4551	4320	5911	4499	4937	4025	4579	4762	4423	4860	4553	4718	4908	5591	5438	5001	4496	6897	8879	8103	7093
'2	983	1050	1372	1335	1216	714	1026	1176	732	1565	1535	1374	1518	1596	1265	1765	2574	1665	997	3076	675	982	1449	718	1488	1108	2426	898	1275	1259	882	794	1254	1202	1473	1272	1249	1224	1175	1525	1609	2207
'3	265	328	533	476	389	223	304	377	185	582	601	438	479	565	344	620	900	587	291	813	184	302	551	202	601	392	818	280	413	447	271	204	432	445	510	457	478	402	368	440	470	756
'4	113	144	271	194	150	112	177	165	66	278	269	204	194	264	165	297	395	257	179	402	72	155	260	79	293	151	424	140	171	211	102	108	165	170	272	215	252	210	147	192	184	388
'5	85	100	181	104	92	50	92	91	40	183	171	116	96	145	87	163	217	184	80	206	43	78	144	38	171	126	219	87	99	108	68	70	91	102	151	105	118	101	81	108	103	197
'6	47	52	142	78	48	36	79	57	18	104	87	65	40	103	55	109	147	103	53	135	25	48	101	22	113	42	148	76	59	83	43	34	57	63	109	80	92	64	37	58	55	124
'7	29	31	88	37	27	33	56	46	13	82	61	48	32	68	38	62	108	72	34	92	16	28	58	16	79	46	95	39	43	66	28	30	45	35	61	46	47	57	35	44	48	74
