	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14235	11412	24582	14497	11549	10533	14613	12542	9027	27762	16750	19500	12270	17207	13287	18504	29642	23170	13279	22334	8020	10773	25094	9724	37670	18126	25795	13480	11951	15453	11421	19221	11597	11979	16938	13864	18377	17006	14146	16964	16219	20522
Number of unassigned genes	3045	1712	2385	3047	1833	1974	1879	1719	2208	1447	1687	1963	2524	2810	1531	3137	3811	3287	1419	3129	2725	3594	3031	1813	4226	1685	2989	4445	2688	3126	1746	2537	3294	1440	2153	830	1189	1521	4352	1842	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.6	86.3	84.2	88.6	87.9	80.3	95.0	90.8	90.9	82.9	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.2	84.3	89.9	91.5	89.6	75.2	81.6	83.2	86.7	88.3	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.4	13.7	15.8	11.4	12.1	19.7	5.0	9.2	9.1	17.1	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.8	15.7	10.1	8.5	10.4	24.8	18.4	16.8	13.3	11.7	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5989	6872	9099	8087	7053	6459	6003	7352	7385	9460	8588	7660	7930	8562	7372	9491	9933	9693	7463	9368	6246	6589	7946	7393	8778	7765	9474	6796	7327	7309	6766	6436	7243	7507	9077	8406	8257	7347	9558	12172	11505	11834
Percentage of orthogroups containing species	11.2	12.9	17.0	15.1	13.2	12.1	11.2	13.7	13.8	17.7	16.1	14.3	14.8	16.0	13.8	17.7	18.6	18.1	14.0	17.5	11.7	12.3	14.9	13.8	16.4	14.5	17.7	12.7	13.7	13.7	12.7	12.0	13.5	14.0	17.0	15.7	15.4	13.7	17.9	22.8	21.5	22.1
Number of species-specific orthogroups	666	428	1210	337	479	197	669	272	50	812	662	625	331	574	352	748	1399	923	270	1181	64	379	954	69	1848	495	1277	712	693	717	249	373	358	271	355	161	570	823	206	92	52	158
Number of genes in species-specific orthogroups	5708	1652	6565	1580	2046	1448	5240	1395	135	5363	2697	5408	1125	2611	1698	3070	11533	5923	1110	5162	199	1399	9124	314	18958	3939	5885	4386	2387	3629	1620	5756	1166	886	1686	452	2811	6373	771	288	173	431
Percentage of genes in species-specific orthogroups	33.0	12.6	24.3	9.0	15.3	11.6	31.8	9.8	1.2	18.4	14.6	25.2	7.6	13.0	11.5	14.2	34.5	22.4	7.6	20.3	1.9	9.7	32.4	2.7	45.3	19.9	20.4	24.5	16.3	19.5	12.3	26.5	7.8	6.6	8.8	3.1	14.4	34.4	4.2	1.5	1.0	1.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	47486	46603	44376	45388	46422	47016	47472	46123	46090	44015	44887	45815	45545	44913	46103	43984	43542	43782	46012	44107	47229	46886	45529	46082	44697	45710	44001	46679	46148	46166	46709	47039	46232	45968	44398	45069	45218	46128	43917	41303	41970	41641
'1	4237	5019	5666	5685	5020	5227	3989	5316	6395	5827	5540	4968	5589	5490	5226	6111	4767	6267	5612	4003	5325	4899	4787	6366	5003	5493	4534	4960	5201	4844	5277	4920	5155	5402	6275	6103	5568	4895	7766	9890	9124	7912
'2	966	1079	1504	1391	1233	685	1025	1203	706	1703	1620	1453	1530	1715	1291	1910	2793	1738	1014	3351	599	977	1521	654	1611	1129	2637	904	1273	1305	881	795	1293	1256	1557	1293	1322	1282	1060	1443	1543	2301
'3	269	333	595	463	395	213	320	348	155	636	609	444	452	542	338	616	921	607	301	840	152	300	599	179	637	403	866	299	401	456	232	209	403	433	483	478	501	400	321	376	409	735
'4	126	161	318	181	158	107	192	157	54	304	281	210	165	263	171	265	406	277	180	421	64	144	255	67	365	180	439	167	159	207	112	101	151	155	263	178	259	202	122	169	155	359
'5	83	96	196	108	85	45	94	96	31	196	166	127	79	167	83	165	239	177	80	210	34	69	147	36	218	122	241	103	88	130	58	67	84	87	158	115	123	109	64	92	82	171
'6	55	38	137	68	35	38	77	63	16	126	82	69	38	85	60	101	147	115	58	124	22	49	117	16	135	63	170	59	64	77	32	44	51	56	95	69	91	67	40	51	51	108
'7	27	33	118	28	34	33	54	33	9	94	70	57	20	69	38	63	116	70	38	90	18	33	60	22	95	52	91	48	39	48	28	34	36	33	51	50	59	56	27	30	41	60
'8	33	25	91	28	20	18	45	25	4	64	51	41	14	40	26	39	72	47	24	58	6	29	43	8	56	39	72	37	23	38	19	22	11	17	33	23	49	39	28	27	28	54
'9	26	16	62	25	15	15	28	17	3	55	26	28	13	31	21	34	58	46	24	56	3	18	43	7	66	34	54	33	16	27	14	14	10	16	29	24	36	23	19	25	16	30
'10	16	15	47	20	15	9	21	13	3	43	24	19	5	20	20	36	46	36	22	41	4	8	32	4	48	23	51	26	14	19	16	15	12	8	16	15	26	23	18	11	9	19
11-15	43	23	151	47	19	23	68	38	6	128	62	85	14	67	46	81	140	118	45	90	17	35	105	13	159	93	128	65	33	67	45	52	21	22	50	34	78	98	60	43	33	44
16-20	29	18	76	17	9	15	32	19	2	95	30	39	4	29	22	31	71	72	25	30	2	11	51	10	85	42	69	46	9	26	18	33	11	12	20	8	54	53	22	8	10	24
21-50	60	15	121	17	13	24	45	22	1	151	23	91	5	36	25	37	117	102	36	44	0	17	124	11	185	63	104	46	6	56	28	79	2	9	40	14	76	92	10	7	4	14
51-100	11	1	13	8	2	5	5	2	0	29	2	20	2	7	5	2	31	21	3	9	0	0	48	0	70	22	17	2	1	7	6	35	2	1	6	2	15	8	1	0	0	3
101-150	2	0	2	0	0	2	4	0	0	6	1	5	0	1	0	0	6	0	1	1	0	0	9	0	28	5	1	1	0	2	0	3	1	0	1	0	0	0	0	0	0	0
151-200	5	0	1	1	0	0	1	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	3	0	11	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
201-500	1	0	1	0	0	0	3	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	2	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	88.8	87.1	83.0	84.9	86.8	87.9	88.8	86.3	86.2	82.3	83.9	85.7	85.2	84.0	86.2	82.3	81.4	81.9	86.0	82.5	88.3	87.7	85.1	86.2	83.6	85.5	82.3	87.3	86.3	86.3	87.3	88.0	86.5	86.0	83.0	84.3	84.6	86.3	82.1	77.2	78.5	77.9
'1	7.9	9.4	10.6	10.6	9.4	9.8	7.5	9.9	12.0	10.9	10.4	9.3	10.5	10.3	9.8	11.4	8.9	11.7	10.5	7.5	10.0	9.2	9.0	11.9	9.4	10.3	8.5	9.3	9.7	9.1	9.9	9.2	9.6	10.1	11.7	11.4	10.4	9.2	14.5	18.5	17.1	14.8
'2	1.8	2.0	2.8	2.6	2.3	1.3	1.9	2.2	1.3	3.2	3.0	2.7	2.9	3.2	2.4	3.6	5.2	3.3	1.9	6.3	1.1	1.8	2.8	1.2	3.0	2.1	4.9	1.7	2.4	2.4	1.6	1.5	2.4	2.3	2.9	2.4	2.5	2.4	2.0	2.7	2.9	4.3
'3	0.5	0.6	1.1	0.9	0.7	0.4	0.6	0.7	0.3	1.2	1.1	0.8	0.8	1.0	0.6	1.2	1.7	1.1	0.6	1.6	0.3	0.6	1.1	0.3	1.2	0.8	1.6	0.6	0.7	0.9	0.4	0.4	0.8	0.8	0.9	0.9	0.9	0.7	0.6	0.7	0.8	1.4
