	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14092	11288	24231	14382	11467	10488	14393	12440	8997	27388	16579	19263	12214	17072	13200	18426	29436	22987	13101	22120	8011	10665	24806	9680	37013	17920	25582	13331	11913	15300	11341	19039	11560	11908	16768	13728	18123	16882	14129	16934	16186	20505
Number of unassigned genes	3188	1836	2736	3162	1915	2019	2099	1821	2238	1821	1858	2200	2580	2945	1618	3215	4017	3470	1597	3343	2734	3702	3319	1857	4883	1891	3202	4594	2726	3279	1826	2719	3331	1511	2323	966	1443	1645	4369	1872	1188	2169
Percentage of genes in orthogroups	81.6	86.0	89.9	82.0	85.7	83.9	87.3	87.2	80.1	93.8	89.9	89.7	82.6	85.3	89.1	85.1	88.0	86.9	89.1	86.9	74.6	74.2	88.2	83.9	88.3	90.5	88.9	74.4	81.4	82.4	86.1	87.5	77.6	88.7	87.8	93.4	92.6	91.1	76.4	90.0	93.2	90.4
Percentage of unassigned genes	18.4	14.0	10.1	18.0	14.3	16.1	12.7	12.8	19.9	6.2	10.1	10.3	17.4	14.7	10.9	14.9	12.0	13.1	10.9	13.1	25.4	25.8	11.8	16.1	11.7	9.5	11.1	25.6	18.6	17.6	13.9	12.5	22.4	11.3	12.2	6.6	7.4	8.9	23.6	10.0	6.8	9.6
Number of orthogroups containing species	6658	7632	11051	9035	7662	7004	6678	8083	7755	11861	9741	9022	8476	9500	8182	10584	11479	11031	8437	10586	6609	7161	9492	7850	11273	8988	11221	7485	7847	8134	7359	7527	7819	8293	10375	9528	9903	8158	10339	13161	12482	12761
Percentage of orthogroups containing species	8.7	9.9	14.4	11.8	10.0	9.1	8.7	10.5	10.1	15.5	12.7	11.8	11.0	12.4	10.7	13.8	15.0	14.4	11.0	13.8	8.6	9.3	12.4	10.2	14.7	11.7	14.6	9.8	10.2	10.6	9.6	9.8	10.2	10.8	13.5	12.4	12.9	10.6	13.5	17.2	16.3	16.6
Number of species-specific orthogroups	1013	670	2054	540	680	358	1048	392	78	1600	985	1124	433	793	535	997	2101	1345	519	1796	93	547	1765	138	3514	979	1890	1088	840	996	421	946	461	398	594	275	1007	1218	262	165	116	218
Number of genes in species-specific orthogroups	6199	2078	8982	2165	2397	1790	5738	1712	200	7741	3385	6619	1314	3277	2130	3842	12842	7236	1911	6259	270	1743	11498	471	22785	5259	7592	4918	2728	4217	2119	8522	1438	1126	2330	720	3847	7051	945	491	372	695
Percentage of genes in species-specific orthogroups	35.9	15.8	33.3	12.3	17.9	14.3	34.8	12.0	1.8	26.5	18.4	30.8	8.9	16.4	14.4	17.8	38.4	27.4	13.0	24.6	2.5	12.1	40.9	4.1	54.4	26.5	26.4	27.4	18.6	22.7	16.1	39.2	9.7	8.4	12.2	4.9	19.7	38.1	5.1	2.6	2.1	3.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
