Number of species	42
Number of genes	802115
Number of genes in orthogroups	698049
Number of unassigned genes	104066
Percentage of genes in orthogroups	87.0
Percentage of unassigned genes	13.0
Number of orthogroups	70751
Number of species-specific orthogroups	33217
Number of genes in species-specific orthogroups	173354
Percentage of genes in species-specific orthogroups	21.6
Mean orthogroup size	9.9
Median orthogroup size	3.0
G50 (assigned genes)	28
G50 (all genes)	24
O50 (assigned genes)	7560
O50 (all genes)	9589
Number of orthogroups with all species present	54
Number of single-copy orthogroups	0
Date	2023-10-06
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	68019	96.1	509085	72.9
'1	2233	3.2	119538	17.1
'2	281	0.4	28065	4.0
'3	112	0.2	15967	2.3
'4	51	0.1	9544	1.4
'5	26	0.0	5925	0.8
'6	9	0.0	2421	0.3
'7	9	0.0	2779	0.4
'8	2	0.0	691	0.1
'9	4	0.0	1568	0.2
'10	2	0.0	860	0.1
11-15	3	0.0	1606	0.2
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	33217
2	15683
3	4980
4	2239
5	1286
6	792
7	657
8	520
9	426
10	431
11	351
12	301
13	269
14	220
15	228
16	258
17	250
18	249
19	338
20	405
21	451
22	556
23	629
24	699
25	701
26	627
27	626
28	496
29	420
30	352
31	297
32	260
33	224
34	224
35	187
36	156
37	181
38	157
39	141
40	123
41	90
42	54
