Number of species	42
Number of genes	802115
Number of genes in orthogroups	701087
Number of unassigned genes	101028
Percentage of genes in orthogroups	87.4
Percentage of unassigned genes	12.6
Number of orthogroups	50623
Number of species-specific orthogroups	21455
Number of genes in species-specific orthogroups	136393
Percentage of genes in species-specific orthogroups	17.0
Mean orthogroup size	13.8
Median orthogroup size	4.0
G50 (assigned genes)	36
G50 (all genes)	31
O50 (assigned genes)	4877
O50 (all genes)	6396
Number of orthogroups with all species present	105
Number of single-copy orthogroups	0
Date	2023-10-05
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	47113	93.1	403105	57.5
'1	2633	5.2	144258	20.6
'2	436	0.9	43853	6.3
'3	161	0.3	23347	3.3
'4	95	0.2	17831	2.5
'5	46	0.1	10554	1.5
'6	40	0.1	10731	1.5
'7	24	0.0	7574	1.1
'8	15	0.0	5351	0.8
'9	16	0.0	6393	0.9
'10	10	0.0	4468	0.6
11-15	16	0.0	8209	1.2
16-20	12	0.0	8734	1.2
21-50	6	0.0	6679	1.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	21455
2	11187
3	3552
4	1564
5	917
6	586
7	487
8	393
9	330
10	286
11	256
12	248
13	197
14	200
15	172
16	204
17	214
18	199
19	271
20	339
21	398
22	467
23	568
24	631
25	652
26	571
27	590
28	484
29	392
30	362
31	298
32	265
33	248
34	237
35	234
36	196
37	201
38	187
39	181
40	168
41	131
42	105
