	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	41265	40483	38558	39256	40251	40808	41261	39988	39841	38262	38919	39808	39374	38856	39962	38010	37667	37848	39972	38134	40976	40631	39546	39852	38919	39700	38105	40520	39946	40042	40497	40888	40042	39836	38442	39057	39246	40003	37904	35392	36073	35723
'1	4008	4676	5212	5343	4716	4930	3751	4965	6099	5353	5081	4621	5232	5119	4890	5650	4374	5789	5194	3699	5011	4665	4449	6048	4660	5101	4161	4693	4906	4539	4985	4655	4830	5038	5765	5631	5176	4601	7151	9167	8393	7330
'2	970	1068	1414	1359	1231	703	1028	1176	736	1583	1565	1384	1522	1626	1287	1812	2626	1689	1008	3157	654	978	1473	708	1505	1122	2485	913	1272	1279	886	794	1275	1226	1509	1282	1260	1252	1145	1491	1585	2237
'3	273	322	561	470	370	219	310	365	177	591	590	434	468	564	337	620	914	597	285	822	171	295	556	190	600	387	831	272	408	443	260	205	428	448	504	447	469	402	359	437	462	740
'4	117	150	285	186	156	105	182	163	56	285	269	205	188	264	163	276	401	251	178	404	73	152	261	76	306	157	433	150	168	209	101	109	162	157	257	208	258	197	136	187	176	389
'5	83	89	185	110	94	58	87	86	34	185	171	114	88	153	84	167	223	202	76	206	38	77	138	33	185	125	230	93	91	110	65	59	91	100	148	115	127	107	75	99	95	191
'6	47	56	138	70	46	31	81	58	21	113	89	66	40	93	59	108	148	102	58	133	23	47	109	20	120	48	148	64	58	90	33	35	53	61	113	74	77	58	36	55	51	117
'7	22	29	91	41	32	31	55	43	15	83	71	49	27	70	43	71	112	75	36	91	16	28	57	19	88	48	89	43	38	59	35	34	39	39	53	46	50	61	32	40	46	70
'8	29	27	77	28	21	21	45	27	6	62	49	51	10	47	25	44	67	46	24	56	11	28	43	9	52	38	82	38	18	34	18	20	18	17	43	20	45	36	26	30	31	47
'9	25	13	58	22	11	12	30	23	3	54	23	20	14	38	24	33	54	41	23	65	6	17	25	8	52	39	38	33	22	25	11	11	10	17	23	23	30	25	23	19	26	32
'10	22	19	45	18	16	8	19	16	4	37	30	20	8	17	17	33	45	34	17	34	3	14	29	6	36	23	57	18	18	17	14	7	13	11	20	20	26	21	19	18	10	26
11-15	46	37	147	51	25	27	68	46	6	118	76	72	15	72	51	96	140	119	54	103	18	38	92	13	128	70	143	66	31	56	42	46	23	26	59	47	85	81	55	47	35	56
16-20	27	11	72	24	15	18	35	16	3	80	33	37	10	33	26	38	69	72	27	41	2	16	46	8	72	36	58	41	13	34	17	22	12	13	18	13	49	40	24	10	14	22
21-50	45	20	133	14	17	24	43	29	2	133	31	92	4	41	31	42	117	113	46	47	1	16	108	12	165	73	119	52	12	49	33	65	4	12	37	16	86	106	16	10	5	20
51-100	15	2	21	9	2	6	2	2	0	51	4	18	3	9	3	3	31	25	4	9	0	1	49	1	65	27	20	7	2	14	5	31	2	2	11	4	18	13	2	1	1	3
101-150	2	1	4	1	0	2	1	0	0	7	1	6	0	1	0	0	12	0	1	1	0	0	13	0	25	7	4	0	0	3	1	11	1	0	1	0	1	0	0	0	0	0
151-200	5	0	0	1	0	0	0	0	0	4	1	1	0	0	1	0	1	0	0	0	0	0	5	0	10	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
201-500	1	0	2	0	0	0	4	0	0	2	0	5	0	0	0	0	2	0	0	1	0	0	4	0	12	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
501-1000	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	87.8	86.1	82.0	83.5	85.6	86.8	87.8	85.1	84.8	81.4	82.8	84.7	83.8	82.7	85.0	80.9	80.1	80.5	85.0	81.1	87.2	86.4	84.1	84.8	82.8	84.5	81.1	86.2	85.0	85.2	86.2	87.0	85.2	84.8	81.8	83.1	83.5	85.1	80.6	75.3	76.7	76.0
'1	8.5	9.9	11.1	11.4	10.0	10.5	8.0	10.6	13.0	11.4	10.8	9.8	11.1	10.9	10.4	12.0	9.3	12.3	11.1	7.9	10.7	9.9	9.5	12.9	9.9	10.9	8.9	10.0	10.4	9.7	10.6	9.9	10.3	10.7	12.3	12.0	11.0	9.8	15.2	19.5	17.9	15.6
'2	2.1	2.3	3.0	2.9	2.6	1.5	2.2	2.5	1.6	3.4	3.3	2.9	3.2	3.5	2.7	3.9	5.6	3.6	2.1	6.7	1.4	2.1	3.1	1.5	3.2	2.4	5.3	1.9	2.7	2.7	1.9	1.7	2.7	2.6	3.2	2.7	2.7	2.7	2.4	3.2	3.4	4.8
'3	0.6	0.7	1.2	1.0	0.8	0.5	0.7	0.8	0.4	1.3	1.3	0.9	1.0	1.2	0.7	1.3	1.9	1.3	0.6	1.7	0.4	0.6	1.2	0.4	1.3	0.8	1.8	0.6	0.9	0.9	0.6	0.4	0.9	1.0	1.1	1.0	1.0	0.9	0.8	0.9	1.0	1.6
'4	0.2	0.3	0.6	0.4	0.3	0.2	0.4	0.3	0.1	0.6	0.6	0.4	0.4	0.6	0.3	0.6	0.9	0.5	0.4	0.9	0.2	0.3	0.6	0.2	0.7	0.3	0.9	0.3	0.4	0.4	0.2	0.2	0.3	0.3	0.5	0.4	0.5	0.4	0.3	0.4	0.4	0.8
'5	0.2	0.2	0.4	0.2	0.2	0.1	0.2	0.2	0.1	0.4	0.4	0.2	0.2	0.3	0.2	0.4	0.5	0.4	0.2	0.4	0.1	0.2	0.3	0.1	0.4	0.3	0.5	0.2	0.2	0.2	0.1	0.1	0.2	0.2	0.3	0.2	0.3	0.2	0.2	0.2	0.2	0.4
'6	0.1	0.1	0.3	0.1	0.1	0.1	0.2	0.1	0.0	0.2	0.2	0.1	0.1	0.2	0.1	0.2	0.3	0.2	0.1	0.3	0.0	0.1	0.2	0.0	0.3	0.1	0.3	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.2
'7	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.2	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.0	0.1	0.1	0.0	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
'8	0.1	0.1	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1
'9	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.1
'10	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1
11-15	0.1	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.3	0.2	0.2	0.0	0.2	0.1	0.2	0.3	0.3	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.1
16-20	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0
21-50	0.1	0.0	0.3	0.0	0.0	0.1	0.1	0.1	0.0	0.3	0.1	0.2	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.0	0.0	0.2	0.0	0.4	0.2	0.3	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.2	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4008	4676	5212	5343	4716	4930	3751	4965	6099	5353	5081	4621	5232	5119	4890	5650	4374	5789	5194	3699	5011	4665	4449	6048	4660	5101	4161	4693	4906	4539	4985	4655	4830	5038	5765	5631	5176	4601	7151	9167	8393	7330
'2	1940	2136	2828	2718	2462	1406	2056	2352	1472	3166	3130	2768	3044	3252	2574	3624	5252	3378	2016	6314	1308	1956	2946	1416	3010	2244	4970	1826	2544	2558	1772	1588	2550	2452	3018	2564	2520	2504	2290	2982	3170	4474
'3	819	966	1683	1410	1110	657	930	1095	531	1773	1770	1302	1404	1692	1011	1860	2742	1791	855	2466	513	885	1668	570	1800	1161	2493	816	1224	1329	780	615	1284	1344	1512	1341	1407	1206	1077	1311	1386	2220
'4	468	600	1140	744	624	420	728	652	224	1140	1076	820	752	1056	652	1104	1604	1004	712	1616	292	608	1044	304	1224	628	1732	600	672	836	404	436	648	628	1028	832	1032	788	544	748	704	1556
'5	415	445	925	550	470	290	435	430	170	925	855	570	440	765	420	835	1115	1010	380	1030	190	385	690	165	925	625	1150	465	455	550	325	295	455	500	740	575	635	535	375	495	475	955
'6	282	336	828	420	276	186	486	348	126	678	534	396	240	558	354	648	888	612	348	798	138	282	654	120	720	288	888	384	348	540	198	210	318	366	678	444	462	348	216	330	306	702
'7	154	203	637	287	224	217	385	301	105	581	497	343	189	490	301	497	784	525	252	637	112	196	399	133	616	336	623	301	266	413	245	238	273	273	371	322	350	427	224	280	322	490
'8	232	216	616	224	168	168	360	216	48	496	392	408	80	376	200	352	536	368	192	448	88	224	344	72	416	304	656	304	144	272	144	160	144	136	344	160	360	288	208	240	248	376
'9	225	117	522	198	99	108	270	207	27	486	207	180	126	342	216	297	486	369	207	585	54	153	225	72	468	351	342	297	198	225	99	99	90	153	207	207	270	225	207	171	234	288
'10	220	190	450	180	160	80	190	160	40	370	300	200	80	170	170	330	450	340	170	340	30	140	290	60	360	230	570	180	180	170	140	70	130	110	200	200	260	210	190	180	100	260
11-15	578	463	1863	647	309	329	852	580	80	1519	978	893	184	915	659	1198	1767	1498	678	1302	227	483	1165	164	1597	892	1813	848	380	697	524	581	296	320	738	587	1061	1057	706	582	444	715
16-20	480	190	1286	430	275	321	612	281	50	1432	581	658	166	568	462	658	1240	1285	485	735	33	277	841	141	1316	641	1034	733	228	591	312	386	216	223	313	229	874	709	417	172	252	388
21-50	1461	624	4226	459	517	708	1315	835	55	4329	865	2865	106	1263	992	1260	3752	3385	1389	1373	24	468	3493	408	5247	2250	3623	1584	301	1497	1009	1998	109	322	1141	472	2634	3283	420	251	121	565
51-100	1112	132	1386	585	141	492	151	121	0	3421	221	1227	228	534	216	196	2221	1817	289	663	0	52	3440	53	4621	1816	1288	452	105	880	337	2090	143	116	781	302	1188	831	122	56	64	203
101-150	213	118	454	111	0	225	108	0	0	875	104	729	0	109	0	0	1497	0	112	108	0	0	1635	0	3142	866	458	0	0	356	147	1330	111	0	104	0	149	0	0	0	0	0
151-200	817	0	0	195	0	0	0	0	0	626	160	191	0	0	171	0	157	0	0	0	0	0	828	0	1746	169	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0
201-500	234	0	535	0	0	0	1370	0	0	598	0	1330	0	0	0	0	779	0	0	223	0	0	988	0	3538	226	0	0	0	0	0	2437	0	0	0	0	0	0	0	0	0	0
501-1000	580	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2275	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	23.2	35.6	19.3	30.5	35.2	39.4	22.7	34.8	54.3	18.3	27.6	21.5	35.4	25.6	33.0	26.1	13.1	21.9	35.3	14.5	46.6	32.5	15.8	52.4	11.1	25.7	14.5	26.2	33.5	24.4	37.9	21.4	32.4	37.5	30.2	38.3	26.5	24.8	38.7	48.7	48.3	32.3
'2	11.2	16.3	10.5	15.5	18.4	11.2	12.5	16.5	13.1	10.8	17.0	12.9	20.6	16.2	17.4	16.7	15.7	12.8	13.7	24.8	12.2	13.6	10.5	12.3	7.2	11.3	17.3	10.2	17.4	13.8	13.5	7.3	17.1	18.3	15.8	17.4	12.9	13.5	12.4	15.9	18.2	19.7
'3	4.7	7.4	6.2	8.0	8.3	5.3	5.6	7.7	4.7	6.1	9.6	6.1	9.5	8.5	6.8	8.6	8.2	6.8	5.8	9.7	4.8	6.2	5.9	4.9	4.3	5.9	8.7	4.6	8.4	7.2	5.9	2.8	8.6	10.0	7.9	9.1	7.2	6.5	5.8	7.0	8.0	9.8
'4	2.7	4.6	4.2	4.2	4.7	3.4	4.4	4.6	2.0	3.9	5.8	3.8	5.1	5.3	4.4	5.1	4.8	3.8	4.8	6.3	2.7	4.2	3.7	2.6	2.9	3.2	6.0	3.3	4.6	4.5	3.1	2.0	4.4	4.7	5.4	5.7	5.3	4.3	2.9	4.0	4.1	6.9
'5	2.4	3.4	3.4	3.1	3.5	2.3	2.6	3.0	1.5	3.2	4.6	2.7	3.0	3.8	2.8	3.9	3.3	3.8	2.6	4.0	1.8	2.7	2.5	1.4	2.2	3.2	4.0	2.6	3.1	3.0	2.5	1.4	3.1	3.7	3.9	3.9	3.2	2.9	2.0	2.6	2.7	4.2
'6	1.6	2.6	3.1	2.4	2.1	1.5	2.9	2.4	1.1	2.3	2.9	1.8	1.6	2.8	2.4	3.0	2.7	2.3	2.4	3.1	1.3	2.0	2.3	1.0	1.7	1.5	3.1	2.1	2.4	2.9	1.5	1.0	2.1	2.7	3.6	3.0	2.4	1.9	1.2	1.8	1.8	3.1
'7	0.9	1.5	2.4	1.6	1.7	1.7	2.3	2.1	0.9	2.0	2.7	1.6	1.3	2.4	2.0	2.3	2.3	2.0	1.7	2.5	1.0	1.4	1.4	1.2	1.5	1.7	2.2	1.7	1.8	2.2	1.9	1.1	1.8	2.0	1.9	2.2	1.8	2.3	1.2	1.5	1.9	2.2
'8	1.3	1.6	2.3	1.3	1.3	1.3	2.2	1.5	0.4	1.7	2.1	1.9	0.5	1.9	1.3	1.6	1.6	1.4	1.3	1.8	0.8	1.6	1.2	0.6	1.0	1.5	2.3	1.7	1.0	1.5	1.1	0.7	1.0	1.0	1.8	1.1	1.8	1.6	1.1	1.3	1.4	1.7
'9	1.3	0.9	1.9	1.1	0.7	0.9	1.6	1.5	0.2	1.7	1.1	0.8	0.9	1.7	1.5	1.4	1.5	1.4	1.4	2.3	0.5	1.1	0.8	0.6	1.1	1.8	1.2	1.7	1.4	1.2	0.8	0.5	0.6	1.1	1.1	1.4	1.4	1.2	1.1	0.9	1.3	1.3
'10	1.3	1.4	1.7	1.0	1.2	0.6	1.2	1.1	0.4	1.3	1.6	0.9	0.5	0.8	1.1	1.5	1.3	1.3	1.2	1.3	0.3	1.0	1.0	0.5	0.9	1.2	2.0	1.0	1.2	0.9	1.1	0.3	0.9	0.8	1.0	1.4	1.3	1.1	1.0	1.0	0.6	1.1
11-15	3.3	3.5	6.9	3.7	2.3	2.6	5.2	4.1	0.7	5.2	5.3	4.2	1.2	4.6	4.4	5.5	5.3	5.7	4.6	5.1	2.1	3.4	4.1	1.4	3.8	4.5	6.3	4.7	2.6	3.8	4.0	2.7	2.0	2.4	3.9	4.0	5.4	5.7	3.8	3.1	2.6	3.2
16-20	2.8	1.4	4.8	2.5	2.1	2.6	3.7	2.0	0.4	4.9	3.2	3.1	1.1	2.8	3.1	3.0	3.7	4.9	3.3	2.9	0.3	1.9	3.0	1.2	3.1	3.2	3.6	4.1	1.6	3.2	2.4	1.8	1.5	1.7	1.6	1.6	4.5	3.8	2.3	0.9	1.5	1.7
21-50	8.5	4.8	15.7	2.6	3.9	5.7	8.0	5.9	0.5	14.8	4.7	13.3	0.7	6.3	6.7	5.8	11.2	12.8	9.5	5.4	0.2	3.3	12.4	3.5	12.5	11.4	12.6	8.8	2.1	8.1	7.7	9.2	0.7	2.4	6.0	3.2	13.5	17.7	2.3	1.3	0.7	2.5
