	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14238	11412	24591	14501	11551	10537	14617	12543	9027	27768	16751	19501	12271	17209	13288	18509	29644	23171	13279	22337	8020	10774	25099	9726	37681	18128	25801	13483	11951	15453	11421	19227	11597	11981	16940	13866	18378	17012	14147	16965	16219	20522
Number of unassigned genes	3042	1712	2376	3043	1831	1970	1875	1718	2208	1441	1686	1962	2523	2808	1530	3132	3809	3286	1419	3126	2725	3593	3026	1811	4215	1683	2983	4442	2688	3126	1746	2531	3294	1438	2151	828	1188	1515	4351	1841	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.7	86.3	84.2	88.6	88.0	80.3	95.1	90.9	90.9	82.9	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.2	84.3	89.9	91.5	89.6	75.2	81.6	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.3	13.7	15.8	11.4	12.0	19.7	4.9	9.1	9.1	17.1	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.8	15.7	10.1	8.5	10.4	24.8	18.4	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5738	6520	8445	7747	6752	6195	5742	7015	7162	8741	8084	7195	7629	8147	7041	8993	9336	9155	7031	8869	6027	6372	7457	7151	8084	7303	8898	6483	7057	6961	6506	6115	6961	7167	8561	7946	7757	7000	9099	11611	10930	11280
Percentage of orthogroups containing species	12.2	13.9	18.0	16.5	14.4	13.2	12.2	14.9	15.2	18.6	17.2	15.3	16.2	17.3	15.0	19.1	19.9	19.5	15.0	18.9	12.8	13.6	15.9	15.2	17.2	15.5	18.9	13.8	15.0	14.8	13.8	13.0	14.8	15.2	18.2	16.9	16.5	14.9	19.4	24.7	23.3	24.0
Number of species-specific orthogroups	579	349	973	297	397	162	580	237	42	613	556	510	295	509	308	660	1197	805	199	1005	57	334	797	56	1463	373	1126	586	630	614	213	277	317	228	296	132	480	692	192	74	43	145
Number of genes in species-specific orthogroups	5496	1447	5695	1446	1943	1324	4578	1327	112	4378	2456	4065	1008	2342	1504	2820	10432	5507	870	4726	175	1277	7845	266	16685	2792	5347	4074	2267	3326	1524	4123	1083	772	1550	368	2421	5945	714	244	149	409
Percentage of genes in species-specific orthogroups	31.8	11.0	21.1	8.2	14.5	10.6	27.8	9.3	1.0	15.0	13.3	18.9	6.8	11.7	10.1	13.0	31.2	20.8	5.9	18.6	1.6	8.9	27.9	2.3	39.8	14.1	18.6	22.7	15.5	17.9	11.6	18.9	7.3	5.8	8.1	2.5	12.4	32.1	3.9	1.3	0.9	1.8


