	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14139	11319	24354	14415	11490	10508	14438	12479	9009	27537	16643	19354	12244	17127	13227	18449	29505	23047	13159	22194	8016	10712	24910	9690	37242	17996	25647	13370	11928	15355	11368	19102	11577	11935	16819	13774	18215	16931	14137	16949	16199	20511
Number of unassigned genes	3141	1805	2613	3129	1892	1999	2054	1782	2226	1672	1794	2109	2550	2890	1591	3192	3948	3410	1539	3269	2729	3655	3215	1847	4654	1815	3137	4555	2711	3224	1799	2656	3314	1484	2272	920	1351	1596	4361	1857	1175	2163
Percentage of genes in orthogroups	81.8	86.2	90.3	82.2	85.9	84.0	87.5	87.5	80.2	94.3	90.3	90.2	82.8	85.6	89.3	85.3	88.2	87.1	89.5	87.2	74.6	74.6	88.6	84.0	88.9	90.8	89.1	74.6	81.5	82.6	86.3	87.8	77.7	88.9	88.1	93.7	93.1	91.4	76.4	90.1	93.2	90.5
Percentage of unassigned genes	18.2	13.8	9.7	17.8	14.1	16.0	12.5	12.5	19.8	5.7	9.7	9.8	17.2	14.4	10.7	14.7	11.8	12.9	10.5	12.8	25.4	25.4	11.4	16.0	11.1	9.2	10.9	25.4	18.5	17.4	13.7	12.2	22.3	11.1	11.9	6.3	6.9	8.6	23.6	9.9	6.8	9.5
Number of orthogroups containing species	6558	7544	10795	8936	7598	6950	6592	7991	7730	11551	9616	8852	8413	9403	8071	10432	11273	10844	8328	10449	6570	7105	9241	7787	10892	8819	11002	7405	7794	8040	7290	7341	7750	8201	10230	9378	9668	8065	10241	13042	12374	12653
Percentage of orthogroups containing species	9.0	10.3	14.8	12.2	10.4	9.5	9.0	10.9	10.6	15.8	13.2	12.1	11.5	12.9	11.1	14.3	15.4	14.8	11.4	14.3	9.0	9.7	12.7	10.7	14.9	12.1	15.1	10.1	10.7	11.0	10.0	10.1	10.6	11.2	14.0	12.8	13.2	11.0	14.0	17.9	16.9	17.3
Number of species-specific orthogroups	950	639	1937	516	650	329	989	369	73	1479	947	1057	410	761	494	952	1984	1272	484	1717	89	526	1602	118	3226	881	1797	1027	815	951	397	829	437	377	547	245	916	1162	249	152	107	205
Number of genes in species-specific orthogroups	6207	2036	8813	2124	2374	1757	5655	1680	188	7599	3329	6527	1286	3171	2067	3750	12738	6982	1820	6164	261	1729	11345	434	22602	5073	7421	4842	2651	4166	2068	8336	1391	1079	2248	657	3657	6975	904	456	349	624
Percentage of genes in species-specific orthogroups	35.9	15.5	32.7	12.1	17.7	14.0	34.3	11.8	1.7	26.0	18.1	30.4	8.7	15.8	13.9	17.3	38.1	26.4	12.4	24.2	2.4	12.0	40.3	3.8	53.9	25.6	25.8	27.0	18.1	22.4	15.7	38.3	9.3	8.0	11.8	4.5	18.7	37.6	4.9	2.4	2.0	2.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	66469	65483	62232	64091	65429	66077	66435	65036	65297	61476	63411	64175	64614	63624	64956	62595	61754	62183	64699	62578	66457	65922	63786	65240	62135	64208	62025	65622	65233	64987	65737	65686	65277	64826	62797	63649	63359	64962	62786	59985	60653	60374
