	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14237	11412	24589	14499	11550	10534	14613	12541	9027	27767	16750	19500	12270	17206	13288	18508	29644	23170	13279	22337	8020	10774	25096	9726	37673	18125	25799	13482	11951	15453	11421	19224	11598	11980	16940	13864	18377	17010	14147	16965	16219	20522
Number of unassigned genes	3043	1712	2378	3045	1832	1973	1879	1720	2208	1442	1687	1963	2524	2811	1530	3133	3809	3287	1419	3126	2725	3593	3029	1811	4223	1686	2985	4443	2688	3126	1746	2534	3293	1439	2151	830	1189	1517	4351	1841	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.6	86.3	84.2	88.6	87.9	80.3	95.1	90.8	90.9	82.9	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.2	84.3	89.9	91.5	89.6	75.2	81.6	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.4	13.7	15.8	11.4	12.1	19.7	4.9	9.2	9.1	17.1	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.8	15.7	10.1	8.5	10.4	24.8	18.4	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5889	6729	8812	7956	6947	6348	5892	7208	7297	9151	8361	7445	7809	8399	7232	9289	9688	9488	7270	9175	6167	6489	7734	7293	8475	7560	9216	6670	7217	7167	6651	6310	7129	7365	8863	8211	8026	7212	9378	11959	11282	11617
Percentage of orthogroups containing species	11.6	13.3	17.4	15.7	13.7	12.5	11.6	14.2	14.4	18.1	16.5	14.7	15.4	16.6	14.3	18.3	19.1	18.7	14.4	18.1	12.2	12.8	15.3	14.4	16.7	14.9	18.2	13.2	14.3	14.2	13.1	12.5	14.1	14.5	17.5	16.2	15.9	14.2	18.5	23.6	22.3	22.9
Number of species-specific orthogroups	638	399	1109	316	448	185	625	251	48	713	616	567	314	542	342	702	1320	885	245	1104	60	356	880	62	1676	442	1210	654	662	677	230	331	337	248	333	151	534	765	201	79	49	149
Number of genes in species-specific orthogroups	5665	1553	6235	1514	2007	1406	5220	1364	128	4653	2581	4693	1067	2454	1604	2966	11191	5814	1054	4958	183	1332	8467	287	17668	3532	5646	4288	2333	3523	1556	5054	1119	819	1633	429	2633	6170	764	264	164	402
Percentage of genes in species-specific orthogroups	32.8	11.8	23.1	8.6	15.0	11.2	31.7	9.6	1.1	15.9	14.0	21.9	7.2	12.3	10.8	13.7	33.5	22.0	7.2	19.5	1.7	9.3	30.1	2.5	42.2	17.8	19.6	23.9	15.9	19.0	11.8	23.2	7.5	6.1	8.6	2.9	13.5	33.3	4.1	1.4	0.9	1.8
