	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14068	11263	24184	14370	11461	10484	14380	12432	8994	27338	16554	19240	12209	17051	13190	18408	29406	22972	13076	22088	8011	10656	24783	9674	36917	17886	25552	13320	11904	15287	11328	19008	11555	11895	16743	13707	18098	16867	14125	16931	16181	20505
Number of unassigned genes	3212	1861	2783	3174	1921	2023	2112	1829	2241	1871	1883	2223	2585	2966	1628	3233	4047	3485	1622	3375	2734	3711	3342	1863	4979	1925	3232	4605	2735	3292	1839	2750	3336	1524	2348	987	1468	1660	4373	1875	1193	2169
Percentage of genes in orthogroups	81.4	85.8	89.7	81.9	85.6	83.8	87.2	87.2	80.1	93.6	89.8	89.6	82.5	85.2	89.0	85.1	87.9	86.8	89.0	86.7	74.6	74.2	88.1	83.9	88.1	90.3	88.8	74.3	81.3	82.3	86.0	87.4	77.6	88.6	87.7	93.3	92.5	91.0	76.4	90.0	93.1	90.4
Percentage of unassigned genes	18.6	14.2	10.3	18.1	14.4	16.2	12.8	12.8	19.9	6.4	10.2	10.4	17.5	14.8	11.0	14.9	12.1	13.2	11.0	13.3	25.4	25.8	11.9	16.1	11.9	9.7	11.2	25.7	18.7	17.7	14.0	12.6	22.4	11.4	12.3	6.7	7.5	9.0	23.6	10.0	6.9	9.6
Number of orthogroups containing species	6692	7658	11126	9078	7686	7035	6710	8105	7767	11965	9775	9090	8503	9539	8228	10622	11562	11087	8470	10634	6629	7175	9579	7861	11376	9043	11281	7518	7867	8179	7394	7578	7835	8324	10424	9573	9970	8178	10368	13201	12513	12804
Percentage of orthogroups containing species	8.6	9.8	14.3	11.7	9.9	9.0	8.6	10.4	10.0	15.4	12.6	11.7	10.9	12.3	10.6	13.6	14.9	14.2	10.9	13.7	8.5	9.2	12.3	10.1	14.6	11.6	14.5	9.7	10.1	10.5	9.5	9.7	10.1	10.7	13.4	12.3	12.8	10.5	13.3	17.0	16.1	16.4
Number of species-specific orthogroups	1032	682	2106	554	689	370	1071	397	78	1644	990	1151	439	799	543	1005	2144	1368	531	1822	94	556	1821	145	3599	1014	1917	1103	845	1016	432	978	465	407	603	283	1028	1231	266	168	117	221
Number of genes in species-specific orthogroups	6211	2085	9080	2201	2396	1804	5769	1726	203	7810	3385	6744	1320	3302	2145	3864	12829	7281	1931	6296	271	1756	11573	485	22860	5338	7662	4922	2733	4226	2137	8544	1444	1147	2351	731	3874	7057	956	495	373	702
Percentage of genes in species-specific orthogroups	35.9	15.9	33.7	12.5	17.9	14.4	35.0	12.1	1.8	26.7	18.4	31.4	8.9	16.5	14.5	17.9	38.3	27.5	13.1	24.7	2.5	12.2	41.1	4.2	54.6	26.9	26.6	27.5	18.7	22.7	16.2	39.3	9.7	8.5	12.3	5.0	19.8	38.1	5.2	2.6	2.1	3.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	71155	70189	66721	68769	70161	70812	71137	69742	70080	65882	68072	68757	69344	68308	69619	67225	66285	66760	69377	67213	71218	70672	68268	69986	66471	68804	66566	70329	69980	69668	70453	70269	70012	69523	67423	68274	67877	69669	67479	64646	65334	65043
'1	4675	5745	6859	6618	5665	5752	4392	6097	6951	7255	6555	5923	6281	6326	5991	7177	5768	7339	6525	4697	5841	5476	5585	6916	5793	6303	5576	5449	5783	5514	5847	5514	5841	6256	7517	7301	6796	5500	8760	11179	10412	8927
'2	1091	1210	2094	1532	1328	721	1212	1263	608	2282	1888	1763	1527	1925	1455	2092	3213	1983	1141	3951	531	1021	1892	624	2352	1400	3300	1032	1286	1471	925	976	1275	1356	1733	1457	1668	1420	1000	1369	1464	2412
'3	325	355	812	475	369	254	393	343	127	893	667	520	427	591	347	618	1063	680	372	937	135	323	743	169	1017	493	995	399	408	510	257	309	396	401	554	437	670	466	263	294	327	697
'4	156	155	383	168	146	103	213	151	33	448	289	262	145	245	144	260	463	305	152	446	57	137	367	49	562	246	516	193	153	229	116	165	134	146	252	163	314	221	117	142	122	335
'5	88	70	280	98	58	53	99	85	20	273	146	142	49	146	86	145	279	190	79	181	19	79	212	39	331	146	257	104	91	134	68	113	77	71	125	94	156	118	44	73	61	148
'6	70	38	157	49	34	35	87	49	11	167	67	94	26	64	67	96	150	125	46	130	16	46	154	16	246	79	166	91	55	73	46	78	41	29	82	42	86	84	29	49	39	92
'7	34	25	119	33	28	25	68	30	5	132	41	66	13	59	22	44	124	77	37	79	10	25	96	10	177	72	96	59	30	34	24	44	22	24	41	27	60	57	31	24	31	53
'8	39	20	91	11	12	23	41	17	5	72	27	39	8	42	24	41	89	65	23	49	3	18	66	8	121	62	82	42	14	46	21	45	10	18	27	13	34	38	27	24	14	47
'9	23	13	52	19	14	9	26	10	1	72	22	40	3	20	13	21	60	37	23	44	4	11	59	7	89	35	46	29	9	27	13	37	13	6	16	12	32	40	16	13	15	26
'10	19	8	48	19	9	6	27	8	4	54	17	34	3	18	11	22	42	41	9	24	3	6	58	5	85	29	34	26	14	24	11	42	7	1	9	5	34	31	16	10	6	14
11-15	71	13	121	32	11	28	68	27	2	150	33	94	11	50	36	67	132	108	29	59	10	21	161	14	238	81	109	61	15	61	35	104	9	12	37	13	65	95	46	19	16	28
16-20	36	3	62	12	7	14	36	13	0	78	11	44	4	31	12	16	71	59	22	22	0	9	59	2	134	46	40	17	6	19	13	46	5	2	16	4	29	47	11	4	5	14
21-50	58	3	43	10	4	9	42	11	0	84	10	62	5	21	19	23	86	71	10	13	0	3	115	2	190	46	63	15	3	36	18	85	4	2	15	5	24	60	8	1	1	11
51-100	5	0	4	2	1	1	4	1	0	4	1	4	1	1	1	0	16	7	2	2	0	0	9	0	37	5	1	1	0	1	0	9	1	0	0	0	2	1	0	0	0	0
101-150	2	0	0	0	0	2	2	0	0	1	1	2	0	0	0	0	5	0	0	0	0	0	2	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
151-200	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	91.4	90.2	85.7	88.3	90.1	91.0	91.4	89.6	90.0	84.6	87.4	88.3	89.1	87.7	89.4	86.4	85.1	85.8	89.1	86.3	91.5	90.8	87.7	89.9	85.4	88.4	85.5	90.3	89.9	89.5	90.5	90.3	89.9	89.3	86.6	87.7	87.2	89.5	86.7	83.0	83.9	83.6
'1	6.0	7.4	8.8	8.5	7.3	7.4	5.6	7.8	8.9	9.3	8.4	7.6	8.1	8.1	7.7	9.2	7.4	9.4	8.4	6.0	7.5	7.0	7.2	8.9	7.4	8.1	7.2	7.0	7.4	7.1	7.5	7.1	7.5	8.0	9.7	9.4	8.7	7.1	11.3	14.4	13.4	11.5
'2	1.4	1.6	2.7	2.0	1.7	0.9	1.6	1.6	0.8	2.9	2.4	2.3	2.0	2.5	1.9	2.7	4.1	2.5	1.5	5.1	0.7	1.3	2.4	0.8	3.0	1.8	4.2	1.3	1.7	1.9	1.2	1.3	1.6	1.7	2.2	1.9	2.1	1.8	1.3	1.8	1.9	3.1
'3	0.4	0.5	1.0	0.6	0.5	0.3	0.5	0.4	0.2	1.1	0.9	0.7	0.5	0.8	0.4	0.8	1.4	0.9	0.5	1.2	0.2	0.4	1.0	0.2	1.3	0.6	1.3	0.5	0.5	0.7	0.3	0.4	0.5	0.5	0.7	0.6	0.9	0.6	0.3	0.4	0.4	0.9
'4	0.2	0.2	0.5	0.2	0.2	0.1	0.3	0.2	0.0	0.6	0.4	0.3	0.2	0.3	0.2	0.3	0.6	0.4	0.2	0.6	0.1	0.2	0.5	0.1	0.7	0.3	0.7	0.2	0.2	0.3	0.1	0.2	0.2	0.2	0.3	0.2	0.4	0.3	0.2	0.2	0.2	0.4
'5	0.1	0.1	0.4	0.1	0.1	0.1	0.1	0.1	0.0	0.4	0.2	0.2	0.1	0.2	0.1	0.2	0.4	0.2	0.1	0.2	0.0	0.1	0.3	0.1	0.4	0.2	0.3	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.2	0.1	0.1	0.1	0.2
'6	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1
