	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14244	11414	24600	14502	11556	10538	14619	12545	9027	27772	16751	19504	12272	17210	13288	18510	29647	23179	13280	22340	8020	10778	25105	9726	37696	18128	25806	13487	11953	15460	11421	19229	11599	11984	16940	13866	18382	17014	14147	16966	16219	20522
Number of unassigned genes	3036	1710	2367	3042	1826	1969	1873	1716	2208	1437	1686	1959	2522	2807	1530	3131	3806	3278	1418	3123	2725	3589	3020	1811	4200	1683	2978	4438	2686	3119	1746	2529	3292	1435	2151	828	1184	1513	4351	1840	1155	2152
Percentage of genes in orthogroups	82.4	87.0	91.2	82.7	86.4	84.3	88.6	88.0	80.3	95.1	90.9	90.9	83.0	86.0	89.7	85.5	88.6	87.6	90.4	87.7	74.6	75.0	89.3	84.3	90.0	91.5	89.7	75.2	81.7	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.0	8.8	17.3	13.6	15.7	11.4	12.0	19.7	4.9	9.1	9.1	17.0	14.0	10.3	14.5	11.4	12.4	9.6	12.3	25.4	25.0	10.7	15.7	10.0	8.5	10.3	24.8	18.3	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	4982	5521	6789	6540	5776	5291	4999	6023	6336	7018	6660	6006	6579	6834	6016	7501	7638	7532	5952	7347	5264	5506	6157	6306	6468	6024	7332	5513	6102	5895	5579	5234	6028	6055	7068	6590	6310	5926	7612	9862	9166	9565
Percentage of orthogroups containing species	14.6	16.2	19.9	19.2	17.0	15.5	14.7	17.7	18.6	20.6	19.6	17.6	19.3	20.1	17.7	22.0	22.4	22.1	17.5	21.6	15.5	16.2	18.1	18.5	19.0	17.7	21.5	16.2	17.9	17.3	16.4	15.4	17.7	17.8	20.8	19.4	18.5	17.4	22.4	29.0	26.9	28.1
Number of species-specific orthogroups	419	197	530	204	268	96	409	172	32	344	337	334	229	353	218	487	800	525	116	679	50	218	468	30	838	190	817	347	514	441	136	162	246	143	196	81	274	467	159	48	17	131
Number of genes in species-specific orthogroups	4875	830	2976	987	1631	894	3193	866	80	2397	1651	2032	817	1645	1121	2016	7412	3925	391	3198	154	855	4809	78	9188	1099	3910	2992	1847	2424	888	2212	944	558	1022	214	1456	4767	544	148	56	359
Percentage of genes in species-specific orthogroups	28.2	6.3	11.0	5.6	12.2	7.1	19.4	6.1	0.7	8.2	9.0	9.5	5.5	8.2	7.6	9.3	22.2	14.8	2.7	12.6	1.4	6.0	17.1	0.7	21.9	5.5	13.6	16.7	12.6	13.0	6.7	10.2	6.3	4.2	5.4	1.5	7.4	25.7	2.9	0.8	0.3	1.6


