	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	29062	28523	27255	27504	28268	28753	29045	28021	27708	27026	27384	28038	27465	27210	28028	26543	26406	26512	28092	26697	28780	28538	27887	27738	27576	28020	26712	28531	27942	28149	28465	28810	28016	27989	26976	27454	27734	28118	26432	24182	24878	24479
'1	3244	3707	4030	4153	3702	3871	3048	3917	5048	4068	3857	3593	4120	3969	3882	4316	3279	4403	4105	2768	4012	3714	3453	5009	3628	3949	3166	3727	3893	3577	3929	3735	3839	3908	4368	4305	3937	3606	5378	7162	6440	5709
'2	950	976	1210	1235	1171	769	969	1116	776	1355	1332	1227	1363	1413	1193	1533	2154	1465	978	2525	744	1001	1277	741	1278	1023	2058	929	1184	1145	925	845	1174	1118	1304	1116	1110	1150	1172	1441	1460	1881
'3	292	360	469	494	401	260	322	384	252	554	563	444	507	543	363	629	796	573	317	758	238	328	542	269	583	404	747	322	438	451	305	246	457	452	520	457	459	431	459	535	545	766
'4	131	147	249	201	175	118	171	199	104	260	293	225	244	265	176	315	390	275	176	424	92	150	283	97	258	183	411	139	197	216	121	116	202	207	279	232	253	199	199	257	247	430
'5	94	87	160	122	99	74	95	112	43	173	162	109	133	160	102	182	225	182	79	222	60	71	141	55	147	103	227	82	105	108	73	57	105	115	160	124	129	120	93	119	131	228
'6	51	53	109	80	56	44	75	70	40	103	94	62	70	111	69	105	160	110	44	158	31	54	79	40	92	63	139	51	83	87	52	40	69	61	112	102	65	77	59	89	90	157
'7	22	34	72	48	33	25	49	42	20	70	59	56	38	71	34	78	93	79	37	101	24	29	53	18	57	39	106	43	40	57	33	28	51	44	65	52	48	56	48	62	63	88
'8	26	22	52	40	32	23	32	35	14	45	64	43	25	51	25	45	71	62	28	68	18	29	36	13	32	39	81	25	24	41	21	24	26	30	47	33	41	25	34	39	35	77
'9	29	16	51	22	16	18	33	21	10	46	29	21	13	42	19	36	57	39	28	51	11	17	24	13	40	19	38	21	29	29	12	7	25	21	34	24	30	28	30	30	28	46
'10	16	14	41	23	12	15	21	12	8	35	35	23	17	23	27	36	38	30	13	38	4	14	28	7	35	20	35	14	23	18	10	8	16	14	25	22	18	17	22	25	30	33
11-15	48	47	107	59	34	28	86	48	12	91	73	61	24	79	49	106	133	88	63	103	18	41	63	21	78	65	111	59	53	65	37	36	34	39	66	56	72	69	61	54	50	79
16-20	21	19	62	19	20	11	37	23	4	44	32	26	14	34	26	51	63	67	22	40	9	26	31	10	42	20	60	26	11	31	18	14	17	21	22	34	44	35	23	24	25	37
21-50	33	30	115	31	17	22	49	39	5	97	53	78	8	56	38	56	124	108	50	72	2	28	73	9	95	54	111	50	20	40	25	35	11	20	44	25	66	79	31	24	21	30
51-100	11	7	48	10	5	7	8	5	0	42	11	22	2	13	9	13	28	40	6	12	1	4	36	3	46	23	31	19	2	24	14	17	0	4	17	6	28	27	2	0	0	3
101-150	5	1	10	0	3	4	0	0	0	17	2	6	0	3	3	0	13	9	2	4	0	0	15	1	20	10	4	3	0	4	4	8	1	1	1	1	5	5	1	1	1	0
151-200	1	0	0	2	0	1	0	0	0	10	0	1	1	1	0	0	5	1	4	1	0	0	11	0	8	4	2	3	0	1	0	6	1	0	3	1	2	0	0	0	0	1
201-500	7	1	3	1	0	1	2	0	0	4	1	8	0	0	1	0	9	1	0	2	0	0	11	0	23	6	5	0	0	1	0	9	0	0	1	0	3	2	0	0	0	0
501-1000	1	0	1	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	85.4	83.8	80.1	80.8	83.0	84.5	85.3	82.3	81.4	79.4	80.4	82.4	80.7	79.9	82.3	78.0	77.6	77.9	82.5	78.4	84.5	83.8	81.9	81.5	81.0	82.3	78.5	83.8	82.1	82.7	83.6	84.6	82.3	82.2	79.2	80.6	81.5	82.6	77.6	71.0	73.1	71.9
'1	9.5	10.9	11.8	12.2	10.9	11.4	9.0	11.5	14.8	11.9	11.3	10.6	12.1	11.7	11.4	12.7	9.6	12.9	12.1	8.1	11.8	10.9	10.1	14.7	10.7	11.6	9.3	10.9	11.4	10.5	11.5	11.0	11.3	11.5	12.8	12.6	11.6	10.6	15.8	21.0	18.9	16.8
'2	2.8	2.9	3.6	3.6	3.4	2.3	2.8	3.3	2.3	4.0	3.9	3.6	4.0	4.2	3.5	4.5	6.3	4.3	2.9	7.4	2.2	2.9	3.8	2.2	3.8	3.0	6.0	2.7	3.5	3.4	2.7	2.5	3.4	3.3	3.8	3.3	3.3	3.4	3.4	4.2	4.3	5.5
'3	0.9	1.1	1.4	1.5	1.2	0.8	0.9	1.1	0.7	1.6	1.7	1.3	1.5	1.6	1.1	1.8	2.3	1.7	0.9	2.2	0.7	1.0	1.6	0.8	1.7	1.2	2.2	0.9	1.3	1.3	0.9	0.7	1.3	1.3	1.5	1.3	1.3	1.3	1.3	1.6	1.6	2.3
'4	0.4	0.4	0.7	0.6	0.5	0.3	0.5	0.6	0.3	0.8	0.9	0.7	0.7	0.8	0.5	0.9	1.1	0.8	0.5	1.2	0.3	0.4	0.8	0.3	0.8	0.5	1.2	0.4	0.6	0.6	0.4	0.3	0.6	0.6	0.8	0.7	0.7	0.6	0.6	0.8	0.7	1.3
'5	0.3	0.3	0.5	0.4	0.3	0.2	0.3	0.3	0.1	0.5	0.5	0.3	0.4	0.5	0.3	0.5	0.7	0.5	0.2	0.7	0.2	0.2	0.4	0.2	0.4	0.3	0.7	0.2	0.3	0.3	0.2	0.2	0.3	0.3	0.5	0.4	0.4	0.4	0.3	0.3	0.4	0.7
'6	0.1	0.2	0.3	0.2	0.2	0.1	0.2	0.2	0.1	0.3	0.3	0.2	0.2	0.3	0.2	0.3	0.5	0.3	0.1	0.5	0.1	0.2	0.2	0.1	0.3	0.2	0.4	0.1	0.2	0.3	0.2	0.1	0.2	0.2	0.3	0.3	0.2	0.2	0.2	0.3	0.3	0.5
'7	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.1	0.2	0.3	0.2	0.1	0.3	0.1	0.1	0.2	0.1	0.2	0.1	0.3	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.3
'8	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2
'9	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
'10	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1
11-15	0.1	0.1	0.3	0.2	0.1	0.1	0.3	0.1	0.0	0.3	0.2	0.2	0.1	0.2	0.1	0.3	0.4	0.3	0.2	0.3	0.1	0.1	0.2	0.1	0.2	0.2	0.3	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.2
16-20	0.1	0.1	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
21-50	0.1	0.1	0.3	0.1	0.0	0.1	0.1	0.1	0.0	0.3	0.2	0.2	0.0	0.2	0.1	0.2	0.4	0.3	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.2	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.1
51-100	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	3244	3707	4030	4153	3702	3871	3048	3917	5048	4068	3857	3593	4120	3969	3882	4316	3279	4403	4105	2768	4012	3714	3453	5009	3628	3949	3166	3727	3893	3577	3929	3735	3839	3908	4368	4305	3937	3606	5378	7162	6440	5709
'2	1900	1952	2420	2470	2342	1538	1938	2232	1552	2710	2664	2454	2726	2826	2386	3066	4308	2930	1956	5050	1488	2002	2554	1482	2556	2046	4116	1858	2368	2290	1850	1690	2348	2236	2608	2232	2220	2300	2344	2882	2920	3762
'3	876	1080	1407	1482	1203	780	966	1152	756	1662	1689	1332	1521	1629	1089	1887	2388	1719	951	2274	714	984	1626	807	1749	1212	2241	966	1314	1353	915	738	1371	1356	1560	1371	1377	1293	1377	1605	1635	2298
'4	524	588	996	804	700	472	684	796	416	1040	1172	900	976	1060	704	1260	1560	1100	704	1696	368	600	1132	388	1032	732	1644	556	788	864	484	464	808	828	1116	928	1012	796	796	1028	988	1720
'5	470	435	800	610	495	370	475	560	215	865	810	545	665	800	510	910	1125	910	395	1110	300	355	705	275	735	515	1135	410	525	540	365	285	525	575	800	620	645	600	465	595	655	1140
'6	306	318	654	480	336	264	450	420	240	618	564	372	420	666	414	630	960	660	264	948	186	324	474	240	552	378	834	306	498	522	312	240	414	366	672	612	390	462	354	534	540	942
'7	154	238	504	336	231	175	343	294	140	490	413	392	266	497	238	546	651	553	259	707	168	203	371	126	399	273	742	301	280	399	231	196	357	308	455	364	336	392	336	434	441	616
'8	208	176	416	320	256	184	256	280	112	360	512	344	200	408	200	360	568	496	224	544	144	232	288	104	256	312	648	200	192	328	168	192	208	240	376	264	328	200	272	312	280	616
'9	261	144	459	198	144	162	297	189	90	414	261	189	117	378	171	324	513	351	252	459	99	153	216	117	360	171	342	189	261	261	108	63	225	189	306	216	270	252	270	270	252	414
'10	160	140	410	230	120	150	210	120	80	350	350	230	170	230	270	360	380	300	130	380	40	140	280	70	350	200	350	140	230	180	100	80	160	140	250	220	180	170	220	250	300	330
11-15	616	611	1398	752	444	364	1082	612	160	1140	919	785	309	1007	623	1330	1672	1110	798	1294	227	516	801	265	972	818	1423	730	658	811	459	454	429	487	831	701	901	880	757	669	608	984
16-20	374	338	1084	332	353	202	665	406	73	785	565	468	249	592	460	903	1116	1203	396	716	159	468	565	173	751	356	1080	458	189	548	319	251	303	379	388	589	779	630	401	418	442	667
21-50	1068	863	3682	1007	532	685	1485	1241	145	3094	1689	2455	216	1695	1241	1745	3976	3279	1512	2209	49	836	2342	296	2951	1692	3450	1485	620	1281	798	1104	322	570	1257	721	2111	2535	910	673	596	938
51-100	802	459	3409	681	377	493	501	326	0	2815	763	1483	166	924	561	873	1942	2696	458	804	66	251	2521	231	3213	1701	2070	1265	137	1663	888	1185	0	263	1121	454	2080	1870	134	0	0	214
101-150	614	136	1266	0	321	458	0	0	0	2021	220	729	0	373	308	0	1491	1102	212	484	0	0	1801	143	2482	1227	479	370	0	474	495	997	110	139	114	101	567	568	133	134	122	0
151-200	179	0	0	312	0	165	0	0	0	1697	0	175	151	156	0	0	796	156	664	176	0	0	1907	0	1376	679	354	526	0	157	0	1061	180	0	508	168	327	0	0	0	0	172
201-500	1861	229	696	335	0	205	562	0	0	1269	303	2285	0	0	231	0	2922	211	0	721	0	0	3111	0	7237	1867	1732	0	0	212	0	2792	0	0	210	0	922	460	0	0	0	0
501-1000	627	0	969	0	0	0	1657	0	0	2374	0	773	0	0	0	0	0	0	0	0	0	0	958	0	2383	0	0	0	0	0	0	1604	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4714	0	0	0	0	0	0	2098	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	18.8	28.2	14.9	23.7	27.7	31.0	18.5	27.5	44.9	13.9	20.9	16.7	27.8	19.8	26.2	19.9	9.8	16.6	27.9	10.9	37.3	25.9	12.3	43.4	8.7	19.9	11.0	20.8	26.6	19.3	29.8	17.2	25.8	29.1	22.9	29.3	20.1	19.5	29.1	38.1	37.1	25.2
'2	11.0	14.9	9.0	14.1	17.5	12.3	11.8	15.7	13.8	9.3	14.4	11.4	18.4	14.1	16.1	14.2	12.9	11.1	13.3	19.8	13.8	13.9	9.1	12.8	6.1	10.3	14.3	10.4	16.2	12.3	14.1	7.8	15.8	16.7	13.7	15.2	11.3	12.4	12.7	15.3	16.8	16.6
'3	5.1	8.2	5.2	8.4	9.0	6.2	5.9	8.1	6.7	5.7	9.2	6.2	10.3	8.1	7.3	8.7	7.1	6.5	6.5	8.9	6.6	6.8	5.8	7.0	4.2	6.1	7.8	5.4	9.0	7.3	6.9	3.4	9.2	10.1	8.2	9.3	7.0	7.0	7.4	8.5	9.4	10.1
'4	3.0	4.5	3.7	4.6	5.2	3.8	4.1	5.6	3.7	3.6	6.4	4.2	6.6	5.3	4.8	5.8	4.7	4.2	4.8	6.7	3.4	4.2	4.0	3.4	2.5	3.7	5.7	3.1	5.4	4.7	3.7	2.1	5.4	6.2	5.8	6.3	5.2	4.3	4.3	5.5	5.7	7.6
'5	2.7	3.3	3.0	3.5	3.7	3.0	2.9	3.9	1.9	3.0	4.4	2.5	4.5	4.0	3.4	4.2	3.4	3.4	2.7	4.4	2.8	2.5	2.5	2.4	1.8	2.6	3.9	2.3	3.6	2.9	2.8	1.3	3.5	4.3	4.2	4.2	3.3	3.2	2.5	3.2	3.8	5.0
'6	1.8	2.4	2.4	2.7	2.5	2.1	2.7	2.9	2.1	2.1	3.1	1.7	2.8	3.3	2.8	2.9	2.9	2.5	1.8	3.7	1.7	2.3	1.7	2.1	1.3	1.9	2.9	1.7	3.4	2.8	2.4	1.1	2.8	2.7	3.5	4.2	2.0	2.5	1.9	2.8	3.1	4.2
'7	0.9	1.8	1.9	1.9	1.7	1.4	2.1	2.1	1.2	1.7	2.2	1.8	1.8	2.5	1.6	2.5	1.9	2.1	1.8	2.8	1.6	1.4	1.3	1.1	1.0	1.4	2.6	1.7	1.9	2.1	1.8	0.9	2.4	2.3	2.4	2.5	1.7	2.1	1.8	2.3	2.5	2.7
'8	1.2	1.3	1.5	1.8	1.9	1.5	1.6	2.0	1.0	1.2	2.8	1.6	1.4	2.0	1.3	1.7	1.7	1.9	1.5	2.1	1.3	1.6	1.0	0.9	0.6	1.6	2.3	1.1	1.3	1.8	1.3	0.9	1.4	1.8	2.0	1.8	1.7	1.1	1.5	1.7	1.6	2.7
'9	1.5	1.1	1.7	1.1	1.1	1.3	1.8	1.3	0.8	1.4	1.4	0.9	0.8	1.9	1.2	1.5	1.5	1.3	1.7	1.8	0.9	1.1	0.8	1.0	0.9	0.9	1.2	1.1	1.8	1.4	0.8	0.3	1.5	1.4	1.6	1.5	1.4	1.4	1.5	1.4	1.5	1.8
'10	0.9	1.1	1.5	1.3	0.9	1.2	1.3	0.8	0.7	1.2	1.9	1.1	1.1	1.1	1.8	1.7	1.1	1.1	0.9	1.5	0.4	1.0	1.0	0.6	0.8	1.0	1.2	0.8	1.6	1.0	0.8	0.4	1.1	1.0	1.3	1.5	0.9	0.9	1.2	1.3	1.7	1.5
11-15	3.6	4.7	5.2	4.3	3.3	2.9	6.6	4.3	1.4	3.9	5.0	3.7	2.1	5.0	4.2	6.1	5.0	4.2	5.4	5.1	2.1	3.6	2.8	2.3	2.3	4.1	4.9	4.1	4.5	4.4	3.5	2.1	2.9	3.6	4.4	4.8	4.6	4.7	4.1	3.6	3.5	4.3
16-20	2.2	2.6	4.0	1.9	2.6	1.6	4.0	2.8	0.6	2.7	3.1	2.2	1.7	3.0	3.1	4.2	3.3	4.5	2.7	2.8	1.5	3.3	2.0	1.5	1.8	1.8	3.8	2.6	1.3	2.9	2.4	1.2	2.0	2.8	2.0	4.0	4.0	3.4	2.2	2.2	2.5	2.9
21-50	6.2	6.6	13.7	5.7	4.0	5.5	9.0	8.7	1.3	10.6	9.2	11.4	1.5	8.5	8.4	8.1	11.9	12.4	10.3	8.7	0.5	5.8	8.3	2.6	7.0	8.5	12.0	8.3	4.2	6.9	6.1	5.1	2.2	4.2	6.6	4.9	10.8	13.7	4.9	3.6	3.4	4.1
