Number of species	42
Number of genes	802115
Number of genes in orthogroups	699419
Number of unassigned genes	102696
Percentage of genes in orthogroups	87.2
Percentage of unassigned genes	12.8
Number of orthogroups	66843
Number of species-specific orthogroups	30844
Number of genes in species-specific orthogroups	168745
Percentage of genes in species-specific orthogroups	21.0
Mean orthogroup size	10.5
Median orthogroup size	3.0
G50 (assigned genes)	29
G50 (all genes)	25
O50 (assigned genes)	7122
O50 (all genes)	9029
Number of orthogroups with all species present	65
Number of single-copy orthogroups	0
Date	2023-10-06
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	63947	95.7	493221	70.5
'1	2331	3.5	125047	17.9
'2	308	0.5	30803	4.4
'3	130	0.2	18588	2.7
'4	48	0.1	8914	1.3
'5	37	0.1	8325	1.2
'6	13	0.0	3483	0.5
'7	14	0.0	4346	0.6
'8	3	0.0	1043	0.1
'9	3	0.0	1203	0.2
'10	4	0.0	1711	0.2
11-15	5	0.0	2735	0.4
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	30844
2	14826
3	4671
4	2143
5	1208
6	753
7	611
8	507
9	417
10	408
11	332
12	281
13	258
14	229
15	220
16	255
17	239
18	237
19	323
20	405
21	449
22	548
23	619
24	692
25	693
26	635
27	618
28	508
29	418
30	347
31	299
32	265
33	228
34	226
35	192
36	162
37	188
38	159
39	152
40	125
41	88
42	65
