	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14105	11300	24261	14395	11476	10489	14405	12450	8999	27431	16593	19288	12219	17084	13208	18430	29455	22997	13112	22138	8013	10677	24830	9684	37067	17944	25599	13343	11918	15313	11346	19059	11563	11915	16782	13735	18151	16889	14129	16934	16190	20506
Number of unassigned genes	3175	1824	2706	3149	1906	2018	2087	1811	2236	1778	1844	2175	2575	2933	1610	3211	3998	3460	1586	3325	2732	3690	3295	1853	4829	1867	3185	4582	2721	3266	1821	2699	3328	1504	2309	959	1415	1638	4369	1872	1184	2168
Percentage of genes in orthogroups	81.6	86.1	90.0	82.1	85.8	83.9	87.3	87.3	80.1	93.9	90.0	89.9	82.6	85.3	89.1	85.2	88.0	86.9	89.2	86.9	74.6	74.3	88.3	83.9	88.5	90.6	88.9	74.4	81.4	82.4	86.2	87.6	77.7	88.8	87.9	93.5	92.8	91.2	76.4	90.0	93.2	90.4
Percentage of unassigned genes	18.4	13.9	10.0	17.9	14.2	16.1	12.7	12.7	19.9	6.1	10.0	10.1	17.4	14.7	10.9	14.8	12.0	13.1	10.8	13.1	25.4	25.7	11.7	16.1	11.5	9.4	11.1	25.6	18.6	17.6	13.8	12.4	22.3	11.2	12.1	6.5	7.2	8.8	23.6	10.0	6.8	9.6
Number of orthogroups containing species	6634	7602	10991	9022	7650	6989	6658	8062	7751	11800	9717	8981	8461	9479	8149	10538	11443	10991	8416	10552	6598	7152	9438	7835	11171	8953	11168	7467	7844	8108	7349	7488	7803	8273	10329	9487	9845	8145	10320	13134	12468	12742
Percentage of orthogroups containing species	8.7	10.0	14.5	11.9	10.1	9.2	8.8	10.6	10.2	15.6	12.8	11.8	11.2	12.5	10.7	13.9	15.1	14.5	11.1	13.9	8.7	9.4	12.4	10.3	14.7	11.8	14.7	9.8	10.3	10.7	9.7	9.9	10.3	10.9	13.6	12.5	13.0	10.7	13.6	17.3	16.4	16.8
Number of species-specific orthogroups	997	660	2033	539	675	349	1032	386	80	1575	974	1108	427	781	522	980	2076	1325	513	1771	91	541	1727	135	3442	958	1871	1077	839	984	416	924	456	390	576	269	986	1206	260	160	115	215
Number of genes in species-specific orthogroups	6221	2060	8942	2159	2398	1783	5670	1702	203	7717	3370	6612	1304	3266	2115	3805	12804	7187	1885	6219	265	1733	11401	470	22749	5195	7557	4910	2730	4184	2116	8504	1421	1111	2298	705	3817	7055	939	478	368	688
Percentage of genes in species-specific orthogroups	36.0	15.7	33.2	12.3	17.9	14.3	34.4	11.9	1.8	26.4	18.3	30.8	8.8	16.3	14.3	17.6	38.3	27.2	12.8	24.4	2.5	12.1	40.5	4.1	54.3	26.2	26.3	27.4	18.6	22.5	16.1	39.1	9.5	8.3	12.0	4.8	19.5	38.1	5.1	2.5	2.1	3.0
