Number of species	42
Number of genes	802115
Number of genes in orthogroups	698272
Number of unassigned genes	103843
Percentage of genes in orthogroups	87.1
Percentage of unassigned genes	12.9
Number of orthogroups	70117
Number of species-specific orthogroups	32800
Number of genes in species-specific orthogroups	172731
Percentage of genes in species-specific orthogroups	21.5
Mean orthogroup size	10.0
Median orthogroup size	3.0
G50 (assigned genes)	28
G50 (all genes)	24
O50 (assigned genes)	7496
O50 (all genes)	9504
Number of orthogroups with all species present	56
Number of single-copy orthogroups	0
Date	2023-10-06
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	67359	96.1	506757	72.6
'1	2248	3.2	120150	17.2
'2	286	0.4	28533	4.1
'3	117	0.2	16784	2.4
'4	48	0.1	8975	1.3
'5	27	0.0	6187	0.9
'6	11	0.0	2967	0.4
'7	10	0.0	3094	0.4
'8	2	0.0	701	0.1
'9	4	0.0	1580	0.2
'10	2	0.0	875	0.1
11-15	3	0.0	1669	0.2
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	32800
2	15575
3	4925
4	2241
5	1269
6	788
7	648
8	514
9	427
10	426
11	342
12	295
13	263
14	223
15	226
16	265
17	245
18	249
19	330
20	410
21	455
22	555
23	624
24	695
25	702
26	632
27	621
28	495
29	421
30	353
31	297
32	261
33	226
34	225
35	188
36	158
37	179
38	160
39	141
40	124
41	88
42	56
