	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14082	11281	24214	14375	11466	10488	14388	12439	8994	27372	16573	19257	12211	17059	13193	18421	29428	22984	13094	22109	8011	10663	24799	9679	36983	17901	25573	13323	11910	15294	11339	19029	11560	11906	16761	13722	18111	16873	14128	16933	16185	20505
Number of unassigned genes	3198	1843	2753	3169	1916	2019	2104	1822	2241	1837	1864	2206	2583	2958	1625	3220	4025	3473	1604	3354	2734	3704	3326	1858	4913	1910	3211	4602	2729	3285	1828	2729	3331	1513	2330	972	1455	1654	4370	1873	1189	2169
Percentage of genes in orthogroups	81.5	86.0	89.8	81.9	85.7	83.9	87.2	87.2	80.1	93.7	89.9	89.7	82.5	85.2	89.0	85.1	88.0	86.9	89.1	86.8	74.6	74.2	88.2	83.9	88.3	90.4	88.8	74.3	81.4	82.3	86.1	87.5	77.6	88.7	87.8	93.4	92.6	91.1	76.4	90.0	93.2	90.4
Percentage of unassigned genes	18.5	14.0	10.2	18.1	14.3	16.1	12.8	12.8	19.9	6.3	10.1	10.3	17.5	14.8	11.0	14.9	12.0	13.1	10.9	13.2	25.4	25.8	11.8	16.1	11.7	9.6	11.2	25.7	18.6	17.7	13.9	12.5	22.4	11.3	12.2	6.6	7.4	8.9	23.6	10.0	6.8	9.6
Number of orthogroups containing species	6672	7638	11075	9054	7665	7016	6688	8095	7756	11895	9755	9043	8484	9514	8201	10601	11517	11050	8449	10600	6616	7167	9521	7854	11303	9004	11248	7495	7854	8150	7376	7543	7824	8307	10397	9542	9917	8158	10350	13172	12492	12775
Percentage of orthogroups containing species	8.7	9.9	14.4	11.7	9.9	9.1	8.7	10.5	10.1	15.4	12.7	11.7	11.0	12.3	10.6	13.7	14.9	14.3	11.0	13.7	8.6	9.3	12.3	10.2	14.7	11.7	14.6	9.7	10.2	10.6	9.6	9.8	10.1	10.8	13.5	12.4	12.9	10.6	13.4	17.1	16.2	16.6
Number of species-specific orthogroups	1021	675	2069	545	681	362	1059	393	76	1616	990	1130	434	794	535	999	2125	1353	520	1802	93	553	1781	143	3543	990	1903	1092	841	1004	424	952	464	403	600	277	1013	1221	264	164	117	218
Number of genes in species-specific orthogroups	6214	2082	9018	2174	2392	1795	5768	1715	196	7759	3392	6623	1312	3280	2130	3852	12856	7251	1905	6275	269	1752	11527	482	22795	5277	7619	4917	2726	4214	2115	8522	1446	1140	2347	722	3853	7056	950	488	374	695
Percentage of genes in species-specific orthogroups	36.0	15.9	33.4	12.4	17.9	14.4	35.0	12.0	1.7	26.6	18.4	30.9	8.9	16.4	14.4	17.8	38.4	27.4	13.0	24.6	2.5	12.2	41.0	4.2	54.4	26.6	26.5	27.4	18.6	22.7	16.1	39.2	9.7	8.5	12.3	4.9	19.7	38.1	5.1	2.6	2.2	3.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	70435	69469	66032	68053	69442	70091	70419	69012	69351	65212	67352	68064	68623	67593	68906	66506	65590	66057	68658	66507	70491	69940	67586	69253	65804	68103	65859	69612	69253	68957	69731	69564	69283	68800	66710	67565	67190	68949	66757	63935	64615	64332
'1	4662	5721	6833	6594	5640	5738	4380	6086	6941	7207	6537	5892	6255	6298	5963	7158	5740	7311	6506	4680	5824	5468	5556	6907	5774	6274	5555	5432	5762	5495	5832	5501	5825	6237	7481	7268	6753	5491	8743	11142	10382	8894
'2	1087	1212	2061	1533	1329	726	1205	1260	605	2253	1880	1740	1532	1925	1451	2080	3208	1973	1134	3935	531	1020	1887	622	2330	1393	3283	1027	1290	1455	922	956	1275	1347	1735	1450	1652	1409	994	1368	1466	2410
'3	324	353	815	470	369	243	391	346	127	898	669	525	428	585	347	627	1049	685	372	933	136	324	730	172	990	493	996	390	410	512	250	313	398	405	557	441	665	465	267	298	336	700
'4	154	154	385	170	145	100	214	152	34	434	285	262	145	253	147	258	465	296	152	444	58	136	364	50	565	243	517	195	154	226	117	165	137	152	252	166	316	222	115	143	119	339
'5	87	71	283	95	60	52	95	85	17	288	146	138	46	144	82	142	278	192	81	177	21	82	204	36	325	142	261	110	89	137	73	107	77	73	126	95	158	119	46	75	62	145
'6	71	40	148	53	34	39	87	49	14	163	71	97	28	66	72	99	151	127	45	133	16	43	155	18	243	83	163	90	58	78	46	76	40	26	82	39	88	80	29	49	38	92
'7	38	24	125	34	29	24	67	31	6	136	43	65	15	60	23	47	123	75	39	78	10	23	93	11	173	69	91	62	30	32	25	50	23	24	43	26	57	57	31	26	31	54
'8	39	22	89	13	13	20	43	17	5	68	27	37	8	42	21	43	85	65	25	53	3	18	72	8	118	56	82	38	14	47	21	39	10	19	26	14	37	41	24	24	13	46
'9	23	12	52	18	14	10	29	9	1	74	23	44	3	19	15	19	65	39	20	41	4	13	56	7	95	40	43	28	10	27	13	45	13	7	15	11	35	38	19	12	15	24
'10	16	6	48	19	9	6	25	10	3	54	17	34	3	19	12	22	39	42	12	22	3	5	54	5	81	31	35	25	13	22	11	39	6	1	11	7	32	31	15	11	7	16
11-15	70	16	126	32	11	32	66	24	3	149	34	93	11	50	36	67	130	105	29	68	10	23	158	14	243	78	118	65	15	63	32	97	10	12	38	15	69	97	48	19	17	30
16-20	35	3	63	11	7	13	38	13	0	81	11	45	4	31	12	15	69	62	21	20	0	9	65	1	127	50	40	17	6	18	16	46	5	2	16	5	31	46	11	4	5	14
