	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14113	11307	24286	14407	11478	10495	14417	12461	9000	27475	16609	19316	12225	17098	13209	18430	29470	23010	13120	22156	8014	10686	24852	9687	37121	17967	25617	13345	11923	15327	11352	19076	11566	11919	16799	13752	18179	16903	14132	16937	16194	20508
Number of unassigned genes	3167	1817	2681	3137	1904	2012	2075	1800	2235	1734	1828	2147	2569	2919	1609	3211	3983	3447	1578	3307	2731	3681	3273	1850	4775	1844	3167	4580	2716	3252	1815	2682	3325	1500	2292	942	1387	1624	4366	1869	1180	2166
Percentage of genes in orthogroups	81.7	86.2	90.1	82.1	85.8	83.9	87.4	87.4	80.1	94.1	90.1	90.0	82.6	85.4	89.1	85.2	88.1	87.0	89.3	87.0	74.6	74.4	88.4	84.0	88.6	90.7	89.0	74.4	81.4	82.5	86.2	87.7	77.7	88.8	88.0	93.6	92.9	91.2	76.4	90.1	93.2	90.4
Percentage of unassigned genes	18.3	13.8	9.9	17.9	14.2	16.1	12.6	12.6	19.9	5.9	9.9	10.0	17.4	14.6	10.9	14.8	11.9	13.0	10.7	13.0	25.4	25.6	11.6	16.0	11.4	9.3	11.0	25.6	18.6	17.5	13.8	12.3	22.3	11.2	12.0	6.4	7.1	8.8	23.6	9.9	6.8	9.6
Number of orthogroups containing species	6605	7581	10923	8996	7632	6982	6632	8043	7743	11704	9681	8941	8441	9461	8127	10503	11393	10953	8386	10526	6591	7135	9363	7817	11074	8914	11099	7444	7837	8082	7330	7439	7783	8245	10307	9452	9781	8123	10297	13111	12439	12717
Percentage of orthogroups containing species	8.8	10.1	14.6	12.0	10.2	9.3	8.8	10.7	10.3	15.6	12.9	11.9	11.3	12.6	10.8	14.0	15.2	14.6	11.2	14.0	8.8	9.5	12.5	10.4	14.8	11.9	14.8	9.9	10.5	10.8	9.8	9.9	10.4	11.0	13.7	12.6	13.0	10.8	13.7	17.5	16.6	17.0
Number of species-specific orthogroups	979	655	2005	532	665	344	1013	383	76	1541	965	1093	422	776	510	973	2048	1315	503	1760	91	538	1679	129	3373	934	1841	1059	832	973	412	890	448	385	574	261	961	1193	258	159	113	209
Number of genes in species-specific orthogroups	6205	2052	8908	2149	2393	1780	5678	1696	193	7644	3358	6544	1296	3226	2093	3794	12780	7143	1867	6216	265	1746	11367	457	22757	5178	7510	4866	2699	4178	2113	8457	1411	1092	2298	682	3765	7018	929	475	363	662
Percentage of genes in species-specific orthogroups	35.9	15.6	33.0	12.2	17.9	14.2	34.4	11.9	1.7	26.2	18.2	30.5	8.8	16.1	14.1	17.5	38.2	27.0	12.7	24.4	2.5	12.2	40.4	4.0	54.3	26.1	26.1	27.1	18.4	22.5	16.0	38.9	9.5	8.1	12.0	4.6	19.2	37.9	5.0	2.5	2.1	2.9


