	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14130	11319	24338	14415	11490	10505	14433	12472	9006	27515	16634	19346	12239	17124	13219	18440	29495	23036	13149	22189	8015	10701	24898	9688	37212	17991	25639	13360	11928	15348	11360	19095	11576	11932	16808	13768	18209	16928	14135	16945	16199	20511
Number of unassigned genes	3150	1805	2629	3129	1892	2002	2059	1789	2229	1694	1803	2117	2555	2893	1599	3201	3958	3421	1549	3274	2730	3666	3227	1849	4684	1820	3145	4565	2711	3231	1807	2663	3315	1487	2283	926	1357	1599	4363	1861	1175	2163
Percentage of genes in orthogroups	81.8	86.2	90.3	82.2	85.9	84.0	87.5	87.5	80.2	94.2	90.2	90.1	82.7	85.5	89.2	85.2	88.2	87.1	89.5	87.1	74.6	74.5	88.5	84.0	88.8	90.8	89.1	74.5	81.5	82.6	86.3	87.8	77.7	88.9	88.0	93.7	93.1	91.4	76.4	90.1	93.2	90.5
Percentage of unassigned genes	18.2	13.8	9.7	17.8	14.1	16.0	12.5	12.5	19.8	5.8	9.8	9.9	17.3	14.5	10.8	14.8	11.8	12.9	10.5	12.9	25.4	25.5	11.5	16.0	11.2	9.2	10.9	25.5	18.5	17.4	13.7	12.2	22.3	11.1	12.0	6.3	6.9	8.6	23.6	9.9	6.8	9.5
Number of orthogroups containing species	6572	7548	10835	8955	7609	6960	6603	8005	7731	11587	9632	8883	8421	9424	8082	10450	11308	10879	8344	10475	6575	7107	9275	7795	10931	8845	11032	7421	7802	8050	7299	7367	7762	8209	10250	9398	9699	8077	10254	13062	12392	12672
Percentage of orthogroups containing species	8.9	10.3	14.7	12.2	10.3	9.5	9.0	10.9	10.5	15.8	13.1	12.1	11.5	12.8	11.0	14.2	15.4	14.8	11.3	14.2	8.9	9.7	12.6	10.6	14.9	12.0	15.0	10.1	10.6	10.9	9.9	10.0	10.6	11.2	13.9	12.8	13.2	11.0	13.9	17.8	16.9	17.2
Number of species-specific orthogroups	959	644	1961	521	653	332	993	373	75	1490	951	1069	414	766	499	955	2005	1289	489	1728	89	527	1627	121	3254	901	1809	1043	821	957	398	841	440	378	550	252	930	1168	251	152	106	206
Number of genes in species-specific orthogroups	6202	2042	8865	2130	2372	1764	5669	1682	191	7692	3343	6525	1291	3183	2079	3745	12760	7032	1833	6179	261	1725	11358	439	22696	5104	7439	4850	2663	4169	2056	8352	1395	1078	2253	671	3701	6979	909	455	347	627
Percentage of genes in species-specific orthogroups	35.9	15.6	32.9	12.1	17.7	14.1	34.4	11.8	1.7	26.3	18.1	30.4	8.7	15.9	14.0	17.3	38.1	26.6	12.5	24.3	2.4	12.0	40.4	3.8	54.2	25.8	25.8	27.1	18.2	22.4	15.6	38.4	9.4	8.0	11.8	4.6	18.9	37.7	4.9	2.4	2.0	2.8
