	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14217	11390	24529	14482	11527	10530	14546	12534	9023	27701	16730	19473	12263	17187	13274	18493	29615	23144	13253	22291	8018	10764	25054	9713	37563	18105	25767	13455	11947	15433	11412	19201	11594	11972	16915	13848	18345	16990	14144	16956	16214	20522
Number of unassigned genes	3063	1734	2438	3062	1855	1977	1946	1727	2212	1508	1707	1990	2531	2830	1544	3148	3838	3313	1445	3172	2727	3603	3071	1824	4333	1706	3017	4470	2692	3146	1755	2557	3297	1447	2176	846	1221	1537	4354	1850	1160	2152
Percentage of genes in orthogroups	82.3	86.8	91.0	82.5	86.1	84.2	88.2	87.9	80.3	94.8	90.7	90.7	82.9	85.9	89.6	85.5	88.5	87.5	90.2	87.5	74.6	74.9	89.1	84.2	89.7	91.4	89.5	75.1	81.6	83.1	86.7	88.2	77.9	89.2	88.6	94.2	93.8	91.7	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.2	9.0	17.5	13.9	15.8	11.8	12.1	19.7	5.2	9.3	9.3	17.1	14.1	10.4	14.5	11.5	12.5	9.8	12.5	25.4	25.1	10.9	15.8	10.3	8.6	10.5	24.9	18.4	16.9	13.3	11.8	22.1	10.8	11.4	5.8	6.2	8.3	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6320	7298	10107	8587	7412	6743	6369	7726	7613	10601	9211	8309	8244	9060	7775	10045	10660	10348	7976	10034	6443	6898	8604	7644	9864	8343	10333	7154	7617	7745	7071	6921	7576	7906	9754	8994	9021	7780	9981	12714	12040	12345
Percentage of orthogroups containing species	9.9	11.4	15.8	13.5	11.6	10.6	10.0	12.1	11.9	16.6	14.4	13.0	12.9	14.2	12.2	15.7	16.7	16.2	12.5	15.7	10.1	10.8	13.5	12.0	15.5	13.1	16.2	11.2	11.9	12.1	11.1	10.9	11.9	12.4	15.3	14.1	14.1	12.2	15.6	19.9	18.9	19.4
Number of species-specific orthogroups	806	550	1615	433	573	256	863	318	61	1135	811	839	375	681	407	851	1692	1090	374	1481	75	469	1250	89	2526	685	1542	877	756	846	320	601	404	334	460	207	757	1007	222	123	80	192
Number of genes in species-specific orthogroups	6071	1885	7971	1960	2182	1583	5583	1535	161	6836	3113	6176	1223	2931	1892	3446	12377	6657	1441	5818	229	1582	10597	348	21750	4580	6875	4712	2534	3937	1859	7510	1344	1012	2015	574	3302	6698	827	373	264	617
Percentage of genes in species-specific orthogroups	35.1	14.4	29.6	11.2	16.3	12.7	33.9	10.8	1.4	23.4	16.9	28.8	8.3	14.6	12.8	15.9	37.0	25.2	9.8	22.8	2.1	11.0	37.7	3.0	51.9	23.1	23.9	26.3	17.3	21.2	14.1	34.5	9.0	7.5	10.6	3.9	16.9	36.2	4.5	2.0	1.5	2.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
