	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14221	11401	24555	14490	11539	10533	14569	12538	9025	27729	16741	19486	12268	17191	13282	18497	29631	23159	13264	22314	8020	10766	25076	9718	37611	18114	25778	13467	11950	15439	11415	19212	11594	11977	16925	13859	18361	17001	14146	16962	16216	20521
Number of unassigned genes	3059	1723	2412	3054	1843	1974	1923	1723	2210	1480	1696	1977	2526	2826	1536	3144	3822	3298	1434	3149	2725	3601	3049	1819	4285	1697	3006	4458	2689	3140	1752	2546	3297	1442	2166	835	1205	1526	4352	1844	1158	2153
Percentage of genes in orthogroups	82.3	86.9	91.1	82.6	86.2	84.2	88.3	87.9	80.3	94.9	90.8	90.8	82.9	85.9	89.6	85.5	88.6	87.5	90.2	87.6	74.6	74.9	89.2	84.2	89.8	91.4	89.6	75.1	81.6	83.1	86.7	88.3	77.9	89.3	88.7	94.3	93.8	91.8	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.1	8.9	17.4	13.8	15.8	11.7	12.1	19.7	5.1	9.2	9.2	17.1	14.1	10.4	14.5	11.4	12.5	9.8	12.4	25.4	25.1	10.8	15.8	10.2	8.6	10.4	24.9	18.4	16.9	13.3	11.7	22.1	10.7	11.3	5.7	6.2	8.2	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6252	7214	9899	8489	7334	6684	6287	7653	7568	10292	9070	8159	8174	8931	7693	9930	10487	10184	7858	9884	6411	6827	8453	7594	9558	8215	10107	7080	7566	7646	7001	6778	7516	7840	9581	8850	8838	7681	9903	12604	11926	12248
Percentage of orthogroups containing species	10.2	11.8	16.2	13.9	12.0	10.9	10.3	12.5	12.4	16.9	14.9	13.4	13.4	14.6	12.6	16.3	17.2	16.7	12.9	16.2	10.5	11.2	13.8	12.4	15.7	13.5	16.6	11.6	12.4	12.5	11.5	11.1	12.3	12.8	15.7	14.5	14.5	12.6	16.2	20.6	19.5	20.1
Number of species-specific orthogroups	776	515	1514	411	558	241	806	305	58	1041	772	783	363	644	392	830	1609	1043	339	1403	72	440	1176	82	2325	640	1462	842	746	811	302	529	391	324	434	194	710	958	216	110	71	181
Number of genes in species-specific orthogroups	5982	1814	7697	1914	2163	1535	5502	1496	154	6308	3016	6032	1191	2828	1800	3359	12141	6491	1349	5717	223	1531	10342	325	21512	4404	6624	4661	2515	3879	1832	7072	1235	1000	1958	537	3155	6652	800	334	222	584
Percentage of genes in species-specific orthogroups	34.6	13.8	28.5	10.9	16.2	12.3	33.4	10.5	1.4	21.6	16.4	28.1	8.1	14.1	12.1	15.5	36.3	24.5	9.2	22.5	2.1	10.7	36.8	2.8	51.3	22.2	23.0	26.0	17.2	20.9	13.9	32.5	8.3	7.5	10.3	3.7	16.1	35.9	4.3	1.8	1.3	2.6
