	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	54812	53850	51165	52575	53730	54380	54777	53411	53496	50772	51994	52905	52890	52133	53371	51134	50577	50880	53206	51180	54653	54237	52611	53470	51506	52849	50957	53984	53498	53418	54063	54286	53548	53224	51483	52214	52226	53383	51161	48460	49138	48816
'1	4445	5347	6157	6060	5313	5458	4163	5649	6661	6331	5945	5282	5892	5824	5534	6533	5117	6679	5970	4290	5556	5133	5062	6610	5282	5807	4894	5185	5462	5136	5524	5148	5480	5769	6739	6568	5986	5167	8213	10439	9649	8352
'2	982	1115	1676	1446	1262	682	1084	1200	651	1852	1715	1560	1517	1782	1320	1961	2966	1794	1056	3573	567	981	1639	638	1770	1186	2870	922	1275	1341	856	807	1280	1263	1602	1322	1387	1316	1010	1404	1525	2343
'3	283	335	653	455	379	219	342	351	148	672	626	462	441	550	348	624	951	621	314	876	128	311	601	168	749	434	903	326	404	466	234	210	392	421	520	459	549	411	290	339	372	721
'4	138	163	355	186	169	107	191	162	43	350	290	226	158	252	148	268	418	269	176	433	67	145	285	60	402	193	462	165	154	207	117	122	141	154	249	181	290	208	123	159	133	342
'5	81	83	232	95	63	49	104	82	30	226	171	137	66	165	97	158	240	189	87	201	30	70	167	37	242	131	250	102	87	130	63	84	83	89	150	115	158	120	61	77	76	161
'6	57	34	161	62	38	37	93	57	9	131	78	73	33	78	65	89	146	125	56	134	21	50	125	20	170	71	146	81	58	78	46	50	50	43	95	65	83	70	30	51	49	100
'7	28	34	130	38	32	34	54	36	8	109	59	61	19	62	33	60	109	83	35	86	14	26	63	15	123	52	96	57	41	58	28	38	27	30	48	39	65	55	31	29	41	59
'8	30	30	89	30	20	15	41	17	6	88	42	49	11	40	18	36	78	52	21	49	6	27	60	6	70	46	86	40	23	38	15	24	12	17	36	24	38	44	27	31	23	46
'9	29	9	63	15	11	14	30	18	3	58	24	35	10	24	18	30	55	45	24	45	4	21	37	5	72	38	65	33	13	22	19	20	10	11	27	22	39	27	19	18	14	29
'10	12	13	51	26	11	6	25	9	3	46	21	34	3	23	19	30	40	29	21	40	3	9	40	5	57	24	40	34	14	18	12	18	14	7	11	13	34	24	15	12	9	19
11-15	57	30	167	44	17	25	64	37	5	164	61	90	12	68	49	82	147	120	47	87	14	35	123	15	185	97	130	67	23	69	42	77	16	20	52	24	93	104	57	35	26	41
16-20	28	10	63	11	9	13	41	12	1	90	18	44	4	28	15	24	67	67	21	31	1	10	54	7	118	52	65	30	5	25	17	49	5	9	24	7	57	43	17	6	6	20
21-50	61	11	94	15	8	19	46	21	0	156	18	86	7	29	25	34	121	95	28	36	0	9	157	8	217	70	93	35	7	52	24	90	4	7	22	9	55	87	10	4	3	14
51-100	17	0	5	5	2	4	4	2	0	17	0	15	1	6	4	1	25	16	2	3	0	0	35	0	76	11	6	3	0	6	4	29	1	0	6	2	4	5	0	0	0	1
101-150	3	0	2	1	0	2	2	0	0	2	2	4	0	0	0	0	5	0	0	0	0	0	3	0	20	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
201-500	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	89.8	88.2	83.8	86.1	88.0	89.1	89.7	87.5	87.6	83.1	85.1	86.6	86.6	85.4	87.4	83.7	82.8	83.3	87.1	83.8	89.5	88.8	86.2	87.6	84.3	86.5	83.4	88.4	87.6	87.5	88.5	88.9	87.7	87.2	84.3	85.5	85.5	87.4	83.8	79.4	80.5	79.9
'1	7.3	8.8	10.1	9.9	8.7	8.9	6.8	9.3	10.9	10.4	9.7	8.6	9.6	9.5	9.1	10.7	8.4	10.9	9.8	7.0	9.1	8.4	8.3	10.8	8.6	9.5	8.0	8.5	8.9	8.4	9.0	8.4	9.0	9.4	11.0	10.8	9.8	8.5	13.4	17.1	15.8	13.7
'2	1.6	1.8	2.7	2.4	2.1	1.1	1.8	2.0	1.1	3.0	2.8	2.6	2.5	2.9	2.2	3.2	4.9	2.9	1.7	5.9	0.9	1.6	2.7	1.0	2.9	1.9	4.7	1.5	2.1	2.2	1.4	1.3	2.1	2.1	2.6	2.2	2.3	2.2	1.7	2.3	2.5	3.8
'3	0.5	0.5	1.1	0.7	0.6	0.4	0.6	0.6	0.2	1.1	1.0	0.8	0.7	0.9	0.6	1.0	1.6	1.0	0.5	1.4	0.2	0.5	1.0	0.3	1.2	0.7	1.5	0.5	0.7	0.8	0.4	0.3	0.6	0.7	0.9	0.8	0.9	0.7	0.5	0.6	0.6	1.2
'4	0.2	0.3	0.6	0.3	0.3	0.2	0.3	0.3	0.1	0.6	0.5	0.4	0.3	0.4	0.2	0.4	0.7	0.4	0.3	0.7	0.1	0.2	0.5	0.1	0.7	0.3	0.8	0.3	0.3	0.3	0.2	0.2	0.2	0.3	0.4	0.3	0.5	0.3	0.2	0.3	0.2	0.6
'5	0.1	0.1	0.4	0.2	0.1	0.1	0.2	0.1	0.0	0.4	0.3	0.2	0.1	0.3	0.2	0.3	0.4	0.3	0.1	0.3	0.0	0.1	0.3	0.1	0.4	0.2	0.4	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.2	0.1	0.1	0.1	0.3
'6	0.1	0.1	0.3	0.1	0.1	0.1	0.2	0.1	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.2
'7	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1
'8	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1
'9	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.0	0.3	0.1	0.0	0.0	0.1	0.1	0.0	0.3	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.0	0.1	0.2	0.0	0.3	0.2	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.2	0.1	0.1	0.0	0.1
16-20	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.1	0.2	0.2	0.0	0.1	0.0	0.0	0.3	0.0	0.4	0.1	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4445	5347	6157	6060	5313	5458	4163	5649	6661	6331	5945	5282	5892	5824	5534	6533	5117	6679	5970	4290	5556	5133	5062	6610	5282	5807	4894	5185	5462	5136	5524	5148	5480	5769	6739	6568	5986	5167	8213	10439	9649	8352
'2	1964	2230	3352	2892	2524	1364	2168	2400	1302	3704	3430	3120	3034	3564	2640	3922	5932	3588	2112	7146	1134	1962	3278	1276	3540	2372	5740	1844	2550	2682	1712	1614	2560	2526	3204	2644	2774	2632	2020	2808	3050	4686
'3	849	1005	1959	1365	1137	657	1026	1053	444	2016	1878	1386	1323	1650	1044	1872	2853	1863	942	2628	384	933	1803	504	2247	1302	2709	978	1212	1398	702	630	1176	1263	1560	1377	1647	1233	870	1017	1116	2163
'4	552	652	1420	744	676	428	764	648	172	1400	1160	904	632	1008	592	1072	1672	1076	704	1732	268	580	1140	240	1608	772	1848	660	616	828	468	488	564	616	996	724	1160	832	492	636	532	1368
'5	405	415	1160	475	315	245	520	410	150	1130	855	685	330	825	485	790	1200	945	435	1005	150	350	835	185	1210	655	1250	510	435	650	315	420	415	445	750	575	790	600	305	385	380	805
'6	342	204	966	372	228	222	558	342	54	786	468	438	198	468	390	534	876	750	336	804	126	300	750	120	1020	426	876	486	348	468	276	300	300	258	570	390	498	420	180	306	294	600
'7	196	238	910	266	224	238	378	252	56	763	413	427	133	434	231	420	763	581	245	602	98	182	441	105	861	364	672	399	287	406	196	266	189	210	336	273	455	385	217	203	287	413
'8	240	240	712	240	160	120	328	136	48	704	336	392	88	320	144	288	624	416	168	392	48	216	480	48	560	368	688	320	184	304	120	192	96	136	288	192	304	352	216	248	184	368
'9	261	81	567	135	99	126	270	162	27	522	216	315	90	216	162	270	495	405	216	405	36	189	333	45	648	342	585	297	117	198	171	180	90	99	243	198	351	243	171	162	126	261
'10	120	130	510	260	110	60	250	90	30	460	210	340	30	230	190	300	400	290	210	400	30	90	400	50	570	240	400	340	140	180	120	180	140	70	110	130	340	240	150	120	90	190
11-15	721	374	2127	559	215	313	801	474	64	2103	760	1146	150	873	620	1035	1838	1522	582	1094	173	432	1564	188	2349	1235	1651	843	278	882	524	959	205	247	649	300	1195	1338	727	433	331	527
16-20	503	179	1118	199	169	236	726	215	17	1596	304	793	65	515	259	416	1191	1194	380	553	17	168	969	122	2106	938	1135	526	89	442	305	857	90	153	434	124	1022	762	293	113	105	351
21-50	1848	306	2781	483	231	538	1401	595	0	4751	514	2549	211	877	736	992	3656	2739	816	1071	0	231	4866	225	6811	2111	2825	885	232	1469	717	2799	91	185	635	261	1602	2488	292	92	72	384
51-100	1192	0	304	328	138	303	303	112	0	1203	0	1039	92	387	255	53	1822	1111	148	192	0	0	2450	0	5191	779	385	194	0	396	265	1893	88	0	411	103	237	309	0	0	0	53
101-150	341	0	253	112	0	225	256	0	0	260	252	480	0	0	0	0	583	0	0	0	0	0	336	0	2279	403	120	0	0	0	0	144	110	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	162	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	162	0	365	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0
201-500	242	0	259	0	0	0	495	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	207	0	964	0	0	0	0	0	0	1945	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	25.7	40.7	22.8	34.5	39.7	43.6	25.2	39.6	59.3	21.7	32.2	24.6	39.8	29.1	37.3	30.2	15.3	25.2	40.6	16.8	51.7	35.7	18.0	57.3	12.6	29.3	17.0	28.9	37.3	27.6	42.0	23.7	36.8	43.0	35.3	44.7	30.6	27.9	44.4	55.5	55.5	36.8
'2	11.4	17.0	12.4	16.5	18.9	10.9	13.1	16.8	11.6	12.7	18.6	14.5	20.5	17.8	17.8	18.1	17.7	13.6	14.4	28.1	10.6	13.7	11.7	11.1	8.4	12.0	19.9	10.3	17.4	14.4	13.0	7.4	17.2	18.8	16.8	18.0	14.2	14.2	10.9	14.9	17.6	20.7
'3	4.9	7.7	7.3	7.8	8.5	5.3	6.2	7.4	4.0	6.9	10.2	6.5	8.9	8.2	7.0	8.7	8.5	7.0	6.4	10.3	3.6	6.5	6.4	4.4	5.4	6.6	9.4	5.5	8.3	7.5	5.3	2.9	7.9	9.4	8.2	9.4	8.4	6.7	4.7	5.4	6.4	9.5
'4	3.2	5.0	5.3	4.2	5.1	3.4	4.6	4.5	1.5	4.8	6.3	4.2	4.3	5.0	4.0	5.0	5.0	4.1	4.8	6.8	2.5	4.0	4.1	2.1	3.8	3.9	6.4	3.7	4.2	4.5	3.6	2.2	3.8	4.6	5.2	4.9	5.9	4.5	2.7	3.4	3.1	6.0
'5	2.3	3.2	4.3	2.7	2.4	2.0	3.2	2.9	1.3	3.9	4.6	3.2	2.2	4.1	3.3	3.7	3.6	3.6	3.0	3.9	1.4	2.4	3.0	1.6	2.9	3.3	4.3	2.8	3.0	3.5	2.4	1.9	2.8	3.3	3.9	3.9	4.0	3.2	1.6	2.0	2.2	3.6
'6	2.0	1.6	3.6	2.1	1.7	1.8	3.4	2.4	0.5	2.7	2.5	2.0	1.3	2.3	2.6	2.5	2.6	2.8	2.3	3.2	1.2	2.1	2.7	1.0	2.4	2.2	3.0	2.7	2.4	2.5	2.1	1.4	2.0	1.9	3.0	2.7	2.5	2.3	1.0	1.6	1.7	2.6
'7	1.1	1.8	3.4	1.5	1.7	1.9	2.3	1.8	0.5	2.6	2.2	2.0	0.9	2.2	1.6	1.9	2.3	2.2	1.7	2.4	0.9	1.3	1.6	0.9	2.1	1.8	2.3	2.2	2.0	2.2	1.5	1.2	1.3	1.6	1.8	1.9	2.3	2.1	1.2	1.1	1.7	1.8
'8	1.4	1.8	2.6	1.4	1.2	1.0	2.0	1.0	0.4	2.4	1.8	1.8	0.6	1.6	1.0	1.3	1.9	1.6	1.1	1.5	0.4	1.5	1.7	0.4	1.3	1.9	2.4	1.8	1.3	1.6	0.9	0.9	0.6	1.0	1.5	1.3	1.6	1.9	1.2	1.3	1.1	1.6
'9	1.5	0.6	2.1	0.8	0.7	1.0	1.6	1.1	0.2	1.8	1.2	1.5	0.6	1.1	1.1	1.2	1.5	1.5	1.5	1.6	0.3	1.3	1.2	0.4	1.5	1.7	2.0	1.7	0.8	1.1	1.3	0.8	0.6	0.7	1.3	1.3	1.8	1.3	0.9	0.9	0.7	1.2
'10	0.7	1.0	1.9	1.5	0.8	0.5	1.5	0.6	0.3	1.6	1.1	1.6	0.2	1.1	1.3	1.4	1.2	1.1	1.4	1.6	0.3	0.6	1.4	0.4	1.4	1.2	1.4	1.9	1.0	1.0	0.9	0.8	0.9	0.5	0.6	0.9	1.7	1.3	0.8	0.6	0.5	0.8
11-15	4.2	2.8	7.9	3.2	1.6	2.5	4.9	3.3	0.6	7.2	4.1	5.3	1.0	4.4	4.2	4.8	5.5	5.8	4.0	4.3	1.6	3.0	5.6	1.6	5.6	6.2	5.7	4.7	1.9	4.7	4.0	4.4	1.4	1.8	3.4	2.0	6.1	7.2	3.9	2.3	1.9	2.3
16-20	2.9	1.4	4.1	1.1	1.3	1.9	4.4	1.5	0.2	5.5	1.6	3.7	0.4	2.6	1.7	1.9	3.6	4.5	2.6	2.2	0.2	1.2	3.4	1.1	5.0	4.7	3.9	2.9	0.6	2.4	2.3	3.9	0.6	1.1	2.3	0.8	5.2	4.1	1.6	0.6	0.6	1.5
21-50	10.7	2.3	10.3	2.8	1.7	4.3	8.5	4.2	0.0	16.3	2.8	11.9	1.4	4.4	5.0	4.6	10.9	10.4	5.6	4.2	0.0	1.6	17.3	2.0	16.3	10.7	9.8	4.9	1.6	7.9	5.4	12.9	0.6	1.4	3.3	1.8	8.2	13.4	1.6	0.5	0.4	1.7
