	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14118	11308	24301	14410	11482	10502	14425	12463	9003	27496	16619	19328	12233	17109	13217	18429	29485	23014	13130	22164	8015	10690	24869	9688	37158	17976	25629	13351	11922	15332	11355	19078	11568	11922	16801	13758	18190	16913	14133	16938	16194	20510
Number of unassigned genes	3162	1816	2666	3134	1900	2005	2067	1798	2232	1713	1818	2135	2561	2908	1601	3212	3968	3443	1568	3299	2730	3677	3256	1849	4738	1835	3155	4574	2717	3247	1812	2680	3323	1497	2290	936	1376	1614	4365	1868	1180	2164
Percentage of genes in orthogroups	81.7	86.2	90.1	82.1	85.8	84.0	87.5	87.4	80.1	94.1	90.1	90.1	82.7	85.5	89.2	85.2	88.1	87.0	89.3	87.0	74.6	74.4	88.4	84.0	88.7	90.7	89.0	74.5	81.4	82.5	86.2	87.7	77.7	88.8	88.0	93.6	93.0	91.3	76.4	90.1	93.2	90.5
Percentage of unassigned genes	18.3	13.8	9.9	17.9	14.2	16.0	12.5	12.6	19.9	5.9	9.9	9.9	17.3	14.5	10.8	14.8	11.9	13.0	10.7	13.0	25.4	25.6	11.6	16.0	11.3	9.3	11.0	25.5	18.6	17.5	13.8	12.3	22.3	11.2	12.0	6.4	7.0	8.7	23.6	9.9	6.8	9.5
Number of orthogroups containing species	6595	7566	10895	8980	7629	6975	6623	8027	7738	11666	9663	8924	8434	9442	8109	10481	11367	10930	8371	10508	6586	7123	9333	7810	11029	8887	11077	7437	7817	8072	7320	7409	7769	8232	10285	9431	9749	8109	10284	13089	12423	12704
Percentage of orthogroups containing species	8.8	10.2	14.6	12.0	10.2	9.4	8.9	10.8	10.4	15.7	13.0	12.0	11.3	12.7	10.9	14.1	15.3	14.7	11.2	14.1	8.8	9.6	12.5	10.5	14.8	11.9	14.9	10.0	10.5	10.8	9.8	9.9	10.4	11.0	13.8	12.7	13.1	10.9	13.8	17.6	16.7	17.0
Number of species-specific orthogroups	974	651	1996	528	662	343	1009	380	74	1521	959	1086	421	773	506	969	2035	1306	500	1746	90	535	1662	129	3337	919	1830	1055	827	971	410	872	445	384	566	259	948	1185	256	154	110	209
Number of genes in species-specific orthogroups	6203	2047	8901	2140	2391	1785	5673	1691	188	7600	3352	6531	1300	3207	2093	3784	12782	7122	1856	6190	263	1744	11365	457	22709	5138	7486	4872	2676	4183	2115	8415	1405	1090	2285	681	3736	7019	921	464	355	662
Percentage of genes in species-specific orthogroups	35.9	15.6	33.0	12.2	17.9	14.3	34.4	11.9	1.7	26.0	18.2	30.4	8.8	16.0	14.1	17.5	38.2	26.9	12.6	24.3	2.4	12.1	40.4	4.0	54.2	25.9	26.0	27.2	18.3	22.5	16.1	38.7	9.4	8.1	12.0	4.6	19.1	37.9	5.0	2.5	2.0	2.9
