Number of species	42
Number of genes	802115
Number of genes in orthogroups	700846
Number of unassigned genes	101269
Percentage of genes in orthogroups	87.4
Percentage of unassigned genes	12.6
Number of orthogroups	58061
Number of species-specific orthogroups	25645
Number of genes in species-specific orthogroups	154074
Percentage of genes in species-specific orthogroups	19.2
Mean orthogroup size	12.1
Median orthogroup size	4.0
G50 (assigned genes)	32
G50 (all genes)	28
O50 (assigned genes)	5997
O50 (all genes)	7688
Number of orthogroups with all species present	76
Number of single-copy orthogroups	0
Date	2023-10-05
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	54799	94.4	448995	64.1
'1	2537	4.4	137384	19.6
'2	371	0.6	37225	5.3
'3	152	0.3	21869	3.1
'4	77	0.1	14350	2.0
'5	45	0.1	10366	1.5
'6	25	0.0	6733	1.0
'7	17	0.0	5308	0.8
'8	11	0.0	3906	0.6
'9	7	0.0	2772	0.4
'10	2	0.0	895	0.1
11-15	13	0.0	7223	1.0
16-20	5	0.0	3820	0.5
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	25645
2	12854
3	4078
4	1792
5	1097
6	680
7	525
8	451
9	353
10	342
11	279
12	268
13	237
14	216
15	201
16	227
17	216
18	237
19	298
20	380
21	431
22	515
23	602
24	687
25	666
26	610
27	608
28	497
29	422
30	347
31	293
32	276
33	235
34	238
35	213
36	178
37	200
38	165
39	165
40	146
41	115
42	76
