	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14223	11404	24562	14491	11540	10533	14576	12537	9025	27732	16743	19492	12267	17199	13282	18499	29632	23162	13270	22318	8020	10768	25080	9723	37627	18113	25781	13468	11950	15445	11416	19217	11594	11978	16927	13860	18364	17004	14146	16964	16217	20521
Number of unassigned genes	3057	1720	2405	3053	1842	1974	1916	1724	2210	1477	1694	1971	2527	2818	1536	3142	3821	3295	1428	3145	2725	3599	3045	1814	4269	1698	3003	4457	2689	3134	1751	2541	3297	1441	2164	834	1202	1523	4352	1842	1157	2153
Percentage of genes in orthogroups	82.3	86.9	91.1	82.6	86.2	84.2	88.4	87.9	80.3	94.9	90.8	90.8	82.9	85.9	89.6	85.5	88.6	87.5	90.3	87.6	74.6	74.9	89.2	84.3	89.8	91.4	89.6	75.1	81.6	83.1	86.7	88.3	77.9	89.3	88.7	94.3	93.9	91.8	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.7	13.1	8.9	17.4	13.8	15.8	11.6	12.1	19.7	5.1	9.2	9.2	17.1	14.1	10.4	14.5	11.4	12.5	9.7	12.4	25.4	25.1	10.8	15.7	10.2	8.6	10.4	24.9	18.4	16.9	13.3	11.7	22.1	10.7	11.3	5.7	6.1	8.2	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6228	7173	9791	8440	7307	6665	6247	7619	7548	10189	9008	8095	8144	8895	7660	9885	10424	10117	7808	9818	6396	6811	8384	7570	9461	8165	10042	7047	7543	7608	6968	6738	7484	7807	9526	8810	8756	7654	9867	12564	11885	12205
Percentage of orthogroups containing species	10.4	11.9	16.3	14.0	12.2	11.1	10.4	12.7	12.6	17.0	15.0	13.5	13.6	14.8	12.7	16.4	17.3	16.8	13.0	16.3	10.6	11.3	14.0	12.6	15.7	13.6	16.7	11.7	12.6	12.7	11.6	11.2	12.5	13.0	15.9	14.7	14.6	12.7	16.4	20.9	19.8	20.3
Number of species-specific orthogroups	766	505	1463	399	548	235	786	301	56	1011	754	758	355	632	387	819	1579	1026	329	1368	72	438	1149	80	2274	626	1441	822	741	800	297	509	386	316	423	191	693	945	216	109	71	177
Number of genes in species-specific orthogroups	5976	1806	7510	1899	2145	1533	5495	1492	149	6323	2983	5948	1182	2769	1786	3325	12066	6456	1326	5630	223	1524	10308	320	21518	4412	6473	4629	2504	3865	1816	6956	1228	981	1909	534	3126	6587	800	335	222	579
Percentage of genes in species-specific orthogroups	34.6	13.8	27.8	10.8	16.0	12.3	33.3	10.5	1.3	21.6	16.2	27.7	8.0	13.8	12.1	15.4	36.1	24.4	9.0	22.1	2.1	10.6	36.7	2.8	51.4	22.3	22.5	25.8	17.1	20.8	13.8	32.0	8.2	7.3	10.0	3.6	16.0	35.6	4.3	1.8	1.3	2.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	53871	52926	50308	51659	52792	53434	53852	52480	52551	49910	51091	52004	51955	51204	52439	50214	49675	49982	52291	50281	53703	53288	51715	52529	50638	51934	50057	53052	52556	52491	53131	53361	52615	52292	50573	51289	51343	52445	50232	47535	48214	47894
'1	4424	5302	6102	6020	5291	5444	4138	5618	6633	6271	5906	5248	5858	5798	5504	6501	5078	6619	5923	4245	5534	5112	5029	6578	5245	5779	4861	5164	5441	5107	5485	5127	5440	5736	6680	6530	5919	5148	8171	10387	9599	8313
'2	980	1117	1643	1435	1252	682	1072	1196	654	1836	1685	1542	1511	1771	1318	1949	2956	1785	1052	3552	574	991	1623	636	1754	1175	2838	917	1269	1338	864	804	1287	1264	1608	1320	1387	1310	1006	1409	1526	2332
'3	284	333	642	462	381	212	341	345	150	674	628	457	447	552	346	619	933	616	314	876	127	306	592	177	723	427	904	326	410	466	241	210	394	414	513	458	536	412	298	345	377	721
'4	141	162	343	184	170	109	192	163	44	327	288	225	155	245	149	264	416	275	173	425	66	148	283	58	403	199	467	161	152	199	113	117	140	157	250	182	286	208	124	161	134	345
