	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14186	11359	24449	14455	11513	10522	14499	12522	9014	27648	16681	19426	12252	17162	13257	18475	29571	23112	13214	22258	8017	10745	25001	9703	37431	18064	25723	13421	11946	15403	11392	19160	11588	11958	16886	13828	18298	16976	14143	16956	16206	20518
Number of unassigned genes	3094	1765	2518	3089	1869	1985	1993	1739	2221	1561	1756	2037	2542	2855	1561	3166	3882	3345	1484	3205	2728	3622	3124	1834	4465	1747	3061	4504	2693	3176	1775	2598	3303	1461	2205	866	1268	1551	4355	1850	1168	2156
Percentage of genes in orthogroups	82.1	86.6	90.7	82.4	86.0	84.1	87.9	87.8	80.2	94.7	90.5	90.5	82.8	85.7	89.5	85.4	88.4	87.4	89.9	87.4	74.6	74.8	88.9	84.1	89.3	91.2	89.4	74.9	81.6	82.9	86.5	88.1	77.8	89.1	88.5	94.1	93.5	91.6	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.9	13.4	9.3	17.6	14.0	15.9	12.1	12.2	19.8	5.3	9.5	9.5	17.2	14.3	10.5	14.6	11.6	12.6	10.1	12.6	25.4	25.2	11.1	15.9	10.7	8.8	10.6	25.1	18.4	17.1	13.5	11.9	22.2	10.9	11.5	5.9	6.5	8.4	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6429	7418	10478	8762	7514	6847	6493	7874	7667	11084	9417	8594	8331	9234	7922	10255	10964	10601	8151	10257	6507	7005	8923	7713	10341	8579	10681	7292	7701	7898	7174	7123	7662	8063	9993	9191	9358	7928	10104	12884	12204	12502
Percentage of orthogroups containing species	9.4	10.9	15.4	12.8	11.0	10.0	9.5	11.5	11.2	16.2	13.8	12.6	12.2	13.5	11.6	15.0	16.1	15.5	11.9	15.0	9.5	10.3	13.1	11.3	15.2	12.6	15.7	10.7	11.3	11.6	10.5	10.4	11.2	11.8	14.6	13.5	13.7	11.6	14.8	18.9	17.9	18.3
Number of species-specific orthogroups	869	586	1778	473	610	289	935	346	67	1295	858	950	389	719	454	902	1829	1174	415	1599	83	498	1409	102	2837	777	1671	950	779	900	355	705	414	352	499	224	835	1086	236	139	94	195
Number of genes in species-specific orthogroups	6122	1948	8387	2032	2330	1693	5625	1616	174	7315	3209	6376	1243	3084	1980	3634	12613	6830	1535	6015	248	1657	10988	409	22183	4861	7187	4811	2586	4027	1923	8054	1350	1038	2114	616	3501	6868	882	424	311	600
Percentage of genes in species-specific orthogroups	35.4	14.8	31.1	11.6	17.4	13.5	34.1	11.3	1.5	25.0	17.4	29.7	8.4	15.4	13.4	16.8	37.7	25.8	10.4	23.6	2.3	11.5	39.1	3.5	52.9	24.5	25.0	26.8	17.7	21.7	14.6	37.0	9.1	7.7	11.1	4.2	17.9	37.1	4.8	2.3	1.8	2.6


