	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14237	11411	24590	14501	11550	10536	14615	12542	9027	27766	16751	19501	12269	17208	13288	18509	29644	23170	13279	22337	8020	10774	25097	9726	37677	18126	25798	13483	11951	15453	11421	19226	11598	11981	16939	13866	18378	17011	14147	16965	16219	20522
Number of unassigned genes	3043	1713	2377	3043	1832	1971	1877	1719	2208	1443	1686	1962	2525	2809	1530	3132	3809	3287	1419	3126	2725	3593	3028	1811	4219	1685	2986	4442	2688	3126	1746	2532	3293	1438	2152	828	1188	1516	4351	1841	1155	2152
Percentage of genes in orthogroups	82.4	86.9	91.2	82.7	86.3	84.2	88.6	87.9	80.3	95.1	90.9	90.9	82.9	86.0	89.7	85.5	88.6	87.6	90.3	87.7	74.6	75.0	89.2	84.3	89.9	91.5	89.6	75.2	81.6	83.2	86.7	88.4	77.9	89.3	88.7	94.4	93.9	91.8	76.5	90.2	93.4	90.5
Percentage of unassigned genes	17.6	13.1	8.8	17.3	13.7	15.8	11.4	12.1	19.7	4.9	9.1	9.1	17.1	14.0	10.3	14.5	11.4	12.4	9.7	12.3	25.4	25.0	10.8	15.7	10.1	8.5	10.4	24.8	18.4	16.8	13.3	11.6	22.1	10.7	11.3	5.6	6.1	8.2	23.5	9.8	6.6	9.5
Number of orthogroups containing species	5818	6619	8654	7860	6858	6272	5813	7121	7233	8954	8221	7311	7721	8267	7139	9142	9531	9318	7160	9024	6103	6442	7596	7214	8285	7432	9059	6577	7137	7067	6584	6218	7052	7274	8706	8091	7898	7094	9241	11792	11111	11459
Percentage of orthogroups containing species	11.9	13.5	17.7	16.1	14.0	12.8	11.9	14.6	14.8	18.3	16.8	15.0	15.8	16.9	14.6	18.7	19.5	19.1	14.7	18.5	12.5	13.2	15.5	14.8	17.0	15.2	18.5	13.5	14.6	14.5	13.5	12.7	14.4	14.9	17.8	16.6	16.2	14.5	18.9	24.1	22.7	23.5
Number of species-specific orthogroups	605	376	1057	307	424	174	598	244	46	667	583	534	302	526	321	680	1274	842	220	1058	58	344	845	57	1579	411	1170	623	647	650	222	305	327	240	312	139	514	719	197	76	46	146
Number of genes in species-specific orthogroups	5563	1519	6045	1502	1975	1348	5080	1346	124	4534	2517	4161	1016	2410	1553	2928	10680	5676	944	4855	178	1315	8225	273	16879	3131	5508	4178	2302	3425	1532	4238	1102	798	1573	394	2583	6082	744	253	157	394
Percentage of genes in species-specific orthogroups	32.2	11.6	22.4	8.6	14.8	10.8	30.8	9.4	1.1	15.5	13.7	19.4	6.9	12.0	10.5	13.5	31.9	21.5	6.4	19.1	1.7	9.2	29.2	2.4	40.3	15.8	19.1	23.3	15.7	18.4	11.6	19.5	7.4	5.9	8.2	2.7	13.2	32.8	4.0	1.3	0.9	1.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	43033	42232	40197	40991	41993	42579	43038	41730	41618	39897	40630	41540	41130	40584	41712	39709	39320	39533	41691	39827	42748	42409	41255	41637	40566	41419	39792	42274	41714	41784	42267	42633	41799	41577	40145	40760	40953	41757	39610	37059	37740	37392
'1	4080	4768	5369	5469	4821	5019	3830	5068	6198	5509	5215	4706	5342	5226	5003	5789	4485	5926	5308	3783	5118	4752	4543	6133	4759	5214	4266	4768	4998	4636	5075	4745	4941	5145	5903	5778	5289	4693	7344	9411	8615	7521
'2	970	1076	1437	1363	1232	697	1021	1205	724	1624	1570	1407	1529	1660	1279	1840	2699	1712	1022	3232	637	971	1493	691	1544	1121	2531	916	1268	1288	885	801	1276	1255	1532	1284	1277	1254	1115	1468	1583	2250
'3	276	325	564	462	373	213	306	356	170	602	597	433	456	553	333	620	917	608	281	832	168	300	569	195	604	393	831	278	408	443	255	204	420	426	495	465	475	399	347	415	446	742
'4	112	158	289	182	169	109	184	156	53	274	271	203	182	254	164	272	401	250	190	405	68	145	252	71	322	168	440	150	160	204	98	108	159	164	259	188	256	198	139	180	172	386
'5	87	86	194	114	80	53	87	81	32	197	169	124	88	165	83	166	231	194	76	205	36	69	146	32	196	125	231	96	93	121	65	59	91	95	144	116	127	111	64	100	89	183
'6	48	48	139	62	47	35	82	59	19	105	95	61	36	87	60	98	142	103	61	136	21	45	117	17	131	50	157	65	60	86	33	35	51	59	110	76	86	55	39	51	49	112
'7	22	34	97	40	37	32	58	40	14	81	67	53	24	69	38	73	108	74	34	89	18	29	59	19	86	40	91	46	39	54	29	34	32	36	50	51	52	58	34	37	44	67
'8	33	22	76	32	19	17	46	27	6	71	48	49	12	52	28	40	72	41	21	58	8	30	36	8	50	45	79	37	16	37	18	20	18	20	49	22	50	35	25	28	29	47
'9	24	15	62	21	12	15	28	24	3	52	23	17	15	34	21	34	58	44	22	53	5	20	26	8	54	38	45	36	21	24	10	12	11	16	24	20	29	27	19	21	20	31
'10	20	18	49	17	12	8	15	15	3	38	29	21	9	16	18	43	44	35	20	37	4	11	29	4	42	21	54	18	18	14	19	11	10	7	16	23	22	20	18	16	10	29
11-15	43	36	146	50	27	26	70	44	6	125	67	75	13	71	51	90	139	123	52	100	17	38	101	16	133	77	138	68	32	64	41	46	24	26	56	38	85	80	57	46	35	46
16-20	29	11	79	23	13	17	35	16	3	83	34	38	8	31	30	35	70	71	25	38	2	16	47	8	80	37	57	43	13	29	19	24	12	13	21	11	54	51	25	8	12	23
21-50	49	19	130	14	14	23	42	28	2	137	30	92	4	39	27	39	123	114	42	45	1	14	106	11	165	68	117	52	10	53	31	68	4	10	37	15	77	102	13	10	6	19
51-100	16	2	18	9	2	6	2	2	0	43	4	22	3	9	3	3	30	23	5	9	0	2	51	1	68	27	19	3	1	12	5	30	2	2	9	4	18	11	2	1	1	3
101-150	2	1	3	1	0	2	1	0	0	9	1	6	0	1	0	0	9	0	1	1	0	0	14	0	28	6	3	1	0	2	1	11	1	0	1	0	1	0	0	0	0	0
151-200	5	0	0	1	0	0	1	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	3	0	11	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
201-500	2	0	2	0	0	0	5	0	0	1	0	4	0	0	0	0	2	0	0	1	0	0	4	0	10	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	88.1	86.5	82.3	83.9	86.0	87.2	88.1	85.4	85.2	81.7	83.2	85.0	84.2	83.1	85.4	81.3	80.5	80.9	85.3	81.5	87.5	86.8	84.5	85.2	83.0	84.8	81.5	86.5	85.4	85.5	86.5	87.3	85.6	85.1	82.2	83.4	83.8	85.5	81.1	75.9	77.3	76.5
'1	8.4	9.8	11.0	11.2	9.9	10.3	7.8	10.4	12.7	11.3	10.7	9.6	10.9	10.7	10.2	11.9	9.2	12.1	10.9	7.7	10.5	9.7	9.3	12.6	9.7	10.7	8.7	9.8	10.2	9.5	10.4	9.7	10.1	10.5	12.1	11.8	10.8	9.6	15.0	19.3	17.6	15.4
'2	2.0	2.2	2.9	2.8	2.5	1.4	2.1	2.5	1.5	3.3	3.2	2.9	3.1	3.4	2.6	3.8	5.5	3.5	2.1	6.6	1.3	2.0	3.1	1.4	3.2	2.3	5.2	1.9	2.6	2.6	1.8	1.6	2.6	2.6	3.1	2.6	2.6	2.6	2.3	3.0	3.2	4.6
'3	0.6	0.7	1.2	0.9	0.8	0.4	0.6	0.7	0.3	1.2	1.2	0.9	0.9	1.1	0.7	1.3	1.9	1.2	0.6	1.7	0.3	0.6	1.2	0.4	1.2	0.8	1.7	0.6	0.8	0.9	0.5	0.4	0.9	0.9	1.0	1.0	1.0	0.8	0.7	0.8	0.9	1.5
'4	0.2	0.3	0.6	0.4	0.3	0.2	0.4	0.3	0.1	0.6	0.6	0.4	0.4	0.5	0.3	0.6	0.8	0.5	0.4	0.8	0.1	0.3	0.5	0.1	0.7	0.3	0.9	0.3	0.3	0.4	0.2	0.2	0.3	0.3	0.5	0.4	0.5	0.4	0.3	0.4	0.4	0.8
'5	0.2	0.2	0.4	0.2	0.2	0.1	0.2	0.2	0.1	0.4	0.3	0.3	0.2	0.3	0.2	0.3	0.5	0.4	0.2	0.4	0.1	0.1	0.3	0.1	0.4	0.3	0.5	0.2	0.2	0.2	0.1	0.1	0.2	0.2	0.3	0.2	0.3	0.2	0.1	0.2	0.2	0.4
'6	0.1	0.1	0.3	0.1	0.1	0.1	0.2	0.1	0.0	0.2	0.2	0.1	0.1	0.2	0.1	0.2	0.3	0.2	0.1	0.3	0.0	0.1	0.2	0.0	0.3	0.1	0.3	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.2
'7	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.1	0.0	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
'8	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1
'9	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1
'10	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
11-15	0.1	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.3	0.1	0.2	0.0	0.1	0.1	0.2	0.3	0.3	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.2	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.1
16-20	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0
21-50	0.1	0.0	0.3	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.1	0.2	0.0	0.1	0.1	0.1	0.3	0.2	0.1	0.1	0.0	0.0	0.2	0.0	0.3	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.2	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4080	4768	5369	5469	4821	5019	3830	5068	6198	5509	5215	4706	5342	5226	5003	5789	4485	5926	5308	3783	5118	4752	4543	6133	4759	5214	4266	4768	4998	4636	5075	4745	4941	5145	5903	5778	5289	4693	7344	9411	8615	7521
'2	1940	2152	2874	2726	2464	1394	2042	2410	1448	3248	3140	2814	3058	3320	2558	3680	5398	3424	2044	6464	1274	1942	2986	1382	3088	2242	5062	1832	2536	2576	1770	1602	2552	2510	3064	2568	2554	2508	2230	2936	3166	4500
'3	828	975	1692	1386	1119	639	918	1068	510	1806	1791	1299	1368	1659	999	1860	2751	1824	843	2496	504	900	1707	585	1812	1179	2493	834	1224	1329	765	612	1260	1278	1485	1395	1425	1197	1041	1245	1338	2226
'4	448	632	1156	728	676	436	736	624	212	1096	1084	812	728	1016	656	1088	1604	1000	760	1620	272	580	1008	284	1288	672	1760	600	640	816	392	432	636	656	1036	752	1024	792	556	720	688	1544
'5	435	430	970	570	400	265	435	405	160	985	845	620	440	825	415	830	1155	970	380	1025	180	345	730	160	980	625	1155	480	465	605	325	295	455	475	720	580	635	555	320	500	445	915
'6	288	288	834	372	282	210	492	354	114	630	570	366	216	522	360	588	852	618	366	816	126	270	702	102	786	300	942	390	360	516	198	210	306	354	660	456	516	330	234	306	294	672
'7	154	238	679	280	259	224	406	280	98	567	469	371	168	483	266	511	756	518	238	623	126	203	413	133	602	280	637	322	273	378	203	238	224	252	350	357	364	406	238	259	308	469
'8	264	176	608	256	152	136	368	216	48	568	384	392	96	416	224	320	576	328	168	464	64	240	288	64	400	360	632	296	128	296	144	160	144	160	392	176	400	280	200	224	232	376
'9	216	135	558	189	108	135	252	216	27	468	207	153	135	306	189	306	522	396	198	477	45	180	234	72	486	342	405	324	189	216	90	108	99	144	216	180	261	243	171	189	180	279
'10	200	180	490	170	120	80	150	150	30	380	290	210	90	160	180	430	440	350	200	370	40	110	290	40	420	210	540	180	180	140	190	110	100	70	160	230	220	200	180	160	100	290
11-15	544	444	1847	628	337	325	874	556	78	1600	859	929	163	905	656	1128	1736	1555	653	1263	214	478	1281	198	1661	991	1747	881	392	804	513	573	302	320	706	476	1069	1029	735	568	433	591
16-20	516	194	1408	411	231	304	618	277	50	1486	600	677	133	536	526	607	1243	1266	449	674	33	274	845	141	1459	669	1016	775	228	514	340	417	216	223	376	188	968	907	438	140	213	401
21-50	1566	564	4055	438	440	669	1257	796	54	4526	817	2777	104	1197	871	1176	3924	3385	1230	1302	24	393	3357	376	5237	2098	3581	1537	284	1613	931	2115	109	278	1120	431	2416	3166	339	250	142	537
51-100	1135	119	1172	581	141	475	149	122	0	2833	216	1527	228	529	215	196	2190	1610	336	631	0	107	3463	56	4854	1819	1230	163	54	766	336	2062	143	116	647	299	1095	705	121	57	65	201
101-150	219	116	351	114	0	225	109	0	0	1138	104	745	0	108	0	0	1121	0	106	103	0	0	1758	0	3446	733	332	101	0	248	149	1328	111	0	104	0	142	0	0	0	0	0
151-200	850	0	0	183	0	0	192	0	0	511	160	0	0	0	170	0	156	0	0	0	0	0	512	0	1964	169	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0
201-500	554	0	527	0	0	0	1787	0	0	415	0	1103	0	0	0	0	735	0	0	226	0	0	980	0	3119	223	0	0	0	0	0	2176	0	0	0	0	0	0	0	0	0	0
