	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1316	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1137	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	23.6	36.3	19.9	31.2	36.0	40.1	23.2	35.5	55.2	18.9	28.3	21.9	36.1	26.1	33.8	26.8	13.4	22.4	36.1	14.9	47.6	33.1	16.2	53.2	11.4	26.3	14.8	26.6	34.1	25.0	38.5	21.8	33.2	38.3	30.9	39.3	27.0	25.3	39.7	50.0	49.6	33.2
'2	11.2	16.4	10.7	15.5	18.4	11.1	12.4	16.9	12.9	11.1	17.0	13.1	20.7	16.6	17.3	17.0	16.1	12.9	13.9	25.4	11.9	13.5	10.6	12.0	7.4	11.3	17.6	10.2	17.3	13.9	13.4	7.4	17.1	18.7	16.0	17.5	13.1	13.5	12.1	15.6	18.2	19.8
'3	4.8	7.4	6.3	7.9	8.4	5.1	5.6	7.5	4.5	6.2	9.7	6.1	9.2	8.3	6.7	8.6	8.2	6.9	5.7	9.8	4.7	6.3	6.1	5.1	4.3	6.0	8.7	4.7	8.4	7.2	5.8	2.8	8.5	9.5	7.8	9.5	7.3	6.5	5.6	6.6	7.7	9.8
'4	2.6	4.8	4.3	4.1	5.1	3.5	4.5	4.4	1.9	3.8	5.9	3.8	4.9	5.1	4.4	5.0	4.8	3.8	5.2	6.4	2.5	4.0	3.6	2.5	3.1	3.4	6.1	3.3	4.4	4.4	3.0	2.0	4.3	4.9	5.4	5.1	5.2	4.3	3.0	3.8	4.0	6.8
'5	2.5	3.3	3.6	3.2	3.0	2.1	2.6	2.8	1.4	3.4	4.6	2.9	3.0	4.1	2.8	3.8	3.5	3.7	2.6	4.0	1.7	2.4	2.6	1.4	2.3	3.2	4.0	2.7	3.2	3.3	2.5	1.4	3.1	3.5	3.8	3.9	3.2	3.0	1.7	2.7	2.6	4.0
'6	1.7	2.2	3.1	2.1	2.1	1.7	3.0	2.5	1.0	2.2	3.1	1.7	1.5	2.6	2.4	2.7	2.5	2.3	2.5	3.2	1.2	1.9	2.5	0.9	1.9	1.5	3.3	2.2	2.5	2.8	1.5	1.0	2.1	2.6	3.5	3.1	2.6	1.8	1.3	1.6	1.7	3.0
'7	0.9	1.8	2.5	1.6	1.9	1.8	2.5	2.0	0.9	1.9	2.5	1.7	1.1	2.4	1.8	2.4	2.3	2.0	1.6	2.4	1.2	1.4	1.5	1.2	1.4	1.4	2.2	1.8	1.9	2.0	1.5	1.1	1.5	1.9	1.8	2.4	1.9	2.2	1.3	1.4	1.8	2.1
'8	1.5	1.3	2.3	1.5	1.1	1.1	2.2	1.5	0.4	1.9	2.1	1.8	0.6	2.1	1.5	1.5	1.7	1.2	1.1	1.8	0.6	1.7	1.0	0.6	1.0	1.8	2.2	1.7	0.9	1.6	1.1	0.7	1.0	1.2	2.1	1.2	2.0	1.5	1.1	1.2	1.3	1.7
'9	1.2	1.0	2.1	1.1	0.8	1.1	1.5	1.5	0.2	1.6	1.1	0.7	0.9	1.5	1.3	1.4	1.6	1.5	1.3	1.9	0.4	1.3	0.8	0.6	1.2	1.7	1.4	1.8	1.3	1.2	0.7	0.5	0.7	1.1	1.1	1.2	1.3	1.3	0.9	1.0	1.0	1.2
'10	1.2	1.4	1.8	1.0	0.9	0.6	0.9	1.1	0.3	1.3	1.6	1.0	0.6	0.8	1.2	2.0	1.3	1.3	1.4	1.5	0.4	0.8	1.0	0.3	1.0	1.1	1.9	1.0	1.2	0.8	1.4	0.5	0.7	0.5	0.8	1.6	1.1	1.1	1.0	0.9	0.6	1.3
11-15	3.1	3.4	6.8	3.6	2.5	2.6	5.3	3.9	0.7	5.5	4.7	4.3	1.1	4.5	4.4	5.2	5.2	5.9	4.4	5.0	2.0	3.3	4.6	1.7	4.0	5.0	6.1	4.9	2.7	4.3	3.9	2.6	2.0	2.4	3.7	3.2	5.5	5.6	4.0	3.0	2.5	2.6
16-20	3.0	1.5	5.2	2.3	1.7	2.4	3.7	1.9	0.4	5.1	3.3	3.2	0.9	2.7	3.5	2.8	3.7	4.8	3.1	2.6	0.3	1.9	3.0	1.2	3.5	3.4	3.5	4.3	1.6	2.8	2.6	1.9	1.5	1.7	2.0	1.3	4.9	4.9	2.4	0.7	1.2	1.8
21-50	9.1	4.3	15.0	2.5	3.3	5.3	7.6	5.6	0.5	15.5	4.4	12.9	0.7	6.0	5.9	5.4	11.7	12.8	8.4	5.1	0.2	2.7	11.9	3.3	12.5	10.6	12.4	8.6	1.9	8.7	7.1	9.7	0.7	2.1	5.9	2.9	12.3	17.1	1.8	1.3	0.8	2.4
