	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14108	11301	24274	14402	11476	10490	14411	12455	9000	27443	16602	19304	12221	17089	13208	18432	29463	23001	13118	22149	8014	10684	24843	9683	37094	17960	25610	13343	11920	15320	11348	19065	11564	11921	16792	13746	18162	16895	14130	16936	16190	20508
Number of unassigned genes	3172	1823	2693	3142	1906	2017	2081	1806	2235	1766	1835	2159	2573	2928	1610	3209	3990	3456	1580	3314	2731	3683	3282	1854	4802	1851	3174	4582	2719	3259	1819	2693	3327	1498	2299	948	1404	1632	4368	1870	1184	2166
Percentage of genes in orthogroups	81.6	86.1	90.0	82.1	85.8	83.9	87.4	87.3	80.1	94.0	90.0	89.9	82.6	85.4	89.1	85.2	88.1	86.9	89.3	87.0	74.6	74.4	88.3	83.9	88.5	90.7	89.0	74.4	81.4	82.5	86.2	87.6	77.7	88.8	88.0	93.5	92.8	91.2	76.4	90.1	93.2	90.4
Percentage of unassigned genes	18.4	13.9	10.0	17.9	14.2	16.1	12.6	12.7	19.9	6.0	10.0	10.1	17.4	14.6	10.9	14.8	11.9	13.1	10.7	13.0	25.4	25.6	11.7	16.1	11.5	9.3	11.0	25.6	18.6	17.5	13.8	12.4	22.3	11.2	12.0	6.5	7.2	8.8	23.6	9.9	6.8	9.6
Number of orthogroups containing species	6620	7591	10956	9007	7641	6986	6648	8055	7744	11754	9692	8970	8449	9469	8136	10527	11414	10971	8397	10539	6595	7146	9407	7824	11127	8932	11132	7456	7839	8096	7341	7466	7793	8258	10319	9471	9811	8137	10310	13124	12452	12728
Percentage of orthogroups containing species	8.8	10.1	14.5	11.9	10.1	9.3	8.8	10.7	10.3	15.6	12.9	11.9	11.2	12.6	10.8	14.0	15.1	14.6	11.1	14.0	8.7	9.5	12.5	10.4	14.8	11.8	14.8	9.9	10.4	10.7	9.7	9.9	10.3	11.0	13.7	12.6	13.0	10.8	13.7	17.4	16.5	16.9
Number of species-specific orthogroups	984	654	2020	533	669	348	1021	384	78	1554	971	1100	425	776	515	978	2061	1323	507	1760	91	538	1706	131	3408	944	1849	1066	835	978	414	910	453	387	574	263	969	1199	260	160	114	211
Number of genes in species-specific orthogroups	6208	2049	8927	2150	2396	1783	5674	1700	198	7689	3368	6539	1300	3229	2103	3805	12786	7166	1877	6204	265	1734	11389	464	22757	5176	7514	4875	2722	4181	2115	8507	1417	1094	2295	683	3782	7043	939	475	367	671
Percentage of genes in species-specific orthogroups	35.9	15.6	33.1	12.3	17.9	14.3	34.4	11.9	1.8	26.3	18.3	30.5	8.8	16.1	14.2	17.6	38.2	27.1	12.8	24.4	2.5	12.1	40.5	4.0	54.3	26.1	26.1	27.2	18.6	22.5	16.1	39.1	9.5	8.2	12.0	4.6	19.3	38.0	5.1	2.5	2.1	3.0
